Quarter Ending ,HSC Trust,Specialty,Programme of Care,0 - 6 weeks,> 6 - 13 weeks,> 13 - 21 weeks,> 21 - 26 weeks,> 26 weeks,>26-52 weeks,>52 weeks,> 26-30 weeks,> 30 weeks,>30-36 weeks,> 26 - 36 weeks,> 36 weeks,Total,,
30-Jun-2012,South Eastern,Rheumatology,Acute Services,1,0,0,0,--,,,0,--,0,--,0,1,,
30-Jun-2012,South Eastern,Paediatrics,Acute Services,13,2,0,0,--,,,0,--,0,--,0,15,,
30-Jun-2012,South Eastern,Geriatric Medicine,Elderly Care,23,0,0,0,--,,,0,--,0,--,0,23,,
30-Jun-2012,South Eastern,Gynaecology,Acute Services,159,182,118,17,--,,,6,--,3,--,3,488,,
30-Jun-2012,South Eastern,GP Other,Acute Services,26,1,0,0,--,,,0,--,0,--,0,27,,
30-Jun-2012,South Eastern,Clinical Oncology,Acute Services,7,0,0,0,--,,,0,--,0,--,0,7,,
30-Jun-2012,Southern,General Surgery,Acute Services,948,588,338,111,--,,,74,--,73,--,24,"2,156",,
30-Jun-2012,Southern,Urology,Acute Services,101,104,148,101,--,,,47,--,49,--,61,611,,
30-Jun-2012,Southern,T & O Surgery,Acute Services,87,32,67,15,--,,,6,--,5,--,2,214,,
30-Jun-2012,Southern,ENT,Acute Services,130,129,52,0,--,,,0,--,0,--,0,311,,
30-Jun-2012,Southern,Ophthalmology,Acute Services,69,114,224,16,--,,,5,--,0,--,0,428,,
30-Jun-2012,Southern,Oral Surgery,Acute Services,16,32,22,0,--,,,0,--,0,--,0,70,,
30-Jun-2012,Southern,Paediatric Dentistry,Acute Services,0,1,0,0,--,,,0,--,0,--,0,1,,
30-Jun-2012,Southern,Pain Management,Acute Services,53,97,98,62,--,,,38,--,40,--,10,398,,
30-Jun-2012,Southern,General Medicine,Acute Services,6,6,0,0,--,,,0,--,0,--,0,12,,
30-Jun-2012,Southern,Gastroenterology,Acute Services,304,137,10,0,--,,,0,--,0,--,0,451,,
30-Jun-2012,Southern,Haematology (Clinical),Acute Services,8,4,0,0,--,,,0,--,0,--,0,12,,
30-Jun-2012,Southern,Cardiology,Acute Services,222,246,338,171,--,,,123,--,174,--,58,"1,332",,
30-Jun-2012,Southern,Dermatology,Acute Services,108,81,0,0,--,,,0,--,0,--,0,189,,
30-Jun-2012,Southern,Thoracic Medicine,Acute Services,3,0,0,0,--,,,0,--,0,--,0,3,,
30-Jun-2012,Southern,Neurology,Acute Services,11,0,0,0,--,,,0,--,0,--,0,11,,
30-Jun-2012,Southern,Rheumatology,Acute Services,203,201,140,59,--,,,2,--,2,--,0,607,,
30-Jun-2012,Southern,Gynaecology,Acute Services,177,121,53,5,--,,,0,--,0,--,0,356,,
30-Jun-2012,Southern,GP Other,Acute Services,63,7,3,0,--,,,0,--,0,--,0,73,,
30-Jun-2012,Southern,Clinical Oncology,Acute Services,4,0,0,0,--,,,0,--,0,--,0,4,,
30-Jun-2012,Western,General Surgery,Acute Services,598,433,429,151,--,,,90,--,85,--,59,"1,845",,
30-Jun-2012,Western,Urology,Acute Services,171,80,42,17,--,,,7,--,6,--,2,325,,
30-Jun-2012,Western,T & O Surgery,Acute Services,107,123,138,46,--,,,49,--,46,--,24,533,,
30-Jun-2012,Western,ENT,Acute Services,96,64,60,6,--,,,2,--,0,--,0,228,,
30-Jun-2012,Western,Ophthalmology,Acute Services,382,411,237,71,--,,,33,--,29,--,1,"1,164",,
30-Jun-2012,Western,Oral Surgery,Acute Services,199,62,36,22,--,,,2,--,3,--,0,324,,
30-Jun-2012,Western,Pain Management,Acute Services,114,88,44,6,--,,,0,--,0,--,0,252,,
30-Jun-2012,Western,General Medicine,Acute Services,671,328,84,12,--,,,1,--,0,--,0,"1,096",,
30-Jun-2012,Western,Cardiology,Acute Services,38,9,3,0,--,,,0,--,0,--,0,50,,
30-Jun-2012,Western,Paediatrics,Acute Services,3,3,0,0,--,,,0,--,0,--,0,6,,
30-Jun-2012,Western,Gynaecology,Acute Services,106,102,79,16,--,,,10,--,6,--,2,321,,
30-Jun-2012,Western,GP Other,Acute Services,56,3,0,0,--,,,0,--,0,--,0,59,,
30-Sep-2012,Belfast ,General Surgery,Acute Services,638,352,228,148,--,,,94,--,109,--,172,"1,741",,
30-Sep-2012,Belfast ,Urology,Acute Services,476,266,250,110,--,,,115,--,173,--,224,1614,,
30-Sep-2012,Belfast ,T & O Surgery,Acute Services,52,219,272,117,--,,,101,--,104,--,29,894,,
30-Sep-2012,Belfast ,ENT,Acute Services,196,246,310,153,--,,,103,--,97,--,11,1116,,
30-Sep-2012,Belfast ,Ophthalmology,Acute Services,886,885,875,482,--,,,322,--,234,--,22,3706,,
30-Sep-2012,Belfast ,Oral Surgery,Acute Services,21,9,0,0,--,,,0,--,0,--,0,30,,
30-Sep-2012,Belfast ,Restorative Dentistry,Acute Services,21,6,0,1,--,,,15,--,14,--,0,57,,
30-Sep-2012,Belfast ,Paediatric Dentistry,Acute Services,49,41,24,13,--,,,0,--,0,--,0,127,,
30-Sep-2012,Belfast ,Neurosurgery,Acute Services,19,41,32,6,--,,,0,--,5,--,9,112,,
30-Sep-2012,Belfast ,Plastic Surgery,Acute Services,36,25,37,11,--,,,17,--,18,--,3,147,,
30-Sep-2012,Belfast ,Paediatric Surgery,Acute Services,45,85,72,57,--,,,35,--,47,--,18,359,,
30-Sep-2012,Belfast ,Pain Management,Acute Services,91,138,145,95,--,,,91,--,100,--,260,920,,
30-Sep-2012,Belfast ,General Medicine,Acute Services,170,37,1,0,--,,,0,--,0,--,0,208,,
30-Sep-2012,Belfast ,Gastroenterology,Acute Services,549,88,19,1,--,,,0,--,0,--,0,657,,
30-Sep-2012,Belfast ,Endocrinology,Acute Services,7,0,1,0,--,,,0,--,0,--,0,8,,
30-Sep-2012,Belfast ,Cardiology,Acute Services,166,156,122,46,--,,,30,--,24,--,60,604,,
30-Sep-2012,Belfast ,Dermatology,Acute Services,18,9,13,8,--,,,4,--,1,--,0,53,,
30-Sep-2012,Belfast ,Thoracic Medicine,Acute Services,1,0,0,0,--,,,0,--,0,--,0,1,,
30-Sep-2012,Belfast ,Nephrology,Acute Services,14,8,0,0,--,,,0,--,0,--,0,22,,
30-Sep-2012,Belfast ,Neurology,Acute Services,3,3,0,0,--,,,0,--,0,--,1,7,,
30-Sep-2012,Belfast ,Rheumatology,Acute Services,4,1,0,0,--,,,0,--,0,--,0,5,,
30-Sep-2012,Belfast ,Paediatrics,Acute Services,1,18,21,7,--,,,7,--,3,--,1,58,,
30-Sep-2012,Belfast ,Gynaecology,Acute Services,214,133,103,18,--,,,19,--,23,--,7,517,,
30-Sep-2012,Belfast ,GP Other,Acute Services,2,0,0,0,--,,,0,--,0,--,0,2,,
30-Sep-2012,Belfast ,Radiology,Acute Services,19,11,4,1,--,,,0,--,0,--,2,37,,
30-Sep-2012,Northern ,General Surgery,Acute Services,895,446,145,24,--,,,6,--,6,--,4,1526,,
30-Sep-2012,Northern ,Urology,Acute Services,204,34,32,39,--,,,4,--,6,--,1,320,,
30-Sep-2012,Northern ,ENT,Acute Services,251,114,17,2,--,,,0,--,0,--,0,384,,
30-Sep-2012,Northern ,Ophthalmology,Acute Services,8,5,20,13,--,,,0,--,0,--,0,46,,
30-Sep-2012,Northern ,Oral Surgery,Acute Services,1,4,4,1,--,,,0,--,0,--,0,10,,
30-Sep-2012,Northern ,Pain Management,Acute Services,124,78,2,0,--,,,0,--,0,--,0,204,,
30-Sep-2012,Northern ,General Medicine,Acute Services,1,0,0,0,--,,,0,--,0,--,0,1,,
30-Sep-2012,Northern ,Gastroenterology,Acute Services,771,145,31,8,--,,,0,--,0,--,0,955,,
30-Sep-2012,Northern ,Cardiology,Acute Services,69,69,7,0,--,,,0,--,0,--,0,145,,
30-Sep-2012,Northern ,Dermatology,Acute Services,47,15,3,0,--,,,0,--,0,--,0,65,,
30-Sep-2012,Northern ,Thoracic Medicine,Acute Services,4,0,0,0,--,,,0,--,0,--,0,4,,
30-Sep-2012,Northern ,Gynaecology,Acute Services,251,236,192,47,--,,,14,--,4,--,2,746,,
30-Sep-2012,Northern ,GP Other,Acute Services,124,53,1,0,--,,,0,--,0,--,0,178,,
30-Sep-2012,South Eastern ,General Surgery,Acute Services,591,378,169,0,--,,,0,--,0,--,0,1138,,
30-Sep-2012,South Eastern ,Urology,Acute Services,243,99,51,23,--,,,1,--,0,--,0,417,,
30-Sep-2012,South Eastern ,T & O Surgery,Acute Services,9,5,0,0,--,,,0,--,0,--,0,14,,
30-Sep-2012,South Eastern ,ENT,Acute Services,42,103,74,0,--,,,0,--,0,--,0,219,,
30-Sep-2012,South Eastern ,Ophthalmology,Acute Services,152,102,0,0,--,,,0,--,0,--,0,254,,
30-Sep-2012,South Eastern ,Oral Surgery,Acute Services,26,38,3,0,--,,,0,--,0,--,0,67,,
30-Sep-2012,South Eastern ,Plastic Surgery,Acute Services,248,108,112,0,--,,,0,--,0,--,0,468,,
30-Sep-2012,South Eastern ,Paediatric Surgery,Acute Services,43,30,7,5,--,,,0,--,0,--,1,86,,
30-Sep-2012,South Eastern ,Pain Management,Acute Services,47,17,0,0,--,,,0,--,0,--,0,64,,
30-Sep-2012,South Eastern ,General Medicine,Acute Services,471,124,0,0,--,,,0,--,0,--,0,595,,
30-Sep-2012,South Eastern ,Gastroenterology,Acute Services,82,21,0,0,--,,,0,--,0,--,0,103,,
30-Sep-2012,South Eastern ,Haematology (Clinical),Acute Services,8,0,0,0,--,,,0,--,0,--,0,8,,
30-Sep-2012,South Eastern ,Cardiology,Acute Services,74,70,16,9,--,,,2,--,3,--,0,174,,
30-Sep-2012,South Eastern ,Dermatology,Acute Services,116,39,52,0,--,,,0,--,0,--,0,207,,
30-Sep-2012,South Eastern ,Neurology,Acute Services,2,0,0,0,--,,,0,--,0,--,0,2,,
30-Sep-2012,South Eastern ,Paediatrics,Acute Services,15,3,0,0,--,,,0,--,0,--,0,18,,
30-Sep-2012,South Eastern ,Geriatric Medicine,Elderly Care,26,0,0,0,--,,,0,--,0,--,0,26,,
30-Sep-2012,South Eastern ,Gynaecology,Acute Services,130,92,105,33,--,,,4,--,0,--,0,364,,
30-Sep-2012,South Eastern ,GP Other,Acute Services,26,0,0,0,--,,,0,--,0,--,0,26,,
30-Sep-2012,South Eastern ,Clinical Oncology,Acute Services,7,0,0,0,--,,,0,--,0,--,0,7,,
30-Sep-2012,Southern,General Surgery,Acute Services,892,708,312,117,--,,,83,--,96,--,14,2222,,
30-Sep-2012,Southern,Urology,Acute Services,165,92,44,32,--,,,32,--,59,--,69,493,,
30-Sep-2012,Southern,T & O Surgery,Acute Services,75,71,30,11,--,,,22,--,24,--,3,236,,
30-Sep-2012,Southern,ENT,Acute Services,124,124,30,0,--,,,0,--,1,--,0,279,,
30-Sep-2012,Southern,Ophthalmology,Acute Services,113,83,6,33,--,,,63,--,36,--,2,336,,
30-Sep-2012,Southern,Oral Surgery,Acute Services,35,21,16,6,--,,,9,--,0,--,0,87,,
30-Sep-2012,Southern,Paediatric Dentistry,Acute Services,0,2,0,1,--,,,0,--,0,--,0,3,,
30-Sep-2012,Southern,Pain Management,Acute Services,68,90,82,44,--,,,34,--,61,--,1,380,,
30-Sep-2012,Southern,General Medicine,Acute Services,4,1,0,0,--,,,0,--,0,--,0,5,,
30-Sep-2012,Southern,Gastroenterology,Acute Services,294,218,14,1,--,,,0,--,0,--,0,527,,
30-Sep-2012,Southern,Haematology (Clinical),Acute Services,20,2,0,0,--,,,0,--,0,--,0,22,,
30-Sep-2012,Southern,Cardiology,Acute Services,216,250,272,157,--,,,157,--,221,--,49,1322,,
30-Sep-2012,Southern,Dermatology,Acute Services,115,66,1,0,--,,,0,--,0,--,0,182,,
30-Sep-2012,Southern,Thoracic Medicine,Acute Services,13,0,0,0,--,,,0,--,0,--,1,14,,
30-Sep-2012,Southern,Neurology,Acute Services,18,4,0,0,--,,,0,--,0,--,0,22,,
30-Sep-2012,Southern,Rheumatology,Acute Services,224,176,154,50,--,,,17,--,11,--,0,632,,
30-Sep-2012,Southern,Gynaecology,Acute Services,163,117,47,0,--,,,0,--,0,--,0,327,,
30-Sep-2012,Southern,GP Other,Acute Services,48,12,0,0,--,,,0,--,0,--,0,60,,
30-Sep-2012,Southern,Clinical Oncology,Acute Services,16,1,0,0,--,,,0,--,0,--,0,17,,
30-Sep-2012,Western ,General Surgery,Acute Services,660,291,275,99,--,,,79,--,34,--,32,1470,,
30-Sep-2012,Western ,Urology,Acute Services,165,49,35,9,--,,,0,--,0,--,0,258,,
30-Sep-2012,Western ,T & O Surgery,Acute Services,162,164,109,66,--,,,56,--,68,--,6,631,,
30-Sep-2012,Western ,ENT,Acute Services,74,43,80,27,--,,,12,--,0,--,0,236,,
30-Sep-2012,Western ,Ophthalmology,Acute Services,347,429,260,68,--,,,2,--,6,--,1,1113,,
30-Sep-2012,Western ,Oral Surgery,Acute Services,210,57,27,16,--,,,13,--,4,--,1,328,,
30-Sep-2012,Western ,Pain Management,Acute Services,120,97,0,0,--,,,0,--,0,--,0,217,,
30-Sep-2012,Western ,General Medicine,Acute Services,773,118,0,0,--,,,0,--,0,--,0,891,,
30-Sep-2012,Western ,Cardiology,Acute Services,61,15,0,0,--,,,0,--,0,--,0,76,,
30-Sep-2012,Western ,Paediatrics,Acute Services,2,0,0,0,--,,,0,--,0,--,0,2,,
30-Sep-2012,Western ,Gynaecology,Acute Services,147,98,54,25,--,,,18,--,7,--,0,349,,
30-Sep-2012,Western ,GP Other,Acute Services,41,1,0,0,--,,,0,--,0,--,0,42,,
31-Dec-2012,Belfast,General Surgery,Acute Services,575,529,269,103,--,,,81,--,93,--,180,"1,830",,
31-Dec-2012,Belfast,Urology,Acute Services,531,309,164,74,--,,,53,--,88,--,293,"1,512",,
31-Dec-2012,Belfast,T & O Surgery,Acute Services,243,290,182,102,--,,,67,--,48,--,0,932,,
31-Dec-2012,Belfast,ENT,Acute Services,201,223,247,144,--,,,135,--,122,--,20,"1,092",,
31-Dec-2012,Belfast,Ophthalmology,Acute Services,589,"1,052",967,356,--,,,229,--,224,--,85,"3,502",,
31-Dec-2012,Belfast,Oral Surgery,Acute Services,26,5,1,0,--,,,0,--,0,--,0,32,,
31-Dec-2012,Belfast,Restorative Dentistry,Acute Services,23,7,0,0,--,,,1,--,0,--,0,31,,
31-Dec-2012,Belfast,Paediatric Dentistry,Acute Services,7,26,37,25,--,,,6,--,7,--,2,110,,
31-Dec-2012,Belfast,Neurosurgery,Acute Services,29,42,21,3,--,,,4,--,6,--,9,114,,
31-Dec-2012,Belfast,Plastic Surgery,Acute Services,20,39,24,13,--,,,15,--,15,--,22,148,,
31-Dec-2012,Belfast,Cardiac Surgery,Acute Services,0,1,0,0,--,,,0,--,0,--,0,1,,
31-Dec-2012,Belfast,Paediatric Surgery,Acute Services,53,92,95,53,--,,,40,--,55,--,30,418,,
31-Dec-2012,Belfast,Pain Management,Acute Services,105,113,122,91,--,,,53,--,83,--,232,799,,
31-Dec-2012,Belfast,General Medicine,Acute Services,157,37,0,0,--,,,0,--,0,--,0,194,,
31-Dec-2012,Belfast,Gastroenterology,Acute Services,526,158,18,4,--,,,2,--,1,--,0,709,,
31-Dec-2012,Belfast,Endocrinology,Acute Services,3,4,1,0,--,,,0,--,0,--,0,8,,
31-Dec-2012,Belfast,Cardiology,Acute Services,177,202,129,31,--,,,29,--,33,--,37,638,,
31-Dec-2012,Belfast,Dermatology,Acute Services,30,18,8,3,--,,,3,--,3,--,0,65,,
31-Dec-2012,Belfast,Nephrology,Acute Services,16,6,0,0,--,,,0,--,0,--,0,22,,
31-Dec-2012,Belfast,Neurology,Acute Services,0,3,3,0,--,,,1,--,0,--,0,7,,
31-Dec-2012,Belfast,Rheumatology,Acute Services,3,0,0,0,--,,,0,--,1,--,0,4,,
31-Dec-2012,Belfast,Paediatrics,Acute Services,17,24,1,1,--,,,0,--,0,--,0,43,,
31-Dec-2012,Belfast,Gynaecology,Acute Services,210,217,90,23,--,,,11,--,8,--,6,565,,
31-Dec-2012,Belfast,GP Other,Acute Services,8,0,0,0,--,,,0,--,0,--,0,8,,
31-Dec-2012,Belfast,Radiology,Acute Services,13,11,2,1,--,,,0,--,0,--,2,29,,
31-Dec-2012,Northern,General Surgery,Acute Services,970,563,119,40,--,,,16,--,1,--,4,"1,713",,
31-Dec-2012,Northern,Urology,Acute Services,192,46,17,3,--,,,1,--,1,--,0,260,,
31-Dec-2012,Northern,ENT,Acute Services,139,109,30,6,--,,,1,--,7,--,0,292,,
31-Dec-2012,Northern,Ophthalmology,Acute Services,8,14,35,2,--,,,0,--,1,--,0,60,,
31-Dec-2012,Northern,Oral Surgery,Acute Services,2,5,0,3,--,,,2,--,1,--,1,14,,
31-Dec-2012,Northern,Pain Management,Acute Services,81,105,6,17,--,,,1,--,2,--,0,212,,
31-Dec-2012,Northern,Gastroenterology,Acute Services,667,271,58,10,--,,,0,--,0,--,0,"1,006",,
31-Dec-2012,Northern,Cardiology,Acute Services,78,54,3,1,--,,,0,--,0,--,0,136,,
31-Dec-2012,Northern,Dermatology,Acute Services,51,23,0,0,--,,,0,--,0,--,0,74,,
31-Dec-2012,Northern,Thoracic Medicine,Acute Services,10,0,0,0,--,,,0,--,0,--,0,10,,
31-Dec-2012,Northern,Gynaecology,Acute Services,268,177,137,66,--,,,41,--,17,--,5,711,,
31-Dec-2012,Northern,GP Other,Acute Services,117,41,0,0,--,,,0,--,0,--,0,158,,
31-Dec-2012,South Eastern,General Surgery,Acute Services,579,371,136,11,--,,,0,--,0,--,0,"1,097",,
31-Dec-2012,South Eastern,Urology,Acute Services,255,139,108,34,--,,,24,--,2,--,0,562,,
31-Dec-2012,South Eastern,T & O Surgery,Acute Services,12,6,0,0,--,,,0,--,0,--,0,18,,
31-Dec-2012,South Eastern,ENT,Acute Services,47,69,52,4,--,,,1,--,0,--,0,173,,
31-Dec-2012,South Eastern,Ophthalmology,Acute Services,158,125,0,0,--,,,0,--,0,--,0,283,,
31-Dec-2012,South Eastern,Oral Surgery,Acute Services,59,23,3,0,--,,,0,--,0,--,0,85,,
31-Dec-2012,South Eastern,Plastic Surgery,Acute Services,211,130,74,12,--,,,5,--,9,--,7,448,,
31-Dec-2012,South Eastern,Paediatric Surgery,Acute Services,17,52,28,3,--,,,0,--,0,--,2,102,,
31-Dec-2012,South Eastern,Pain Management,Acute Services,51,26,0,0,--,,,0,--,0,--,0,77,,
31-Dec-2012,South Eastern,General Medicine,Acute Services,460,179,8,0,--,,,0,--,0,--,0,647,,
31-Dec-2012,South Eastern,Gastroenterology,Acute Services,56,36,4,0,--,,,0,--,0,--,0,96,,
31-Dec-2012,South Eastern,Haematology (Clinical),Acute Services,3,0,0,0,--,,,0,--,0,--,0,3,,
31-Dec-2012,South Eastern,Cardiology,Acute Services,92,45,14,14,--,,,7,--,4,--,6,182,,
31-Dec-2012,South Eastern,Dermatology,Acute Services,70,67,4,0,--,,,0,--,0,--,0,141,,
31-Dec-2012,South Eastern,Nephrology,Acute Services,1,0,0,0,--,,,0,--,0,--,0,1,,
31-Dec-2012,South Eastern,Paediatrics,Acute Services,16,39,0,0,--,,,0,--,0,--,0,55,,
31-Dec-2012,South Eastern,Geriatric Medicine,Elderly Care,22,0,0,0,--,,,0,--,0,--,0,22,,
31-Dec-2012,South Eastern,Gynaecology,Acute Services,121,49,13,2,--,,,1,--,1,--,0,187,,
31-Dec-2012,South Eastern,GP Other,Acute Services,40,1,0,0,--,,,0,--,0,--,0,41,,
31-Dec-2012,Southern,General Surgery,Acute Services,"1,019",844,366,119,--,,,52,--,65,--,10,"2,475",,
31-Dec-2012,Southern,Urology,Acute Services,191,169,77,6,--,,,4,--,9,--,24,480,,
31-Dec-2012,Southern,T & O Surgery,Acute Services,75,55,33,15,--,,,6,--,1,--,8,193,,
31-Dec-2012,Southern,ENT,Acute Services,128,111,29,2,--,,,0,--,0,--,0,270,,
31-Dec-2012,Southern,Ophthalmology,Acute Services,98,35,6,0,--,,,0,--,0,--,0,139,,
31-Dec-2012,Southern,Oral Surgery,Acute Services,11,22,37,6,--,,,4,--,2,--,1,83,,
31-Dec-2012,Southern,Paediatric Dentistry,Acute Services,1,1,2,0,--,,,0,--,1,--,0,5,,
31-Dec-2012,Southern,Pain Management,Acute Services,71,126,103,34,--,,,27,--,39,--,0,400,,
31-Dec-2012,Southern,General Medicine,Acute Services,0,1,0,0,--,,,0,--,0,--,0,1,,
31-Dec-2012,Southern,Gastroenterology,Acute Services,329,255,53,2,--,,,0,--,0,--,0,639,,
31-Dec-2012,Southern,Haematology (Clinical),Acute Services,8,2,3,2,--,,,0,--,0,--,0,15,,
31-Dec-2012,Southern,Cardiology,Acute Services,215,253,281,152,--,,,126,--,184,--,111,"1,322",,
31-Dec-2012,Southern,Dermatology,Acute Services,118,111,3,1,--,,,0,--,0,--,0,233,,
31-Dec-2012,Southern,Thoracic Medicine,Acute Services,4,0,0,0,--,,,0,--,0,--,0,4,,
31-Dec-2012,Southern,Neurology,Acute Services,7,1,0,0,--,,,0,--,0,--,0,8,,
31-Dec-2012,Southern,Rheumatology,Acute Services,168,186,111,57,--,,,32,--,5,--,0,559,,
31-Dec-2012,Southern,Gynaecology,Acute Services,166,151,42,0,--,,,0,--,0,--,0,359,,
31-Dec-2012,Southern,GP Other,Acute Services,48,7,1,2,--,,,0,--,0,--,0,58,,
31-Dec-2012,Southern,Clinical Oncology,Acute Services,0,2,1,0,--,,,0,--,0,--,0,3,,
31-Dec-2012,Western,General Surgery,Acute Services,679,310,259,100,--,,,73,--,87,--,40,"1,548",,
31-Dec-2012,Western,Urology,Acute Services,181,73,30,1,--,,,0,--,0,--,0,285,,
31-Dec-2012,Western,T & O Surgery,Acute Services,169,197,106,55,--,,,26,--,46,--,93,692,,
31-Dec-2012,Western,ENT,Acute Services,76,72,46,15,--,,,9,--,7,--,3,228,,
31-Dec-2012,Western,Ophthalmology,Acute Services,470,400,165,39,--,,,3,--,2,--,4,"1,083",,
31-Dec-2012,Western,Oral Surgery,Acute Services,211,93,25,13,--,,,14,--,5,--,0,361,,
31-Dec-2012,Western,Pain Management,Acute Services,111,115,0,0,--,,,0,--,0,--,0,226,,
31-Dec-2012,Western,General Medicine,Acute Services,753,110,3,0,--,,,0,--,0,--,0,866,,
31-Dec-2012,Western,Cardiology,Acute Services,33,13,1,0,--,,,0,--,0,--,0,47,,
31-Dec-2012,Western,Paediatrics,Acute Services,3,0,0,0,--,,,0,--,0,--,0,3,,
31-Dec-2012,Western,Gynaecology,Acute Services,159,135,70,18,--,,,14,--,2,--,1,399,,
31-Dec-2012,Western,GP Other,Acute Services,61,1,0,0,--,,,0,--,0,--,0,62,,
31-Mar-2013,Belfast,General Surgery,Acute Services,641,443,275,118,--,,,38,--,44,--,138,"1,697",,
31-Mar-2013,Belfast,Urology,Acute Services,591,395,163,32,--,,,8,--,13,--,81,"1,283",,
31-Mar-2013,Belfast,T & O Surgery,Acute Services,223,237,254,145,--,,,37,--,3,--,1,900,,
31-Mar-2013,Belfast,ENT,Acute Services,186,258,191,131,--,,,106,--,4,--,1,877,,
31-Mar-2013,Belfast,Ophthalmology,Acute Services,769,"1,004",925,530,--,,,298,--,16,--,20,"3,562",,
31-Mar-2013,Belfast,Oral Surgery,Acute Services,28,24,1,0,--,,,0,--,0,--,0,53,,
31-Mar-2013,Belfast,Restorative Dentistry,Acute Services,28,7,0,0,--,,,0,--,0,--,0,35,,
31-Mar-2013,Belfast,Paediatric Dentistry,Acute Services,45,24,25,19,--,,,5,--,18,--,5,141,,
31-Mar-2013,Belfast,Neurosurgery,Acute Services,26,43,30,14,--,,,6,--,0,--,0,119,,
31-Mar-2013,Belfast,Plastic Surgery,Acute Services,62,27,29,2,--,,,1,--,1,--,2,124,,
31-Mar-2013,Belfast,Cardiac Surgery,Acute Services,2,1,0,0,--,,,0,--,0,--,0,3,,
31-Mar-2013,Belfast,Paediatric Surgery,Acute Services,25,94,91,58,--,,,39,--,30,--,38,375,,
31-Mar-2013,Belfast,Pain Management,Acute Services,125,151,166,73,--,,,59,--,3,--,8,585,,
31-Mar-2013,Belfast,General Medicine,Acute Services,143,45,0,0,--,,,0,--,0,--,0,188,,
31-Mar-2013,Belfast,Gastroenterology,Acute Services,565,182,0,0,--,,,0,--,0,--,0,747,,
31-Mar-2013,Belfast,Endocrinology,Acute Services,4,3,0,0,--,,,0,--,0,--,0,7,,
31-Mar-2013,Belfast,Cardiology,Acute Services,164,176,143,46,--,,,26,--,0,--,0,555,,
31-Mar-2013,Belfast,Dermatology,Acute Services,29,14,15,7,--,,,2,--,1,--,0,68,,
31-Mar-2013,Belfast,Nephrology,Acute Services,12,12,0,0,--,,,0,--,0,--,0,24,,
31-Mar-2013,Belfast,Neurology,Acute Services,5,4,0,1,--,,,2,--,0,--,0,12,,
31-Mar-2013,Belfast,Rheumatology,Acute Services,3,1,0,0,--,,,0,--,0,--,0,4,,
31-Mar-2013,Belfast,Paediatrics,Acute Services,12,15,0,0,--,,,0,--,0,--,0,27,,
31-Mar-2013,Belfast,Gynaecology,Acute Services,146,186,114,24,--,,,9,--,0,--,2,481,,
31-Mar-2013,Belfast,GP Other,Acute Services,7,0,0,0,--,,,0,--,0,--,0,7,,
31-Mar-2013,Belfast,Radiology,Acute Services,6,11,4,1,--,,,0,--,0,--,0,22,,
31-Mar-2013,Northern,General Surgery,Acute Services,943,697,130,29,--,,,7,--,14,--,11,"1,831",,
31-Mar-2013,Northern,Urology,Acute Services,225,86,16,3,--,,,0,--,0,--,0,330,,
31-Mar-2013,Northern,ENT,Acute Services,122,97,18,3,--,,,2,--,0,--,0,242,,
31-Mar-2013,Northern,Ophthalmology,Acute Services,9,5,20,4,--,,,2,--,1,--,0,41,,
31-Mar-2013,Northern,Oral Surgery,Acute Services,1,1,0,0,--,,,0,--,0,--,0,2,,
31-Mar-2013,Northern,Pain Management,Acute Services,94,100,5,1,--,,,0,--,3,--,2,205,,
31-Mar-2013,Northern,General Medicine,Acute Services,2,0,0,0,--,,,0,--,0,--,0,2,,
31-Mar-2013,Northern,Gastroenterology,Acute Services,701,150,10,1,--,,,0,--,1,--,0,863,,
31-Mar-2013,Northern,Cardiology,Acute Services,73,67,9,0,--,,,0,--,0,--,0,149,,
31-Mar-2013,Northern,Dermatology,Acute Services,49,22,2,0,--,,,0,--,0,--,0,73,,
31-Mar-2013,Northern,Thoracic Medicine,Acute Services,15,2,0,0,--,,,0,--,0,--,0,17,,
31-Mar-2013,Northern,Gynaecology,Acute Services,209,275,142,27,--,,,4,--,8,--,5,670,,
31-Mar-2013,Northern,GP Other,Acute Services,144,38,3,1,--,,,0,--,0,--,0,186,,
31-Mar-2013,Northern,Other,Acute Services,6,0,0,0,--,,,0,--,0,--,0,6,,
31-Mar-2013,South Eastern,General Surgery,Acute Services,525,339,55,2,--,,,0,--,0,--,0,921,,
31-Mar-2013,South Eastern,Urology,Acute Services,263,160,49,0,--,,,0,--,0,--,0,472,,
31-Mar-2013,South Eastern,T & O Surgery,Acute Services,10,2,0,0,--,,,0,--,0,--,0,12,,
31-Mar-2013,South Eastern,ENT,Acute Services,44,76,43,0,--,,,0,--,0,--,0,163,,
31-Mar-2013,South Eastern,Ophthalmology,Acute Services,138,175,0,0,--,,,0,--,0,--,0,313,,
31-Mar-2013,South Eastern,Oral Surgery,Acute Services,37,23,0,0,--,,,0,--,0,--,0,60,,
31-Mar-2013,South Eastern,Plastic Surgery,Acute Services,176,110,4,0,--,,,0,--,0,--,0,290,,
31-Mar-2013,South Eastern,Paediatric Surgery,Acute Services,31,34,20,4,--,,,0,--,0,--,0,89,,
31-Mar-2013,South Eastern,Pain Management,Acute Services,45,29,0,0,--,,,0,--,0,--,0,74,,
