HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,DaisyHill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal ,South Tyrone,South West Acute,Tyrone County,Ulster,N. Ireland Unit Cost
KB01C,300,"Diabetes with Hypoglycaemic Disorders, with CC Score 8+",.,401,.,.,376,.,.,.,370,.,344,.,379,.,.,.,364,382
KB01C,320,"Diabetes with Hypoglycaemic Disorders, with CC Score 8+",.,.,.,.,.,558,.,.,.,.,.,.,.,.,.,.,.,558
KB01C,340,"Diabetes with Hypoglycaemic Disorders, with CC Score 8+",.,351,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,351
KB01C,430,"Diabetes with Hypoglycaemic Disorders, with CC Score 8+",.,.,515,.,.,.,.,.,.,.,.,.,.,.,.,.,.,515
KB01D,300,"Diabetes with Hypoglycaemic Disorders, with CC Score 5-7",446,401,.,468,376,.,.,.,370,.,.,.,381,.,514,.,364,404
KB01D,302,"Diabetes with Hypoglycaemic Disorders, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,366,.,482,.,.,.,.,456
KB01D,320,"Diabetes with Hypoglycaemic Disorders, with CC Score 5-7",580,.,.,.,.,.,.,.,.,.,.,.,613,.,.,.,.,597
KB01D,340,"Diabetes with Hypoglycaemic Disorders, with CC Score 5-7",.,351,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,351
KB01D,361,"Diabetes with Hypoglycaemic Disorders, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,422,422
KB01D,430,"Diabetes with Hypoglycaemic Disorders, with CC Score 5-7",.,345,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,345
KB01E,180,"Diabetes with Hypoglycaemic Disorders, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,.,280,.,.,.,.,280
KB01E,300,"Diabetes with Hypoglycaemic Disorders, with CC Score 3-4",446,401,.,468,376,291,.,.,370,.,346,.,370,.,514,.,364,399
KB01E,301,"Diabetes with Hypoglycaemic Disorders, with CC Score 3-4",.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373
KB01E,302,"Diabetes with Hypoglycaemic Disorders, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,330,.,474,.,.,.,.,417
KB01E,320,"Diabetes with Hypoglycaemic Disorders, with CC Score 3-4",.,.,586,.,.,.,.,.,.,.,.,.,.,.,.,.,.,586
KB01E,340,"Diabetes with Hypoglycaemic Disorders, with CC Score 3-4",.,351,.,.,.,.,.,.,.,.,327,.,.,.,.,.,.,347
KB01E,430,"Diabetes with Hypoglycaemic Disorders, with CC Score 3-4",.,345,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,345
KB01F,100,"Diabetes with Hypoglycaemic Disorders, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,.,.,656,.,.,656
KB01F,180,"Diabetes with Hypoglycaemic Disorders, with CC Score 0-2",.,367,.,.,"1,000",.,.,.,.,.,223,.,.,.,.,.,.,489
KB01F,300,"Diabetes with Hypoglycaemic Disorders, with CC Score 0-2",446,401,429,468,376,291,.,.,.,.,391,.,366,.,514,.,364,386
KB01F,302,"Diabetes with Hypoglycaemic Disorders, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,330,.,476,.,.,.,.,451
KB01F,340,"Diabetes with Hypoglycaemic Disorders, with CC Score 0-2",.,351,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,351
KB01F,430,"Diabetes with Hypoglycaemic Disorders, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,539,.,.,.,.,539
KB02G,100,"Diabetes with Hyperglycaemic Disorders, with CC Score 8+",.,444,.,.,.,389,.,.,.,.,.,.,.,.,.,.,.,417
KB02G,300,"Diabetes with Hyperglycaemic Disorders, with CC Score 8+",446,401,434,468,376,.,.,.,370,.,.,.,372,.,514,.,364,386
KB02G,302,"Diabetes with Hyperglycaemic Disorders, with CC Score 8+",.,.,753,.,.,.,.,.,.,.,.,.,490,.,.,.,.,543
KB02G,361,"Diabetes with Hyperglycaemic Disorders, with CC Score 8+",.,.,682,.,.,452,.,.,.,.,.,.,.,.,.,.,.,529
KB02G,430,"Diabetes with Hyperglycaemic Disorders, with CC Score 8+",.,345,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,345
KB02H,100,"Diabetes with Hyperglycaemic Disorders, with CC Score 5-7",446,.,.,.,439,.,.,.,.,.,.,.,.,.,.,.,.,443
KB02H,300,"Diabetes with Hyperglycaemic Disorders, with CC Score 5-7",446,401,.,468,376,291,515,.,370,.,357,.,372,.,514,.,364,395
KB02H,302,"Diabetes with Hyperglycaemic Disorders, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,336,.,489,.,.,.,.,461
KB02H,320,"Diabetes with Hyperglycaemic Disorders, with CC Score 5-7",580,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,580
KB02H,340,"Diabetes with Hyperglycaemic Disorders, with CC Score 5-7",.,351,.,.,.,.,.,.,.,.,327,.,.,.,.,.,.,332
KB02H,430,"Diabetes with Hyperglycaemic Disorders, with CC Score 5-7",357,345,.,.,376,.,.,.,.,.,.,.,.,.,656,.,.,416
KB02H,502,"Diabetes with Hyperglycaemic Disorders, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,595,595
KB02J,100,"Diabetes with Hyperglycaemic Disorders, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,.,390,.,656,.,.,479
KB02J,180,"Diabetes with Hyperglycaemic Disorders, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,223,.,.,.,.,.,.,223
KB02J,300,"Diabetes with Hyperglycaemic Disorders, with CC Score 2-4",446,401,438,468,376,291,515,.,370,.,349,.,369,.,514,.,364,395
KB02J,301,"Diabetes with Hyperglycaemic Disorders, with CC Score 2-4",.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373
KB02J,302,"Diabetes with Hyperglycaemic Disorders, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,338,.,489,.,.,.,.,456
KB02J,320,"Diabetes with Hyperglycaemic Disorders, with CC Score 2-4",.,.,.,474,.,.,.,.,.,.,471,.,.,.,.,.,.,472
KB02J,340,"Diabetes with Hyperglycaemic Disorders, with CC Score 2-4",.,351,445,.,.,.,.,.,.,.,329,.,.,.,.,.,.,357
KB02J,361,"Diabetes with Hyperglycaemic Disorders, with CC Score 2-4",546,338,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,442
KB02J,400,"Diabetes with Hyperglycaemic Disorders, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,.,851,.,.,.,.,851
KB02J,430,"Diabetes with Hyperglycaemic Disorders, with CC Score 2-4",.,345,515,.,.,.,.,.,.,.,.,.,535,.,656,.,.,419
KB02K,100,"Diabetes with Hyperglycaemic Disorders, with CC Score 0-1",.,.,.,.,.,389,.,.,.,.,.,.,392,.,.,.,.,391
KB02K,180,"Diabetes with Hyperglycaemic Disorders, with CC Score 0-1",.,.,.,.,"1,000",.,.,.,.,.,.,.,.,.,.,.,.,"1,000"
KB02K,300,"Diabetes with Hyperglycaemic Disorders, with CC Score 0-1",446,401,433,468,376,291,515,.,370,.,349,.,368,.,514,.,364,391
KB02K,301,"Diabetes with Hyperglycaemic Disorders, with CC Score 0-1",.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373
KB02K,302,"Diabetes with Hyperglycaemic Disorders, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,351,.,477,.,.,.,.,452
KB02K,320,"Diabetes with Hyperglycaemic Disorders, with CC Score 0-1",.,.,.,.,.,558,.,.,.,.,471,.,.,.,808,.,.,612
KB02K,340,"Diabetes with Hyperglycaemic Disorders, with CC Score 0-1",.,351,.,.,.,.,.,.,.,.,328,.,.,.,.,.,.,336
KB02K,430,"Diabetes with Hyperglycaemic Disorders, with CC Score 0-1",.,345,.,.,.,.,.,.,.,.,344,.,.,.,656,.,307,365
KB02K,501,"Diabetes with Hyperglycaemic Disorders, with CC Score 0-1",593,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,593
KB03C,300,"Diabetes with Lower Limb Complications, with CC Score 9+",.,401,.,.,.,291,.,.,680,.,.,.,.,.,.,.,.,435
KB03C,430,"Diabetes with Lower Limb Complications, with CC Score 9+",.,.,525,.,.,.,.,.,.,.,.,.,.,.,.,.,.,525
KB03D,100,"Diabetes with Lower Limb Complications, with CC Score 5-8",446,.,.,.,439,.,.,.,.,.,.,.,.,.,.,.,.,441
KB03D,300,"Diabetes with Lower Limb Complications, with CC Score 5-8",.,401,.,.,376,.,.,.,.,.,344,.,370,.,.,.,364,376
KB03E,100,"Diabetes with Lower Limb Complications, with CC Score 0-4",446,.,.,.,439,389,.,.,.,.,.,.,.,.,.,.,.,435
KB03E,300,"Diabetes with Lower Limb Complications, with CC Score 0-4",446,401,.,.,376,.,.,.,.,.,345,.,.,.,514,.,364,415
KB03E,302,"Diabetes with Lower Limb Complications, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,330,.,.,.,.,.,.,330
KB03E,340,"Diabetes with Lower Limb Complications, with CC Score 0-4",.,351,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,351
KB03E,430,"Diabetes with Lower Limb Complications, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,341,.,.,.,.,.,.,341
KC04A,300,Inborn Errors of Metabolism with CC Score 3+,446,.,.,.,.,.,.,.,370,.,.,.,367,.,514,.,364,421
KC04A,302,Inborn Errors of Metabolism with CC Score 3+,.,.,.,.,.,.,.,.,.,.,332,.,.,.,.,.,.,332
KC04A,303,Inborn Errors of Metabolism with CC Score 3+,564,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,564
KC04A,340,Inborn Errors of Metabolism with CC Score 3+,.,.,.,.,.,.,.,.,.,.,329,.,.,.,.,.,.,329
KC04A,361,Inborn Errors of Metabolism with CC Score 3+,546,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,546
KC04B,100,Inborn Errors of Metabolism with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,407,.,.,.,.,407
KC04B,300,Inborn Errors of Metabolism with CC Score 0-2,.,.,436,.,376,291,.,.,.,.,354,.,381,.,.,.,550,401
KC04B,303,Inborn Errors of Metabolism with CC Score 0-2,564,.,676,.,.,.,.,.,.,.,.,.,.,.,.,.,.,606
KC04B,320,Inborn Errors of Metabolism with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,457,457
KC04B,361,Inborn Errors of Metabolism with CC Score 0-2,546,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,546
KC04B,430,Inborn Errors of Metabolism with CC Score 0-2,.,.,515,.,.,.,.,.,.,.,354,.,.,.,.,.,.,462
KC04B,800,Inborn Errors of Metabolism with CC Score 0-2,.,.,594,.,.,.,.,.,.,.,.,.,.,.,.,.,.,594
KC05J,300,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 10+",446,401,431,.,376,.,.,.,.,.,348,.,366,.,514,.,364,382
KC05J,302,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 10+",.,.,.,.,.,.,.,.,.,.,330,.,475,.,.,.,.,427
KC05J,320,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 10+",.,.,.,.,429,558,.,.,.,.,.,.,.,.,.,.,.,494
KC05J,340,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 10+",.,351,445,.,.,.,.,.,.,.,.,.,.,.,.,.,.,398
KC05J,361,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 10+",.,.,700,.,.,452,.,.,.,.,.,.,.,.,.,.,.,592
KC05J,430,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 10+",.,345,522,.,376,.,.,.,.,.,340,.,535,.,.,.,.,481
KC05K,100,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 7-9",.,.,.,.,.,389,.,.,.,.,.,.,.,.,.,.,.,389
KC05K,110,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 7-9",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,414,414
KC05K,300,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 7-9",446,401,439,468,376,.,515,.,370,.,349,.,371,.,514,.,364,387
KC05K,302,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 7-9",.,.,.,.,.,.,.,.,.,.,335,.,474,.,.,.,.,434
KC05K,320,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 7-9",.,.,590,.,.,.,.,.,.,.,472,.,.,.,.,.,.,501
KC05K,340,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 7-9",.,351,.,.,.,.,.,.,.,.,347,.,.,.,.,.,.,349
KC05K,361,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 7-9",.,.,682,.,.,452,.,.,.,.,.,.,.,.,.,.,.,611
KC05K,430,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 7-9",357,345,520,.,.,.,.,.,.,.,341,.,536,.,656,.,.,473
KC05L,100,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 4-6",446,.,.,549,439,.,.,.,.,.,.,.,401,.,.,.,.,447
KC05L,101,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 4-6",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,387,387
KC05L,180,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 4-6",.,.,.,.,"1,000",.,.,.,.,.,.,.,.,.,.,.,.,"1,000"
KC05L,300,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 4-6",446,401,432,468,376,291,515,.,370,.,359,.,375,.,514,.,364,389
KC05L,301,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 4-6",.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373
KC05L,302,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 4-6",.,.,.,.,.,.,.,.,.,.,338,.,487,.,.,.,.,419
KC05L,320,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 4-6",580,392,586,474,.,.,728,.,721,.,.,.,613,.,.,.,.,542
KC05L,340,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 4-6",.,351,.,.,.,.,.,.,.,.,337,.,453,.,.,.,.,356
KC05L,361,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 4-6",.,338,687,.,.,.,.,.,.,.,.,.,.,.,.,.,.,643
KC05L,430,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 4-6",357,345,517,.,376,.,.,.,.,.,370,.,535,.,656,.,307,437
KC05L,800,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 4-6",.,.,596,.,.,.,.,.,.,.,.,.,.,.,.,.,.,596
KC05M,100,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 2-3","1,411",444,.,.,439,389,.,.,.,.,.,.,390,.,.,.,.,577
KC05M,110,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,414,414
KC05M,180,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 2-3",.,.,.,.,"1,000",.,.,.,.,.,223,.,.,.,.,.,.,741
KC05M,300,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 2-3",446,401,432,468,376,291,515,.,370,.,355,.,369,.,514,.,364,388
KC05M,301,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 2-3",.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373
KC05M,302,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,346,.,478,.,.,.,.,379
KC05M,303,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 2-3",564,.,676,.,.,.,.,.,.,.,.,.,.,.,.,.,.,620
KC05M,320,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 2-3",580,.,586,474,.,.,.,.,.,.,.,.,621,.,808,.,.,544
KC05M,340,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 2-3",.,351,.,.,.,.,.,.,.,.,335,.,.,.,.,.,.,344
KC05M,361,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 2-3",546,338,685,.,.,452,.,.,.,.,.,.,.,.,.,.,422,525
KC05M,370,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 2-3",.,.,715,.,.,.,.,.,.,.,.,.,.,.,.,.,.,715
KC05M,430,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 2-3",357,345,530,.,376,.,.,.,.,.,366,.,539,.,656,.,307,437
KC05M,501,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 2-3",.,.,.,.,.,"1,096",.,.,.,.,.,.,.,.,.,.,.,"1,096"
KC05M,502,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 2-3",474,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,474
KC05M,800,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 2-3",.,.,594,.,.,.,.,.,.,.,.,.,.,.,.,.,.,594
KC05N,100,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 0-1",.,.,.,.,439,.,.,.,.,.,.,.,.,.,.,.,.,439
KC05N,120,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,591,.,.,.,.,591
KC05N,180,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 0-1",.,.,.,.,"1,000",.,.,.,.,.,223,.,283,.,.,.,.,447
KC05N,300,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 0-1",446,401,429,468,376,291,515,.,370,.,367,.,369,.,514,.,390,388
KC05N,302,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,355,.,476,.,.,.,.,410
KC05N,320,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 0-1",.,.,.,474,.,.,.,.,.,.,471,.,.,.,.,498,457,475
KC05N,340,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 0-1",.,351,445,.,.,.,.,.,.,.,328,.,453,.,.,.,.,350
KC05N,400,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,851,.,.,.,.,851
KC05N,430,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 0-1",.,345,515,.,.,.,.,.,.,.,340,.,535,.,.,.,307,426
KC05N,501,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 0-1",593,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,729,661
LA02A,361,"Kidney Transplant, 19 years and over, from Cadaver Heart-Beating Donor",.,.,"9,738",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"9,738"
LA04M,300,"Kidney or Urinary Tract Infections, with Interventions, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,373,.,.,.,.,373
LA04N,300,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 13+",.,.,.,.,376,.,.,.,.,.,.,.,371,.,.,.,364,371
LA04P,100,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 8-12",.,.,.,.,.,.,.,.,.,.,.,.,.,.,656,.,.,656
LA04P,300,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 8-12",446,401,429,.,376,291,.,.,370,.,355,.,372,.,514,.,364,382
LA04P,301,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 8-12",.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373
LA04P,320,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 8-12",.,.,.,.,.,.,.,.,.,.,471,.,623,.,.,.,.,547
LA04P,340,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 8-12",.,351,.,.,.,.,.,.,.,.,328,.,.,.,.,.,.,333
LA04P,361,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 8-12",.,.,682,.,.,.,.,.,.,.,.,.,.,.,.,.,.,682
LA04P,430,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 8-12",357,345,527,.,.,.,.,.,.,.,.,.,.,.,.,.,307,405
LA04Q,100,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 4-7",446,444,.,.,439,389,.,.,.,.,.,.,393,.,656,.,443,433
LA04Q,101,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 4-7",.,.,.,.,415,.,.,.,.,.,.,.,.,.,.,.,387,401
LA04Q,300,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 4-7",446,401,432,468,376,291,515,.,370,.,364,.,372,.,514,.,364,389
LA04Q,301,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 4-7",.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373
LA04Q,302,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,335,.,474,.,.,.,.,344
LA04Q,303,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 4-7",564,.,676,.,.,.,.,.,.,.,.,.,.,.,.,.,.,639
LA04Q,320,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 4-7",580,392,586,.,429,.,.,.,.,.,.,.,.,.,808,.,.,548
LA04Q,340,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 4-7",.,351,446,.,.,.,.,.,.,.,345,.,453,.,.,.,.,367
LA04Q,361,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 4-7",546,.,687,.,.,452,.,.,.,.,.,.,.,.,.,.,.,523
LA04Q,430,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 4-7",357,345,526,.,376,.,.,.,333,.,340,.,536,.,656,.,307,449
LA04R,100,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 2-3",446,444,.,549,439,389,.,.,.,.,.,.,392,.,656,.,443,429
LA04R,101,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 2-3",503,.,657,.,415,.,.,.,.,.,.,.,.,.,.,.,.,497
LA04R,110,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,414,414
LA04R,180,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 2-3",.,367,.,.,"1,000",.,.,.,.,.,226,.,280,.,.,.,.,734
LA04R,300,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 2-3",446,401,433,468,376,291,515,.,370,.,355,.,373,.,514,.,368,392
LA04R,301,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 2-3",.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373
LA04R,302,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,336,.,474,.,.,.,.,346
LA04R,320,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 2-3",580,392,.,474,429,.,.,.,.,.,.,.,613,.,808,.,.,598
LA04R,340,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 2-3",.,351,446,.,.,.,.,.,.,.,341,.,471,.,.,.,.,363
LA04R,361,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 2-3",546,338,.,.,.,452,.,.,.,.,.,.,.,.,.,.,.,449
LA04R,430,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 2-3",357,345,523,.,376,409,.,.,.,.,350,.,543,440,656,.,307,438
LA04R,502,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 2-3",.,827,555,.,.,.,.,.,.,.,.,.,.,.,.,.,.,737
LA04S,100,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 0-1",446,444,.,549,439,389,.,.,.,.,.,.,396,.,656,.,443,465
LA04S,101,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 0-1",503,.,630,779,415,.,.,.,.,.,.,.,.,.,.,.,387,474
LA04S,110,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 0-1",525,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,525
LA04S,180,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 0-1",.,367,.,313,"1,000",.,.,.,.,.,224,.,281,.,.,.,.,489
LA04S,300,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 0-1",446,401,435,468,376,291,515,.,370,.,349,.,370,.,514,.,364,388
LA04S,301,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 0-1",.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373
LA04S,302,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,334,.,474,.,.,.,.,353
LA04S,303,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 0-1",.,.,676,.,.,.,.,.,.,.,.,.,.,.,.,.,.,676
LA04S,320,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 0-1",.,392,.,474,429,.,.,.,.,.,.,.,613,.,808,498,.,527
LA04S,340,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 0-1",.,351,.,.,.,.,.,.,.,.,333,.,453,.,.,.,.,352
LA04S,350,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,925,.,.,.,.,925
LA04S,361,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 0-1",546,.,703,.,.,452,.,.,.,.,.,.,.,.,.,.,.,557
LA04S,370,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 0-1",.,.,713,.,.,.,.,.,.,.,.,.,.,.,.,.,.,713
LA04S,430,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 0-1",357,345,518,.,376,.,.,.,333,.,346,.,543,.,656,.,307,430
LA04S,502,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 0-1",474,827,.,908,797,387,.,.,.,.,.,.,.,.,708,.,.,689
LA05Z,361,Renal Replacement Peritoneal Dialysis Associated Procedures,.,.,683,.,.,.,.,.,.,.,.,.,.,.,.,.,.,683
LA07J,300,"Acute Kidney Injury with Interventions, with CC Score 6-10",.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,.,376
LA07K,101,"Acute Kidney Injury with Interventions, with CC Score 0-5",.,.,"1,423",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,423"
LA07K,361,"Acute Kidney Injury with Interventions, with CC Score 0-5",.,.,682,.,.,.,.,.,.,.,.,.,.,.,.,.,.,682
LA07L,300,"Acute Kidney Injury without Interventions, with CC Score 12+",.,401,.,.,376,.,.,.,.,.,.,.,366,.,.,.,364,377
LA07L,361,"Acute Kidney Injury without Interventions, with CC Score 12+",.,338,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,338
LA07L,430,"Acute Kidney Injury without Interventions, with CC Score 12+",.,.,.,.,.,.,.,.,.,.,.,.,535,.,.,.,.,535
LA07M,300,"Acute Kidney Injury without Interventions, with CC Score 8-11",446,401,429,.,376,291,.,.,370,.,349,.,366,.,514,.,364,383
LA07M,301,"Acute Kidney Injury without Interventions, with CC Score 8-11",.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373
LA07M,302,"Acute Kidney Injury without Interventions, with CC Score 8-11",.,.,.,.,.,.,.,.,.,.,330,.,.,.,.,.,.,330
LA07M,320,"Acute Kidney Injury without Interventions, with CC Score 8-11",.,392,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,392
LA07M,340,"Acute Kidney Injury without Interventions, with CC Score 8-11",.,351,445,.,.,.,.,.,.,.,.,.,.,.,.,.,.,398
LA07M,361,"Acute Kidney Injury without Interventions, with CC Score 8-11",546,.,694,.,.,452,.,.,.,.,.,.,.,.,.,.,.,587
LA07M,430,"Acute Kidney Injury without Interventions, with CC Score 8-11",357,345,516,.,.,.,.,.,.,.,340,.,.,.,656,.,.,465
