Quarter Ending ,HSC Trust,Specialty,Programme of Care,0 - 6 weeks,> 6 - 13 weeks,> 13 - 21 weeks,> 21 - 26 weeks,> 26 weeks,>26-52 weeks,>52 weeks,> 26-30 weeks,> 30 weeks,>30-36 weeks,> 26 - 36 weeks,> 36 weeks,Total,
31-Mar-2012,Western,Ophthalmology,Acute Services,491,492,281,83,--,,,--,--,--,0,0,"1,347",
31-Mar-2012,Western,Oral Surgery,Acute Services,240,130,45,19,--,,,--,--,--,0,0,434,
31-Mar-2012,Western,Paediatrics,Acute Services,6,4,0,0,--,,,--,--,--,0,0,10,
31-Mar-2012,Western,Pain Management,Acute Services,118,83,0,0,--,,,--,--,--,0,0,201,
31-Mar-2012,Western,T & O Surgery,Acute Services,336,396,434,246,--,,,--,--,--,338,2,"1,752",
31-Mar-2012,Western,Urology,Acute Services,258,135,127,40,--,,,--,--,--,42,0,602,
30-Jun-2012,Belfast,General Surgery,Acute Services,823,577,432,249,--,,,137,--,179,--,172,"2,569",
30-Jun-2012,Belfast,Urology,Acute Services,666,425,353,208,--,,,92,--,262,--,327,"2,333",
30-Jun-2012,Belfast,T & O Surgery,Acute Services,694,"1,379","1,486",806,--,,,433,--,670,--,237,"5,705",
30-Jun-2012,Belfast,ENT,Acute Services,328,417,433,292,--,,,102,--,68,--,12,"1,652",
30-Jun-2012,Belfast,Ophthalmology,Acute Services,575,948,"1,075",480,--,,,196,--,192,--,41,"3,507",
30-Jun-2012,Belfast,Oral Surgery,Acute Services,28,20,2,0,--,,,0,--,0,--,0,50,
30-Jun-2012,Belfast,Restorative Dentistry,Acute Services,25,13,50,0,--,,,0,--,0,--,0,88,
30-Jun-2012,Belfast,Paediatric Dentistry,Acute Services,32,35,33,0,--,,,2,--,0,--,0,102,
30-Jun-2012,Belfast,Neurosurgery,Acute Services,86,110,57,24,--,,,5,--,10,--,31,323,
30-Jun-2012,Belfast,Plastic Surgery,Acute Services,88,82,82,48,--,,,24,--,36,--,28,388,
30-Jun-2012,Belfast,Cardiac Surgery,Acute Services,106,100,69,22,--,,,0,--,2,--,1,300,
30-Jun-2012,Belfast,Paediatric Surgery,Acute Services,71,110,100,66,--,,,36,--,73,--,37,493,
30-Jun-2012,Belfast,Thoracic Surgery,Acute Services,50,26,19,7,--,,,4,--,4,--,38,148,
30-Jun-2012,Belfast,Pain Management,Acute Services,93,174,200,106,--,,,81,--,137,--,176,967,
30-Jun-2012,Belfast,General Medicine,Acute Services,304,78,0,0,--,,,0,--,0,--,0,382,
30-Jun-2012,Belfast,Gastroenterology,Acute Services,516,138,0,0,--,,,0,--,0,--,0,654,
30-Jun-2012,Belfast,Endocrinology,Acute Services,9,7,0,0,--,,,0,--,0,--,0,16,
30-Jun-2012,Belfast,Cardiology,Acute Services,294,236,189,105,--,,,43,--,54,--,72,993,
30-Jun-2012,Belfast,Dermatology,Acute Services,47,23,9,1,--,,,0,--,0,--,0,80,
30-Jun-2012,Belfast,Thoracic Medicine,Acute Services,2,0,0,0,--,,,0,--,0,--,0,2,
30-Jun-2012,Belfast,Nephrology,Acute Services,34,13,1,0,--,,,0,--,0,--,0,48,
30-Jun-2012,Belfast,Neurology,Acute Services,20,23,16,11,--,,,6,--,7,--,111,194,
30-Jun-2012,Belfast,Rheumatology,Acute Services,6,0,0,0,--,,,0,--,0,--,0,6,
30-Jun-2012,Belfast,Paediatrics,Acute Services,15,29,25,12,--,,,0,--,0,--,0,81,
30-Jun-2012,Belfast,Gynaecology,Acute Services,315,268,197,82,--,,,34,--,31,--,3,930,
30-Jun-2012,Belfast,GP Other,Acute Services,6,0,0,0,--,,,0,--,0,--,0,6,
30-Jun-2012,Belfast,Child & Adolescent Psychiatry,Mental Health,2,1,0,0,--,,,0,--,0,--,0,3,
30-Jun-2012,Belfast,Radiology,Acute Services,13,4,1,0,--,,,0,--,1,--,1,20,
30-Jun-2012,Northern,General Surgery,Acute Services,"1,212",641,322,129,--,,,33,--,28,--,33,"2,398",
30-Jun-2012,Northern,Urology,Acute Services,312,213,136,87,--,,,32,--,27,--,22,829,
30-Jun-2012,Northern,ENT,Acute Services,303,168,81,13,--,,,0,--,0,--,0,565,
30-Jun-2012,Northern,Ophthalmology,Acute Services,14,8,4,2,--,,,0,--,0,--,0,28,
30-Jun-2012,Northern,Oral Surgery,Acute Services,8,6,0,0,--,,,0,--,0,--,0,14,
30-Jun-2012,Northern,Pain Management,Acute Services,97,87,47,6,--,,,1,--,1,--,0,239,
30-Jun-2012,Northern,General Medicine,Acute Services,14,1,0,0,--,,,0,--,0,--,0,15,
30-Jun-2012,Northern,Gastroenterology,Acute Services,667,208,47,4,--,,,0,--,1,--,1,928,
30-Jun-2012,Northern,Cardiology,Acute Services,83,31,0,0,--,,,0,--,0,--,0,114,
30-Jun-2012,Northern,Dermatology,Acute Services,43,27,3,3,--,,,0,--,0,--,0,76,
30-Jun-2012,Northern,Thoracic Medicine,Acute Services,5,0,0,0,--,,,0,--,0,--,0,5,
30-Jun-2012,Northern,Gynaecology,Acute Services,471,335,342,101,--,,,13,--,10,--,3,"1,275",
30-Jun-2012,Northern,GP Other,Acute Services,123,35,0,0,--,,,0,--,0,--,0,158,
30-Jun-2012,South Eastern,General Surgery,Acute Services,784,471,179,29,--,,,10,--,14,--,5,"1,492",
30-Jun-2012,South Eastern,Urology,Acute Services,223,100,41,5,--,,,0,--,4,--,0,373,
30-Jun-2012,South Eastern,T & O Surgery,Acute Services,16,10,1,0,--,,,0,--,0,--,0,27,
30-Jun-2012,South Eastern,ENT,Acute Services,68,161,101,4,--,,,0,--,0,--,0,334,
30-Jun-2012,South Eastern,Ophthalmology,Acute Services,143,99,0,0,--,,,0,--,0,--,0,242,
30-Jun-2012,South Eastern,Oral Surgery,Acute Services,59,38,11,9,--,,,0,--,0,--,0,117,
30-Jun-2012,South Eastern,Neurosurgery,Acute Services,1,0,0,0,--,,,0,--,0,--,0,1,
30-Jun-2012,South Eastern,Plastic Surgery,Acute Services,257,181,284,187,--,,,45,--,28,--,4,986,
30-Jun-2012,South Eastern,Paediatric Surgery,Acute Services,28,30,16,5,--,,,1,--,0,--,0,80,
30-Jun-2012,South Eastern,Pain Management,Acute Services,54,24,1,0,--,,,0,--,0,--,0,79,
30-Jun-2012,South Eastern,General Medicine,Acute Services,458,256,4,0,--,,,0,--,0,--,0,718,
30-Jun-2012,South Eastern,Gastroenterology,Acute Services,69,24,1,0,--,,,0,--,0,--,0,94,
30-Jun-2012,South Eastern,Cardiology,Acute Services,76,29,14,1,--,,,0,--,0,--,0,120,
30-Jun-2012,South Eastern,Dermatology,Acute Services,158,20,5,0,--,,,0,--,0,--,1,184,
30-Jun-2012,South Eastern,Nephrology,Acute Services,1,0,0,0,--,,,0,--,0,--,0,1,
30-Jun-2012,South Eastern,Rheumatology,Acute Services,1,0,0,0,--,,,0,--,0,--,0,1,
30-Jun-2012,South Eastern,Paediatrics,Acute Services,13,2,0,0,--,,,0,--,0,--,0,15,
30-Jun-2012,South Eastern,Geriatric Medicine,Elderly Care,23,0,0,0,--,,,0,--,0,--,0,23,
30-Jun-2012,South Eastern,Gynaecology,Acute Services,253,314,190,36,--,,,21,--,19,--,25,858,
30-Jun-2012,South Eastern,GP Other,Acute Services,26,1,0,0,--,,,0,--,0,--,0,27,
30-Jun-2012,South Eastern,Clinical Oncology,Acute Services,7,0,0,0,--,,,0,--,0,--,0,7,
30-Jun-2012,Southern,General Surgery,Acute Services,"1,080",668,390,148,--,,,100,--,110,--,51,"2,547",
30-Jun-2012,Southern,Urology,Acute Services,182,167,237,144,--,,,66,--,80,--,109,985,
30-Jun-2012,Southern,T & O Surgery,Acute Services,159,113,170,72,--,,,34,--,50,--,37,635,
30-Jun-2012,Southern,ENT,Acute Services,261,267,148,6,--,,,0,--,0,--,0,682,
30-Jun-2012,Southern,Ophthalmology,Acute Services,69,118,225,16,--,,,5,--,0,--,0,433,
30-Jun-2012,Southern,Oral Surgery,Acute Services,16,32,22,0,--,,,0,--,0,--,0,70,
30-Jun-2012,Southern,Paediatric Dentistry,Acute Services,0,1,0,0,--,,,0,--,0,--,0,1,
30-Jun-2012,Southern,Pain Management,Acute Services,53,97,98,62,--,,,38,--,40,--,10,398,
30-Jun-2012,Southern,General Medicine,Acute Services,6,7,0,0,--,,,0,--,0,--,0,13,
30-Jun-2012,Southern,Gastroenterology,Acute Services,309,138,10,0,--,,,0,--,0,--,0,457,
30-Jun-2012,Southern,Haematology (Clinical),Acute Services,8,4,0,0,--,,,0,--,0,--,0,12,
30-Jun-2012,Southern,Cardiology,Acute Services,222,248,341,171,--,,,124,--,178,--,58,"1,342",
30-Jun-2012,Southern,Dermatology,Acute Services,108,81,0,0,--,,,0,--,0,--,0,189,
30-Jun-2012,Southern,Thoracic Medicine,Acute Services,3,0,0,0,--,,,0,--,0,--,0,3,
30-Jun-2012,Southern,Neurology,Acute Services,11,0,0,0,--,,,0,--,0,--,0,11,
30-Jun-2012,Southern,Rheumatology,Acute Services,203,201,143,59,--,,,2,--,2,--,0,610,
30-Jun-2012,Southern,Gynaecology,Acute Services,322,228,117,19,--,,,0,--,0,--,0,686,
30-Jun-2012,Southern,GP Other,Acute Services,63,7,3,0,--,,,0,--,0,--,0,73,
30-Jun-2012,Southern,Clinical Oncology,Acute Services,4,0,0,0,--,,,0,--,0,--,0,4,
30-Jun-2012,Western,General Surgery,Acute Services,730,552,556,222,--,,,151,--,182,--,189,"2,582",
30-Jun-2012,Western,Urology,Acute Services,235,110,73,24,--,,,18,--,11,--,3,474,
30-Jun-2012,Western,T & O Surgery,Acute Services,274,281,350,168,--,,,142,--,193,--,192,"1,600",
30-Jun-2012,Western,ENT,Acute Services,305,237,215,43,--,,,10,--,10,--,3,823,
30-Jun-2012,Western,Ophthalmology,Acute Services,383,411,239,71,--,,,35,--,29,--,1,"1,169",
30-Jun-2012,Western,Oral Surgery,Acute Services,235,93,62,40,--,,,3,--,5,--,0,438,
30-Jun-2012,Western,Pain Management,Acute Services,114,88,44,6,--,,,0,--,0,--,0,252,
30-Jun-2012,Western,General Medicine,Acute Services,673,329,85,12,--,,,1,--,0,--,0,"1,100",
30-Jun-2012,Western,Cardiology,Acute Services,38,9,3,0,--,,,0,--,0,--,0,50,
30-Jun-2012,Western,Paediatrics,Acute Services,9,3,0,0,--,,,0,--,0,--,0,12,
30-Jun-2012,Western,Gynaecology,Acute Services,177,204,147,68,--,,,30,--,23,--,4,653,
30-Jun-2012,Western,GP Other,Acute Services,56,3,0,0,--,,,0,--,0,--,0,59,
30-Sep-2012,Belfast ,General Surgery,Acute Services,918,550,444,250,--,,,150,--,212,--,255,"2,779",
30-Sep-2012,Belfast ,Urology,Acute Services,605,343,328,135,--,,,142,--,195,--,312,"2,060",
30-Sep-2012,Belfast ,T & O Surgery,Acute Services,652,"1,419","1,590",740,--,,,576,--,661,--,332,"5,970",
30-Sep-2012,Belfast ,ENT,Acute Services,331,418,465,227,--,,,159,--,164,--,34,"1,798",
30-Sep-2012,Belfast ,Ophthalmology,Acute Services,910,914,893,489,--,,,334,--,248,--,23,"3,811",
30-Sep-2012,Belfast ,Oral Surgery,Acute Services,38,20,0,0,--,,,0,--,0,--,0,58,
30-Sep-2012,Belfast ,Restorative Dentistry,Acute Services,29,8,3,1,--,,,17,--,20,--,0,78,
30-Sep-2012,Belfast ,Paediatric Dentistry,Acute Services,51,42,24,13,--,,,0,--,0,--,0,130,
30-Sep-2012,Belfast ,Neurosurgery,Acute Services,60,87,56,26,--,,,5,--,15,--,23,272,
30-Sep-2012,Belfast ,Plastic Surgery,Acute Services,77,83,73,18,--,,,20,--,32,--,64,367,
30-Sep-2012,Belfast ,Cardiac Surgery,Acute Services,101,78,69,18,,,,4,--,0,,1,271,
30-Sep-2012,Belfast ,Paediatric Surgery,Acute Services,58,107,91,66,--,,,41,--,58,--,25,446,
30-Sep-2012,Belfast ,Thoracic Surgery,Acute Services,38,18,9,10,,,,7,--,4,,22,108,
30-Sep-2012,Belfast ,Pain Management,Acute Services,91,138,145,95,--,,,91,--,100,--,260,920,
30-Sep-2012,Belfast ,General Medicine,Acute Services,175,40,3,0,--,,,0,--,0,--,0,218,
30-Sep-2012,Belfast ,Gastroenterology,Acute Services,575,94,20,1,--,,,0,--,0,--,0,690,
30-Sep-2012,Belfast ,Endocrinology,Acute Services,15,3,2,0,--,,,0,--,0,--,0,20,
30-Sep-2012,Belfast ,Cardiology,Acute Services,268,271,198,84,--,,,67,--,50,--,97,"1,035",
30-Sep-2012,Belfast ,Dermatology,Acute Services,21,14,17,8,--,,,4,--,1,--,0,65,
30-Sep-2012,Belfast ,Thoracic Medicine,Acute Services,9,0,0,0,--,,,0,--,0,--,0,9,
30-Sep-2012,Belfast ,Nephrology,Acute Services,26,15,2,0,--,,,0,--,0,--,0,43,
30-Sep-2012,Belfast ,Neurology,Acute Services,30,26,17,13,--,,,4,--,12,--,98,200,
30-Sep-2012,Belfast ,Rheumatology,Acute Services,19,5,0,0,--,,,0,--,0,--,0,24,
30-Sep-2012,Belfast ,Paediatrics,Acute Services,1,18,22,7,--,,,7,--,4,--,1,60,
30-Sep-2012,Belfast ,Gynaecology,Acute Services,352,225,244,65,--,,,43,--,58,--,17,"1,004",
30-Sep-2012,Belfast ,GP Other,Acute Services,2,0,0,0,--,,,0,--,0,--,0,2,
30-Sep-2012,Belfast,Forensic Psychiatry,Mental Health,1,0,0,0,--,,,0,--,0,--,0,1,
30-Sep-2012,Belfast ,Radiology,Acute Services,20,12,5,1,--,,,0,--,0,--,2,40,
30-Sep-2012,Northern ,General Surgery,Acute Services,986,507,182,42,--,,,12,--,13,--,7,"1,749",
30-Sep-2012,Northern ,Urology,Acute Services,369,149,107,72,--,,,4,--,14,--,5,720,
30-Sep-2012,Northern ,ENT,Acute Services,393,213,44,6,--,,,1,--,4,--,0,661,
30-Sep-2012,Northern ,Ophthalmology,Acute Services,8,6,20,13,--,,,0,--,1,--,0,48,
30-Sep-2012,Northern ,Oral Surgery,Acute Services,1,4,4,1,--,,,0,--,0,--,0,10,
30-Sep-2012,Northern ,Pain Management,Acute Services,124,78,2,0,--,,,0,--,0,--,0,204,
30-Sep-2012,Northern ,General Medicine,Acute Services,1,0,0,0,--,,,0,--,0,--,0,1,
30-Sep-2012,Northern ,Gastroenterology,Acute Services,782,147,32,8,--,,,0,--,0,--,0,969,
30-Sep-2012,Northern ,Cardiology,Acute Services,70,69,7,0,--,,,0,--,0,--,0,146,
30-Sep-2012,Northern ,Dermatology,Acute Services,47,15,3,0,--,,,0,--,0,--,0,65,
30-Sep-2012,Northern ,Thoracic Medicine,Acute Services,4,0,0,0,--,,,0,--,0,--,0,4,
30-Sep-2012,Northern ,Gynaecology,Acute Services,352,360,311,107,--,,,49,--,23,--,2,"1,204",
30-Sep-2012,Northern ,GP Other,Acute Services,124,53,1,0,--,,,0,--,0,--,0,178,
30-Sep-2012,South Eastern ,General Surgery,Acute Services,690,419,181,0,--,,,0,--,0,--,0,"1,290",
30-Sep-2012,South Eastern ,Urology,Acute Services,293,120,63,31,--,,,2,--,0,--,0,509,
30-Sep-2012,South Eastern ,T & O Surgery,Acute Services,18,11,0,0,--,,,0,--,0,--,0,29,
30-Sep-2012,South Eastern ,ENT,Acute Services,51,140,122,0,--,,,0,--,0,--,0,313,
30-Sep-2012,South Eastern ,Ophthalmology,Acute Services,152,102,0,0,--,,,0,--,0,--,0,254,
30-Sep-2012,South Eastern ,Oral Surgery,Acute Services,48,56,11,0,--,,,0,--,0,--,0,115,
30-Sep-2012,South Eastern ,Plastic Surgery,Acute Services,310,135,140,0,--,,,0,--,0,--,0,585,
30-Sep-2012,South Eastern ,Paediatric Surgery,Acute Services,43,30,7,5,--,,,0,--,0,--,1,86,
30-Sep-2012,South Eastern ,Pain Management,Acute Services,47,17,0,0,--,,,0,--,0,--,0,64,
30-Sep-2012,South Eastern ,General Medicine,Acute Services,474,127,0,0,--,,,0,--,0,--,0,601,
30-Sep-2012,South Eastern ,Gastroenterology,Acute Services,82,21,0,0,--,,,0,--,0,--,0,103,
30-Sep-2012,South Eastern ,Haematology (Clinical),Acute Services,8,0,0,0,--,,,0,--,0,--,0,8,
30-Sep-2012,South Eastern ,Cardiology,Acute Services,74,70,16,9,--,,,2,--,3,--,0,174,
30-Sep-2012,South Eastern ,Dermatology,Acute Services,116,39,52,0,--,,,0,--,0,--,0,207,
30-Sep-2012,South Eastern ,Neurology,Acute Services,2,0,0,0,--,,,0,--,0,--,0,2,
30-Sep-2012,South Eastern ,Paediatrics,Acute Services,15,3,0,0,--,,,0,--,0,--,0,18,
30-Sep-2012,South Eastern ,Geriatric Medicine,Elderly Care,26,0,0,0,--,,,0,--,0,--,0,26,
30-Sep-2012,South Eastern ,Gynaecology,Acute Services,219,167,207,95,--,,,32,--,16,--,27,763,
30-Sep-2012,South Eastern ,GP Other,Acute Services,26,0,0,0,--,,,0,--,0,--,0,26,
30-Sep-2012,South Eastern ,Clinical Oncology,Acute Services,7,0,0,0,--,,,0,--,0,--,0,7,
30-Sep-2012,Southern,General Surgery,Acute Services,1013,772,372,148,--,,,99,--,116,--,15,"2,535",
30-Sep-2012,Southern,Urology,Acute Services,245,171,102,61,--,,,60,--,112,--,146,897,
30-Sep-2012,Southern,T & O Surgery,Acute Services,144,136,104,57,--,,,65,--,76,--,32,614,
30-Sep-2012,Southern,ENT,Acute Services,260,279,76,4,--,,,0,--,1,--,0,620,
30-Sep-2012,Southern,Ophthalmology,Acute Services,114,83,7,37,--,,,63,--,36,--,2,342,
30-Sep-2012,Southern,Oral Surgery,Acute Services,35,21,16,6,--,,,9,--,0,--,0,87,
30-Sep-2012,Southern,Paediatric Dentistry,Acute Services,0,2,0,1,--,,,0,--,0,--,0,3,
30-Sep-2012,Southern,Pain Management,Acute Services,68,90,82,44,--,,,34,--,61,--,1,380,
30-Sep-2012,Southern,General Medicine,Acute Services,4,1,0,0,--,,,0,--,0,--,0,5,
30-Sep-2012,Southern,Gastroenterology,Acute Services,298,218,14,1,--,,,0,--,0,--,0,531,
30-Sep-2012,Southern,Haematology (Clinical),Acute Services,20,2,0,0,--,,,0,--,0,--,0,22,
30-Sep-2012,Southern,Cardiology,Acute Services,218,254,272,158,--,,,159,--,222,--,49,"1,332",
30-Sep-2012,Southern,Dermatology,Acute Services,115,66,1,0,--,,,0,--,0,--,0,182,
30-Sep-2012,Southern,Thoracic Medicine,Acute Services,15,1,0,0,--,,,0,--,0,--,1,17,
30-Sep-2012,Southern,Neurology,Acute Services,18,4,0,0,--,,,0,--,0,--,0,22,
30-Sep-2012,Southern,Rheumatology,Acute Services,224,177,154,50,--,,,17,--,11,--,0,633,
30-Sep-2012,Southern,Gynaecology,Acute Services,270,228,119,13,--,,,3,--,0,--,0,633,
30-Sep-2012,Southern,GP Other,Acute Services,48,12,0,0,--,,,0,--,0,--,0,60,
30-Sep-2012,Southern,Clinical Oncology,Acute Services,16,1,0,0,--,,,0,--,0,--,0,17,
30-Sep-2012,Western ,General Surgery,Acute Services,803,362,404,159,--,,,129,--,69,--,100,"2,026",
30-Sep-2012,Western ,Urology,Acute Services,214,94,65,18,--,,,0,--,0,--,0,391,
30-Sep-2012,Western ,T & O Surgery,Acute Services,320,311,291,152,--,,,142,--,190,--,70,"1,476",
30-Sep-2012,Western ,ENT,Acute Services,252,174,261,97,--,,,52,--,0,--,0,836,
30-Sep-2012,Western ,Ophthalmology,Acute Services,348,430,260,68,--,,,2,--,6,--,1,"1,115",
30-Sep-2012,Western ,Oral Surgery,Acute Services,243,83,48,28,--,,,13,--,4,--,1,420,
30-Sep-2012,Western ,Pain Management,Acute Services,120,97,0,0,--,,,0,--,0,--,0,217,
30-Sep-2012,Western ,General Medicine,Acute Services,780,118,0,0,--,,,0,--,0,--,0,898,
30-Sep-2012,Western ,Cardiology,Acute Services,61,16,0,0,--,,,0,--,0,--,0,77,
30-Sep-2012,Western ,Paediatrics,Acute Services,3,0,0,0,--,,,0,--,0,--,0,3,
30-Sep-2012,Western ,Gynaecology,Acute Services,247,177,113,68,--,,,39,--,22,--,3,669,
30-Sep-2012,Western ,GP Other,Acute Services,41,1,0,0,--,,,0,--,0,--,0,42,
31-Dec-2012,Belfast,General Surgery,Acute Services,802,733,437,182,--,,,140,--,175,--,286,"2,755",
31-Dec-2012,Belfast,Urology,Acute Services,657,404,241,104,--,,,80,--,131,--,390,"2,007",
31-Dec-2012,Belfast,T & O Surgery,Acute Services,"1,539","1,646","1,315",638,--,,,446,--,324,--,149,"6,057",
31-Dec-2012,Belfast,ENT,Acute Services,371,447,434,243,--,,,198,--,180,--,47,"1,920",
31-Dec-2012,Belfast,Ophthalmology,Acute Services,618,"1,082",986,370,--,,,233,--,231,--,92,"3,612",
31-Dec-2012,Belfast,Oral Surgery,Acute Services,35,8,1,0,--,,,0,--,0,--,0,44,
31-Dec-2012,Belfast,Restorative Dentistry,Acute Services,26,19,5,0,--,,,1,--,0,--,0,51,
31-Dec-2012,Belfast,Paediatric Dentistry,Acute Services,17,31,39,26,--,,,6,--,7,--,2,128,
31-Dec-2012,Belfast,Neurosurgery,Acute Services,80,84,35,11,--,,,8,--,11,--,19,248,
31-Dec-2012,Belfast,Plastic Surgery,Acute Services,48,78,58,35,--,,,29,--,25,--,55,328,
31-Dec-2012,Belfast,Cardiac Surgery,Acute Services,90,94,68,18,--,,,9,--,9,--,1,289,
31-Dec-2012,Belfast,Paediatric Surgery,Acute Services,69,115,113,70,--,,,51,--,64,--,37,519,
31-Dec-2012,Belfast,Thoracic Surgery,Acute Services,36,22,16,8,--,,,1,--,2,--,7,92,
31-Dec-2012,Belfast,Pain Management,Acute Services,105,113,122,91,--,,,53,--,83,--,232,799,
31-Dec-2012,Belfast,General Medicine,Acute Services,165,39,1,0,--,,,0,--,0,--,0,205,
31-Dec-2012,Belfast,Gastroenterology,Acute Services,550,166,18,4,--,,,2,--,1,--,0,741,
31-Dec-2012,Belfast,Endocrinology,Acute Services,18,7,1,0,--,,,0,--,0,--,0,26,
31-Dec-2012,Belfast,Cardiology,Acute Services,273,279,201,77,--,,,52,--,61,--,101,"1,044",
31-Dec-2012,Belfast,Dermatology,Acute Services,30,18,13,5,--,,,3,--,7,--,0,76,
31-Dec-2012,Belfast,Thoracic Medicine,Acute Services,5,1,0,0,--,,,0,--,0,--,0,6,
31-Dec-2012,Belfast,Nephrology,Acute Services,34,13,2,0,--,,,0,--,0,--,0,49,
31-Dec-2012,Belfast,Neurology,Acute Services,42,23,17,14,--,,,6,--,14,--,44,160,
31-Dec-2012,Belfast,Rheumatology,Acute Services,18,10,1,2,--,,,0,--,1,--,0,32,
31-Dec-2012,Belfast,Paediatrics,Acute Services,25,25,1,1,--,,,0,--,0,--,0,52,
31-Dec-2012,Belfast,Gynaecology,Acute Services,351,355,214,62,--,,,41,--,60,--,31,"1,114",
31-Dec-2012,Belfast,GP Other,Acute Services,8,0,0,0,--,,,0,--,0,--,0,8,
31-Dec-2012,Belfast,Child & Adolescent Psychiatry,Mental Health,2,0,0,0,--,,,0,--,0,--,0,2,
31-Dec-2012,Belfast,Forensic Psychiatry,Mental Health,3,0,0,0,--,,,0,--,0,--,0,3,
31-Dec-2012,Belfast,Radiology,Acute Services,13,12,2,2,--,,,0,--,0,--,2,31,
31-Dec-2012,Northern,General Surgery,Acute Services,"1,090",650,152,49,--,,,28,--,8,--,9,"1,986",
31-Dec-2012,Northern,Urology,Acute Services,293,133,104,9,--,,,6,--,4,--,3,552,
31-Dec-2012,Northern,ENT,Acute Services,247,215,61,6,--,,,1,--,8,--,0,538,
31-Dec-2012,Northern,Ophthalmology,Acute Services,8,14,35,2,--,,,0,--,1,--,0,60,
31-Dec-2012,Northern,Oral Surgery,Acute Services,2,5,0,3,--,,,2,--,1,--,1,14,
31-Dec-2012,Northern,Pain Management,Acute Services,81,105,6,17,--,,,1,--,2,--,0,212,
31-Dec-2012,Northern,Gastroenterology,Acute Services,673,273,59,10,--,,,0,--,0,--,0,"1,015",
31-Dec-2012,Northern,Cardiology,Acute Services,78,54,3,1,--,,,0,--,0,--,0,136,
31-Dec-2012,Northern,Dermatology,Acute Services,51,23,0,0,--,,,0,--,0,--,0,74,
31-Dec-2012,Northern,Thoracic Medicine,Acute Services,10,0,0,0,--,,,0,--,0,--,0,10,
31-Dec-2012,Northern,Gynaecology,Acute Services,429,276,220,121,--,,,70,--,54,--,11,"1,181",
31-Dec-2012,Northern,GP Other,Acute Services,117,41,0,0,--,,,0,--,0,--,0,158,
31-Dec-2012,South Eastern,General Surgery,Acute Services,688,427,160,12,--,,,0,--,0,--,0,"1,287",
31-Dec-2012,South Eastern,Urology,Acute Services,295,155,127,41,--,,,31,--,3,--,0,652,
31-Dec-2012,South Eastern,T & O Surgery,Acute Services,20,14,3,0,--,,,0,--,0,--,0,37,
31-Dec-2012,South Eastern,ENT,Acute Services,57,99,79,6,--,,,1,--,0,--,0,242,
31-Dec-2012,South Eastern,Ophthalmology,Acute Services,158,125,0,0,--,,,0,--,0,--,0,283,
31-Dec-2012,South Eastern,Oral Surgery,Acute Services,90,35,6,0,--,,,0,--,0,--,0,131,
31-Dec-2012,South Eastern,Plastic Surgery,Acute Services,265,169,118,28,--,,,13,--,15,--,26,634,
31-Dec-2012,South Eastern,Paediatric Surgery,Acute Services,17,52,28,3,--,,,0,--,0,--,2,102,
31-Dec-2012,South Eastern,Pain Management,Acute Services,52,26,0,0,--,,,0,--,0,--,0,78,
31-Dec-2012,South Eastern,General Medicine,Acute Services,465,181,8,0,--,,,0,--,0,--,0,654,
31-Dec-2012,South Eastern,Gastroenterology,Acute Services,56,36,4,0,--,,,0,--,0,--,0,96,
31-Dec-2012,South Eastern,Haematology (Clinical),Acute Services,3,0,0,0,--,,,0,--,0,--,0,3,
31-Dec-2012,South Eastern,Cardiology,Acute Services,94,45,14,14,--,,,7,--,4,--,6,184,
31-Dec-2012,South Eastern,Dermatology,Acute Services,70,67,4,0,--,,,0,--,0,--,0,141,
31-Dec-2012,South Eastern,Nephrology,Acute Services,1,0,0,0,--,,,0,--,0,--,0,1,
31-Dec-2012,South Eastern,Paediatrics,Acute Services,16,39,0,0,--,,,0,--,0,--,0,55,
31-Dec-2012,South Eastern,Geriatric Medicine,Elderly Care,22,0,0,0,--,,,0,--,0,--,0,22,
31-Dec-2012,South Eastern,Gynaecology,Acute Services,205,155,79,30,--,,,36,--,56,--,42,603,
31-Dec-2012,South Eastern,GP Other,Acute Services,40,1,0,0,--,,,0,--,0,--,0,41,
31-Dec-2012,Southern,General Surgery,Acute Services,"1,157",921,433,139,--,,,69,--,95,--,22,"2,836",
31-Dec-2012,Southern,Urology,Acute Services,283,258,136,39,--,,,25,--,31,--,69,841,
31-Dec-2012,Southern,T & O Surgery,Acute Services,170,154,104,55,--,,,26,--,28,--,65,602,
31-Dec-2012,Southern,ENT,Acute Services,287,277,85,6,--,,,0,--,0,--,0,655,
31-Dec-2012,Southern,Ophthalmology,Acute Services,98,35,6,0,--,,,0,--,0,--,0,139,
31-Dec-2012,Southern,Oral Surgery,Acute Services,11,22,37,6,--,,,4,--,2,--,1,83,
31-Dec-2012,Southern,Paediatric Dentistry,Acute Services,1,1,2,0,--,,,0,--,1,--,0,5,
31-Dec-2012,Southern,Pain Management,Acute Services,72,126,104,34,--,,,27,--,39,--,0,402,
31-Dec-2012,Southern,General Medicine,Acute Services,1,1,0,0,--,,,0,--,0,--,0,2,
31-Dec-2012,Southern,Gastroenterology,Acute Services,331,256,53,2,--,,,0,--,0,--,0,642,
31-Dec-2012,Southern,Haematology (Clinical),Acute Services,8,2,3,2,--,,,0,--,0,--,0,15,
31-Dec-2012,Southern,Cardiology,Acute Services,216,254,285,154,--,,,126,--,185,--,111,"1,331",
