HRG,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Average
HD21F,Soft Tissue Disorders with CC Score 6-8,"3,675","2,595","2,642","4,082","1,786","1,784","2,286",.,"2,337",.,"1,428",827,"6,107","5,116",.,"2,457","2,745"
HD21G,Soft Tissue Disorders with CC Score 3-5,"2,185","1,915",786,"2,498","1,916","1,281","3,165","3,578","1,127",.,"1,812","1,747","2,443","3,863",.,"1,362","1,726"
HD21H,Soft Tissue Disorders with CC Score 0-2,650,629,464,598,435,368,614,698,376,.,370,460,.,563,.,666,533
HD23D,"Inflammatory, Spine, Joint or Connective Tissue Disorders, with CC Score 12+",.,"2,440","3,166","10,432",.,.,.,"2,397","8,552","7,552",.,"3,886","3,257",.,.,"7,018","6,254"
HD23E,"Inflammatory, Spine, Joint or Connective Tissue Disorders, with CC Score 9-11","1,107","3,115",.,.,"2,617","3,615","2,638","7,181","3,931","3,956",.,"5,665","10,586","7,081",.,"3,505","3,824"
HD23F,"Inflammatory, Spine, Joint or Connective Tissue Disorders, with CC Score 7-8","2,251","1,995","2,628",.,"1,997","2,813","2,110","5,740","1,568","3,117",.,"1,747",.,"8,034",.,"1,942","2,672"
HD23G,"Inflammatory, Spine, Joint or Connective Tissue Disorders, with CC Score 5-6","2,401","3,114","2,492","2,477","1,760","1,707","1,055","4,886","1,859",.,"1,417","1,242",.,"3,264",.,"2,055","2,471"
HD23H,"Inflammatory, Spine, Joint or Connective Tissue Disorders, with CC Score 3-4","2,843","1,614","2,345","2,070","1,867","2,078","1,055","4,358","2,067",.,"1,104","1,474","3,664","3,264",.,"1,914","2,254"
HD23J,"Inflammatory, Spine, Joint or Connective Tissue Disorders, with CC Score 0-2","1,415","1,684","2,550","1,696","1,675","1,775","1,758","3,757","2,226",.,"2,036","2,173",.,"1,674",.,"1,554","2,037"
HD24D,"Non-Inflammatory, Bone or Joint Disorders, with CC Score 12+","1,707","6,709",.,.,"3,663",904,"7,385","3,830",.,"8,272",.,"5,386",.,"13,423",.,"6,478","3,742"
HD24E,"Non-Inflammatory, Bone or Joint Disorders, with CC Score 8-11","3,683","4,549","5,412","3,629","5,039","1,172","8,968","2,857","5,727","5,395",.,"4,975","10,382","6,438",.,"13,931","5,238"
HD24F,"Non-Inflammatory, Bone or Joint Disorders, with CC Score 5-7","4,323","2,644","3,874",.,"1,742","1,205","1,583","1,878","1,926","4,675",.,"2,610","4,479","8,501",.,"2,127","2,950"
HD24G,"Non-Inflammatory, Bone or Joint Disorders, with CC Score 2-4","2,710","2,380","3,233","2,268","1,857","1,768","4,220","5,858","2,818",.,"2,287","2,933",.,"8,045",.,"1,606","2,900"
HD24H,"Non-Inflammatory, Bone or Joint Disorders, with CC Score 0-1","1,039","1,152",.,.,"1,804",.,.,.,.,.,"1,081","1,368",.,.,.,.,"1,313"
HD25D,"Infections of Bones or Joints, with CC Score 13+","19,345",.,.,.,"8,515",.,"5,275","22,084","2,731","8,811",.,"4,291","6,107","4,519",.,"4,212","7,411"
HD25E,"Infections of Bones or Joints, with CC Score 9-12","9,262","3,416","3,482","15,875","2,538","7,984","5,803","19,347","1,503",.,.,"3,328",.,"22,532",.,"3,088","5,306"
HD25F,"Infections of Bones or Joints, with CC Score 5-8","5,192","5,948","4,338","4,961","3,547","3,629",.,"2,887","3,461","6,653","2,817","6,995","5,293","3,069",.,"3,355","4,418"
HD25G,"Infections of Bones or Joints, with CC Score 2-4","3,494","2,388","4,644","3,402","3,992","5,173",.,"7,456","6,200",.,.,"3,397",.,"3,220",.,"2,779","3,770"
HD25H,"Infections of Bones or Joints, with CC Score 0-1","5,862","2,033",786,"4,443","2,021",.,"6,330","3,539","1,879",.,"1,221","3,464",.,.,.,"2,659","3,161"
HD26D,"Musculoskeletal Signs or Symptoms, with CC Score 12+",.,.,.,.,.,.,"9,372",.,"2,561",.,.,.,.,.,.,"5,620","5,793"
HD26E,"Musculoskeletal Signs or Symptoms, with CC Score 8-11","3,157","3,153",.,"4,082","3,281","1,055",.,"3,539","3,238",.,"1,428","2,510","9,093","9,039",.,"3,250","3,960"
HD26F,"Musculoskeletal Signs or Symptoms, with CC Score 4-7","2,770","2,815","2,912","3,437",980,"3,499",.,"5,632",.,.,"2,034","1,602","3,868","3,542",.,"1,796","2,665"
HD26G,"Musculoskeletal Signs or Symptoms, with CC Score 0-3","1,387",944,"1,836","1,677","1,597",979,.,"2,397",.,.,995,"1,237",.,"2,167",.,"1,212","1,299"
HD39D,Pathological Fractures with CC Score 11+,"1,753","4,882",.,.,.,.,.,.,"5,825","2,338",.,.,"5,700",.,.,"5,819","4,746"
HD39E,Pathological Fractures with CC Score 8-10,"4,052","1,896",.,"8,751","3,512",.,.,.,"6,219","5,754",.,"11,384",.,.,.,"11,559","5,596"
HD39F,Pathological Fractures with CC Score 6-7,"4,060","1,111","6,520",.,"2,001","3,314","2,374",.,.,.,.,"7,650","5,700",.,.,"6,235","4,412"
HD39G,Pathological Fractures with CC Score 3-5,"3,409","3,253","2,375","2,863","2,467","2,796","4,707","3,390",742,"3,237","2,151","3,590","3,664",.,.,"1,448","2,802"
HD39H,Pathological Fractures with CC Score 0-2,"2,063","1,387",.,"3,030","1,221",.,.,.,.,.,"2,105","2,571",.,.,.,"2,033","2,179"
HD40D,"Malignancy of Bone or Connective Tissue, with CC Score 12+","10,907",.,"4,952","2,721","2,175","1,205",.,.,"8,203","3,956",.,"11,726",.,.,.,"11,340","6,809"
HD40E,"Malignancy of Bone or Connective Tissue, with CC Score 8-11","5,880","4,066","4,480","24,040","2,731","2,538",.,.,.,.,.,.,.,.,.,"4,114","5,172"
HD40F,"Malignancy of Bone or Connective Tissue, with CC Score 5-7","3,430","1,830","2,111","4,989","2,025","3,615",.,.,"2,423",.,.,"3,641",.,"4,519",.,"2,221","2,586"
HD40G,"Malignancy of Bone or Connective Tissue, with CC Score 2-4","2,920","2,988","4,883",.,"1,989","3,615",.,"4,841","2,630",.,"6,827","4,338",.,"8,536",.,"3,192","4,162"
HD40H,"Malignancy of Bone or Connective Tissue, with CC Score 0-1","3,068","2,712","3,537","4,087","3,357","2,109",.,.,.,.,.,"1,941",.,"4,530",.,"1,889","3,009"
HR07A,"Orthopaedic Reconstruction with Intervention Score 43 or less, with Diagnosis Score 22 or less","4,370",.,.,.,"5,750",.,.,.,.,.,.,"5,486",.,.,.,"7,699","5,850"
HR07B,"Orthopaedic Reconstruction with Intervention Score 43 or less, with Diagnosis Score 23-60","8,290",.,.,.,"7,216",.,.,"10,341",.,.,.,"8,044",.,.,.,"5,025","7,167"
HR07C,"Orthopaedic Reconstruction with Intervention Score 43 or less, with Diagnosis Score 61 or more","4,370",.,.,.,"14,695",.,.,"10,777",.,.,.,"12,536",.,.,.,"3,813","10,280"
HR08A,"Orthopaedic Reconstruction with Intervention Score 44-65, with Diagnosis Score 22 or less","3,343",.,.,.,"5,957",.,.,.,.,.,.,"6,147",.,.,.,"4,173","5,258"
HR08B,"Orthopaedic Reconstruction with Intervention Score 44-65, with Diagnosis Score 23-60","4,763",.,.,.,"6,293",.,.,.,.,.,.,"6,921",.,.,.,"4,264","6,036"
HR08C,"Orthopaedic Reconstruction with Intervention Score 44-65, with Diagnosis Score 61 or more","5,744",.,.,.,"11,339",.,.,"16,010",.,.,.,"9,162",.,.,.,.,"8,906"
HR09A,"Orthopaedic Reconstruction with Intervention Score 66 or more, with Diagnosis Score 22 or less","3,517",.,.,.,"5,568",.,.,.,.,.,.,"6,383",.,.,.,"4,206","5,763"
HR09B,"Orthopaedic Reconstruction with Intervention Score 66 or more, with Diagnosis Score 23-60","13,624",.,.,.,"4,894",.,.,.,.,.,.,"7,678",.,.,.,"8,470","7,876"
HR09C,"Orthopaedic Reconstruction with Intervention Score 66 or more, with Diagnosis Score 61 or more","9,577",.,.,.,.,.,.,.,.,.,.,"13,352",.,.,.,.,"12,974"
JA12D,"Malignant Breast Disorders with Interventions, with CC Score 7+",.,"3,704","2,264","3,175","3,921",.,"4,773",.,.,.,.,.,.,"19,075",.,"4,427","6,184"
JA12E,"Malignant Breast Disorders with Interventions, with CC Score 3-6",.,.,"8,912","13,740","1,307",.,.,.,.,.,.,.,.,.,.,"2,882","7,654"
JA12F,"Malignant Breast Disorders with Interventions, with CC Score 0-2","3,653","4,605","2,703","1,908","1,752",.,.,.,.,.,.,"4,327",.,.,.,.,"3,365"
JA12G,"Malignant Breast Disorders without Interventions, with CC Score 9+","2,763","4,862","3,642","4,082","5,065",.,.,.,.,.,"9,128",.,.,"15,064",.,"5,413","5,079"
JA12H,"Malignant Breast Disorders without Interventions, with CC Score 6-8","6,136","2,847","4,361",.,"4,139",.,"6,066",.,.,.,.,"2,368",.,"7,118",.,"3,607","4,343"
JA12J,"Malignant Breast Disorders without Interventions, with CC Score 4-5","3,506","2,338","3,837","1,588","1,307","2,561",.,.,.,.,"4,900",.,.,"8,160",.,"1,589","3,730"
JA12K,"Malignant Breast Disorders without Interventions, with CC Score 2-3","3,945","5,693","3,411",.,"1,307",904,.,.,.,.,.,.,.,"4,519",.,"1,223","3,117"
JA12L,"Malignant Breast Disorders without Interventions, with CC Score 0-1",.,.,"1,747","2,863",.,.,.,.,.,.,.,"1,707",.,.,.,"1,100","1,730"
JA13A,Non-Malignant Breast Disorders with Interventions,"2,359","2,099","3,026",.,"2,073","2,540",.,.,.,.,.,.,.,.,.,"2,162","2,307"
JA13B,"Non-Malignant Breast Disorders without Interventions, with CC Score 4+",.,.,.,"4,536",.,.,.,.,.,.,.,.,.,.,.,.,"4,536"
JA13C,"Non-Malignant Breast Disorders without Interventions, with CC Score 0-3","1,370","1,205","1,525",.,"1,363","1,186",.,.,.,.,.,"1,630",.,"1,294",.,"1,136","1,330"
JA18Z,Unilateral Minor Breast Procedures,"2,055","1,529","2,106",.,"1,728","1,751",.,.,.,.,.,"2,534",.,.,.,"1,348","1,790"
JA20D,Unilateral Major Breast Procedures with CC Score 6+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"7,729","7,729"
JA20E,Unilateral Major Breast Procedures with CC Score 3-5,"3,537",.,"6,848",.,.,.,.,.,.,.,.,.,.,.,.,.,"5,193"
JA20F,Unilateral Major Breast Procedures with CC Score 0-2,.,.,"5,150","3,435",.,.,.,.,.,.,.,.,.,.,.,"4,599","4,697"
JA21A,Bilateral Major Breast Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,"5,660",.,.,.,"4,349","5,004"
JA21B,Bilateral Major Breast Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,"6,779",.,.,.,.,"6,779"
JA24D,Unilateral Intermediate Breast Procedures with CC Score 6+,"3,409","13,788","7,006",.,"3,594",.,.,.,"3,473",.,.,"11,250",.,.,.,"3,676","8,126"
JA24E,Unilateral Intermediate Breast Procedures with CC Score 3-5,"4,294","2,148","3,374",.,"10,215",.,.,.,.,.,"5,242","4,991",.,.,.,"4,336","4,457"
JA24F,Unilateral Intermediate Breast Procedures with CC Score 0-2,"2,396","2,342","3,520","1,676",.,.,.,.,.,.,.,"2,027",.,.,.,.,"2,736"
JA25Z,Bilateral Intermediate Breast Procedures,"1,656",904,.,.,.,.,.,.,.,.,.,"5,541",.,.,.,.,"2,700"
JB30C,Major Burn (TBSA of 60% or more) without Skin Procedure,"2,191",.,.,"1,361",.,.,.,.,.,.,.,.,.,.,.,.,"1,776"
JB31A,Intermediate Burn (TBSA of 20-59%) with Skin Graft,.,.,.,.,.,.,.,.,.,.,.,"87,977",.,.,.,.,"87,977"
JB31C,Intermediate Burn (TBSA of 20-59%) without Skin Procedure,.,.,.,.,.,.,.,.,.,.,.,"139,894",.,.,.,"1,100","70,497"
JB32A,Minor Burn (TBSA of less than 20%) with Skin Graft,.,.,.,.,.,.,.,.,.,.,.,"16,286",.,.,.,.,"16,286"
JB32B,Minor Burn (TBSA of less than 20%) with Other Skin Procedure,.,.,.,.,.,.,.,.,.,.,.,"5,976",.,.,.,.,"5,976"
JB32C,Minor Burn (TBSA of less than 20%) without Skin Procedure,"3,152",.,.,.,"1,797",.,.,.,.,.,.,"3,745",.,.,.,.,"3,471"
JB33A,Other Burn with Skin Graft,.,.,.,.,.,.,.,.,.,.,.,"22,960",.,.,.,.,"22,960"
JB33B,Other Burn with Other Skin Procedure,.,.,.,.,.,.,.,.,.,.,.,"18,537",.,.,.,.,"18,537"
JB33C,Other Burn without Skin Procedure,"3,945","1,135","4,480","3,151","3,968","1,585","4,748",.,.,.,.,"3,114","3,664",.,.,"2,440","2,793"
JC40Z,Multiple Major Skin Procedures,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"7,314","7,314"
JC41Z,Major Skin Procedures,.,.,"1,678",.,.,.,.,.,.,.,.,"10,822",.,.,.,"7,146","7,531"
JD07A,"Skin Disorders with Interventions, with CC Score 12+",.,"3,253","6,935",.,"11,163","5,805",.,.,.,.,.,.,.,.,.,"7,043","6,570"
JD07B,"Skin Disorders with Interventions, with CC Score 8-11","18,033","16,540","6,572","6,237","2,287","3,116",.,.,.,.,"3,070","8,001",.,"4,577",.,"2,043","5,897"
JD07C,"Skin Disorders with Interventions, with CC Score 4-7","4,591","3,190","4,440","3,198","2,087","3,652",.,.,.,.,"1,070","3,486",.,"5,004",.,"3,925","3,560"
JD07D,"Skin Disorders with Interventions, with CC Score 0-3","2,617","2,245","2,421","2,731","2,613","2,465",.,"6,698",.,.,"1,070","2,281",.,"4,499",.,"2,807","2,631"
JD07E,"Skin Disorders without Interventions, with CC Score 19+",.,.,"5,467",.,.,.,.,"7,487","5,122",.,.,.,"8,550",.,.,"3,990","5,317"
JD07F,"Skin Disorders without Interventions, with CC Score 14-18","2,555","3,287","3,266","4,838","4,779","3,326","8,440",.,"6,855","7,193","10,753","1,829",.,"1,255",.,"3,532","4,298"
JD07G,"Skin Disorders without Interventions, with CC Score 10-13","4,965","3,712","2,523","6,333","3,857","3,051","4,853",.,"3,640","4,765","1,081","3,995","6,922","7,063",.,"3,187","3,819"
JD07H,"Skin Disorders without Interventions, with CC Score 6-9","3,203","2,668","3,420","3,855","2,421","2,446","4,139","8,514","2,349",.,"3,765","2,467","7,736","4,261",.,"2,222","2,884"
JD07J,"Skin Disorders without Interventions, with CC Score 2-5","2,048","2,005","2,340","2,670","2,262","1,773","2,743","4,634","1,691","3,956","2,227","1,985",.,"3,554",.,"1,864","2,214"
JD07K,"Skin Disorders without Interventions, with CC Score 0-1","1,814","1,534","2,347","2,186","1,974","1,183","1,846",.,"1,228","3,237","1,647","1,434",.,"2,427",.,"1,606","1,774"
KA03C,Parathyroid Procedures with CC Score 2+,.,.,.,.,.,.,.,.,.,.,.,"3,601",.,.,.,.,"3,601"
KA03D,Parathyroid Procedures with CC Score 0-1,"5,842",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,842"
KA04A,Adrenal Procedures with CC Score 2+,.,"4,879",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,879"
KA04B,Adrenal Procedures with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,"5,592",.,.,.,.,"5,592"
KA05C,Anterior Pituitary Disorders with CC Score 2+,.,"6,506",.,"2,041",.,.,"1,055",.,.,.,.,.,.,.,.,.,"2,911"
KA05D,Anterior Pituitary Disorders with CC Score 0-1,.,"2,282",.,.,"1,307",.,.,.,"3,758",.,.,"2,744",.,.,.,.,"2,563"
KA06C,"Non-Pituitary Neoplasia or Hypoplasia, with CC Score 4+","3,655","1,581",.,.,.,.,"4,220",.,.,.,"2,787","2,121",.,.,.,"2,017","2,314"
KA06D,"Non-Pituitary Neoplasia or Hypoplasia, with CC Score 2-3","3,777","6,439","5,895",907,.,.,.,.,.,.,.,"1,468",.,.,.,.,"4,154"
KA06E,"Non-Pituitary Neoplasia or Hypoplasia, with CC Score 0-1",.,.,"2,699",.,"1,283",.,.,.,.,.,648,"1,591",.,.,.,734,"1,849"
KA07A,Non-Surgical Thyroid Disorders with CC Score 4+,.,"5,184",.,.,"1,634",.,.,.,"12,777",.,.,"1,545","10,179","2,511",.,"8,057","5,475"
KA07B,Non-Surgical Thyroid Disorders with CC Score 2-3,877,"2,033","2,680","3,555",654,.,"1,583",.,"4,134",.,.,"1,443",.,"1,506",.,.,"2,109"
KA07C,Non-Surgical Thyroid Disorders with CC Score 0-1,877,"1,626","1,108",.,770,"1,205","1,846",.,752,.,.,"1,411",.,"1,004",.,"1,359","1,308"
KA08A,Other Endocrine Disorders with CC Score 4+,"2,027",.,.,"3,629",.,.,"3,693",.,.,.,.,"1,898",.,.,.,"1,941","2,226"
KA08B,Other Endocrine Disorders with CC Score 2-3,"1,443",813,"1,611","4,082",.,603,"2,638",.,.,.,"2,304","1,718",.,"1,004",.,"2,659","1,817"
KA08C,Other Endocrine Disorders with CC Score 0-1,"1,205","1,017",.,"1,814","1,307",.,.,.,.,.,"1,563","3,592",.,"2,009",.,"1,100","1,526"
KA09C,Thyroid Procedures with CC Score 4+,"81,122","3,659",.,.,"7,250",.,.,.,.,.,.,.,.,.,.,"3,555","23,896"
KA09D,Thyroid Procedures with CC Score 2-3,"6,908",.,.,.,.,"1,205",.,.,.,.,"3,133","5,698",.,.,.,.,"5,127"
KA09E,Thyroid Procedures with CC Score 0-1,"3,565",.,.,.,"1,714",.,.,.,.,.,.,"2,979",.,.,.,"2,040","2,915"
KB01C,"Diabetes with Hypoglycaemic Disorders, with CC Score 8+","2,052","3,385",.,"2,495","2,559","1,205","8,317",.,"1,315","4,675","2,456",972,.,"5,427",.,"2,356","2,673"
KB01D,"Diabetes with Hypoglycaemic Disorders, with CC Score 5-7","2,191","1,465","2,318","2,495","1,676","1,506",.,.,"2,377",.,"1,881","1,828",.,"4,770",.,"1,617","2,024"
KB01E,"Diabetes with Hypoglycaemic Disorders, with CC Score 3-4","1,130","1,318","1,320","1,361","1,223",878,.,.,"1,127",.,859,"1,335",.,"1,792",.,825,"1,248"
KB01F,"Diabetes with Hypoglycaemic Disorders, with CC Score 0-2","1,753","1,175","1,854","1,501","1,255",916,.,.,.,.,916,"1,141",.,"2,009",.,"1,100","1,242"
KB02G,"Diabetes with Hyperglycaemic Disorders, with CC Score 8+","5,985","2,364","4,689","8,618","4,451","1,285","3,165",.,"2,856","4,675","4,553","3,001",.,.,.,"2,040","3,089"
KB02H,"Diabetes with Hyperglycaemic Disorders, with CC Score 5-7","2,009","2,039","1,512","2,476","1,912","1,707","2,242",.,"2,119",.,"2,470","1,865",.,"3,085",.,"1,618","2,014"
KB02J,"Diabetes with Hyperglycaemic Disorders, with CC Score 2-4","1,793","1,743","2,172","1,860","1,524","1,186","2,232",.,"1,339",.,"1,137","1,710",.,"2,476",.,"1,344","1,719"
KB02K,"Diabetes with Hyperglycaemic Disorders, with CC Score 0-1","1,134","1,003","1,458","1,261","1,037","1,054","1,319",.,"1,165",719,935,"1,120",.,"1,661",.,"1,000","1,125"
KB03C,"Diabetes with Lower Limb Complications, with CC Score 9+","6,545","4,574",.,.,.,.,"4,220","14,200",.,.,.,"4,080",.,.,.,"1,834","4,728"
KB03D,"Diabetes with Lower Limb Complications, with CC Score 5-8","4,721","2,384",.,"3,629","3,663","3,917","3,165",.,"3,983",.,.,"1,468",.,"8,856",.,"2,616","3,429"
KB03E,"Diabetes with Lower Limb Complications, with CC Score 0-4","1,745","2,733",.,"1,361","2,190","2,203",.,.,"3,758",.,.,716,.,"1,506",.,"2,044","2,201"
KC04A,Inborn Errors of Metabolism with CC Score 3+,"1,954","3,012","2,503","3,829","5,228",.,"6,858",.,.,719,.,"3,364",.,"3,515",.,"2,435","2,611"
KC04B,Inborn Errors of Metabolism with CC Score 0-2,.,"1,220","1,563","2,255","1,307",.,.,.,.,.,858,"1,259",.,"1,506",.,.,"1,383"
KC05G,"Fluid or Electrolyte Disorders, with Interventions, with CC Score 5+",877,"1,220","15,708",.,"2,069",.,"4,624",.,"3,454",.,"9,113","3,623","13,436","5,775",.,"1,371","5,105"
KC05H,"Fluid or Electrolyte Disorders, with Interventions, with CC Score 0-4","2,295",.,.,"4,536","1,599",603,"8,222",.,.,.,.,"3,863",.,"5,524",.,"2,515","3,842"
KC05J,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 10+","3,689","3,723","3,665",.,"3,008","2,721","4,616",.,"3,591","7,013","5,667","4,065",.,"4,101",.,"2,700","3,662"
KC05K,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 7-9","3,051","2,825","2,702","4,267","2,421","1,991","2,798",.,"3,667","4,555","2,150","1,767",.,"4,813",.,"2,210","2,658"
KC05L,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 4-6","2,128","2,009","2,047","2,560","1,802","1,627","2,713","5,277","1,649","3,237","1,742","1,414","3,054","2,345",.,"1,649","1,918"
KC05M,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 2-3","1,715","1,607","1,905","1,896","1,360","1,307","2,036",.,"1,496","2,158","1,389","1,370",.,"2,030",.,"1,454","1,586"
KC05N,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 0-1","1,133","1,289","1,493","1,543","1,418",934,"1,319",.,"1,127",.,"1,114","1,128",.,"1,803",.,"1,078","1,261"
LA01A,"Kidney Transplant, 19 years and over, from Cadaver Non Heart-Beating Donor",.,.,"31,912",.,.,.,.,.,.,.,.,.,.,.,.,.,"31,912"
LA02A,"Kidney Transplant, 19 years and over, from Cadaver Heart-Beating Donor",.,.,"24,995",.,.,.,.,.,.,.,.,.,.,.,.,.,"24,995"
LA04H,"Kidney or Urinary Tract Infections, with Interventions, with CC Score 12+",.,.,782,.,"3,263",.,"13,592",.,"2,566","9,710",.,.,.,.,.,.,"5,983"
LA04J,"Kidney or Urinary Tract Infections, with Interventions, with CC Score 9-11",.,"6,641","14,160","12,816","2,124","2,410","4,888",.,"10,393",.,.,.,.,.,.,"6,423","7,356"
LA04K,"Kidney or Urinary Tract Infections, with Interventions, with CC Score 6-8","4,896","3,922","8,189","4,016","7,822","5,731","11,678",.,"1,063",.,"19,197","2,211",.,"20,999",.,"5,033","7,541"
LA04L,"Kidney or Urinary Tract Infections, with Interventions, with CC Score 3-5","2,938","3,487","4,993","4,576","4,556","3,314","2,382",.,"1,693",.,"8,000","2,867",.,"3,931",.,"5,990","4,076"
LA04M,"Kidney or Urinary Tract Infections, with Interventions, with CC Score 0-2","2,357","2,407","3,362","3,485","2,807","2,354","3,768",.,"1,967",.,"1,781",701,.,"4,958",.,"2,084","2,952"
LA04N,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 13+",.,.,.,"4,989","5,014",.,.,.,"2,630",.,"4,157",.,.,.,.,"2,722","4,035"
LA04P,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 8-12","5,663","4,265","4,316","8,446","3,670","1,992","5,388",.,"3,899","5,898","3,819","2,376","10,179","7,664",.,"3,115","4,274"
LA04Q,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 4-7","3,029","2,682","3,073","4,544","2,780","2,630","3,726",.,"2,728","5,072","3,401","1,952","5,751","5,049",.,"2,360","3,073"
LA04R,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 2-3","2,040","2,112","2,232","2,870","2,192","1,856","2,648","4,415","2,208","3,192","2,385","1,558","4,479","3,231",.,"1,849","2,197"
LA04S,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 0-1","1,754","1,734","2,023","2,089","1,819","1,552","2,440","2,195","1,834",.,"1,772","1,236","1,629","2,718",.,"1,425","1,783"
LA07H,"Acute Kidney Injury with Interventions, with CC Score 11+",.,"17,013","5,511",.,.,.,"7,526",.,.,.,.,.,.,"19,983",.,.,"11,512"
LA07J,"Acute Kidney Injury with Interventions, with CC Score 6-10","2,857","5,556","6,133","9,848","11,174","2,866","4,888",.,"4,312",.,"5,699","3,905",.,"8,536",.,"3,434","6,159"
LA07K,"Acute Kidney Injury with Interventions, with CC Score 0-5","3,851","3,908","4,037","6,503","4,518","4,503","3,921",.,"1,063",.,.,"3,087",.,.,.,"3,224","3,891"
LA07L,"Acute Kidney Injury without Interventions, with CC Score 12+","2,220","9,553","2,740",.,"4,551","1,808",.,.,.,.,"5,501","7,999","9,772","21,827",.,"10,014","8,818"
LA07M,"Acute Kidney Injury without Interventions, with CC Score 8-11","2,732","2,955","4,102","7,711","3,589","3,188","2,427",.,"6,931",.,"4,691","1,694","7,736","3,013",.,"3,615","3,488"
LA07N,"Acute Kidney Injury without Interventions, with CC Score 4-7","2,451","2,518","2,710","3,267","2,428","2,129","4,836",.,"2,587",.,"2,722","1,763","5,700","4,192",.,"1,927","2,555"
LA07P,"Acute Kidney Injury without Interventions, with CC Score 0-3","2,114","1,789","2,172","2,702","1,860","1,419","2,813",.,"1,731",.,"1,920","1,409","3,664","3,323",.,"1,537","1,897"
LA08G,"Chronic Kidney Disease with Interventions, with CC Score 6+","1,753","25,616","7,435",.,.,"2,866",.,.,.,.,.,.,.,.,.,"12,647","9,625"
LA08H,"Chronic Kidney Disease with Interventions, with CC Score 3-5",877,"2,152","5,769",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,833"
LA08J,"Chronic Kidney Disease with Interventions, with CC Score 0-2",.,"2,652","7,222",.,.,"2,319",.,.,.,.,.,.,.,.,.,"5,557","5,622"
LA08K,"Chronic Kidney Disease without Interventions, with CC Score 11+",.,"2,163","1,588",.,.,904,.,.,.,"2,158",.,.,.,.,.,"1,150","1,766"
LA08L,"Chronic Kidney Disease without Interventions, with CC Score 8-10",.,"3,171","1,933",.,.,"1,228",.,.,.,.,.,.,.,.,.,"1,916","2,381"
LA08M,"Chronic Kidney Disease without Interventions, with CC Score 5-7","1,315","1,778","1,656","1,361",980,"1,023",.,.,.,.,"2,122","2,038",.,.,.,"1,437","1,620"
LA08N,"Chronic Kidney Disease without Interventions, with CC Score 3-4","1,253","1,769","1,847",907,.,"1,292",.,.,.,"2,158","1,922",.,.,"3,013",.,"1,640","1,519"
LA08P,"Chronic Kidney Disease without Interventions, with CC Score 0-2",.,.,"1,858",.,"1,307",.,.,.,.,.,.,964,.,.,.,.,"1,773"
LA09J,"General Renal Disorders with Interventions, with CC Score 6+","4,680",.,.,.,"4,575",.,.,.,.,.,.,.,.,.,.,.,"4,627"
LA09K,"General Renal Disorders with Interventions, with CC Score 3-5",877,"2,372","3,413","3,476","4,575",.,"1,459",.,"2,190",.,.,"4,365",.,"9,404",.,"5,570","3,887"
LA09L,"General Renal Disorders with Interventions, with CC Score 0-2","2,871","3,187","3,728","3,501","3,297","2,109",.,.,.,.,.,.,.,.,.,"1,584","3,221"
LA09M,"General Renal Disorders without Interventions, with CC Score 9+",.,.,.,.,"4,575",603,.,.,.,.,.,.,.,"3,236",.,.,"3,247"
LA09N,"General Renal Disorders without Interventions, with CC Score 6-8","4,111","2,599","3,204",.,"3,957","1,299","2,638",.,.,.,.,"2,791","6,718",.,.,"2,109","3,325"
LA09P,"General Renal Disorders without Interventions, with CC Score 3-5","2,698","2,397","2,280","5,529","2,861","2,191","2,532",.,"3,382",.,"2,209","1,724",.,"2,709",.,"1,926","2,478"
LA09Q,"General Renal Disorders without Interventions, with CC Score 0-2","1,685","1,550","1,768","1,882","1,441","1,280","2,251",.,"1,401",.,"1,189",829,"2,443","2,022",.,"1,459","1,511"
LB05E,"Intermediate Percutaneous, Kidney or Ureter Procedures, 19 years and over, with CC Score 6+","6,320",.,"4,782",.,"9,534",.,.,.,.,.,.,.,.,.,.,"5,841","6,263"
LB05F,"Intermediate Percutaneous, Kidney or Ureter Procedures, 19 years and over, with CC Score 3-5","3,455","3,596","5,193",.,"4,122",.,.,.,.,.,.,.,.,.,.,"3,221","4,135"
