Area,Authority,ward,Type,Electoral system,Island,Region,Area type,TA Type,City Size,Progress results issued,Progress results time,Preliminary results announced,Voting papers order,Other elections were:,Poles were:,Number of documents sent,Number of documents returned unopened,Number of documents returned late,Contested wards,"Positions 
(N)","Elected unopposed 
(N)","Candidates 
(N)",Candidates per position,Electors per electable position,Voters per electable contested position,"Candidates Council sitting members 
(N)","Candidates Council sitting members 
(%)","Also candidates for Council
(N)",Sitting Mayor,Mayor/ Council members re-elected (N),"Mayor/ Council members re-elected
(%)",Council members re-elected or Mayor (N),"Council members re-elected or Mayor
(%)","Candidates (community) board members 
(N)","Candidates (community) board members 
(%)","(Community) board members elected 
(N)","(Community) board members elected 
(%)","Residential electors 
(N)","Ratepayer electors 
(N)","Ratepayer electors 
(%)","Total electors 
(N)",Estimated population resident 2009,Electors as % of total population,Residential electors (contested wards only),Ratepayer electors (contested wards only),Total electors (Contested wards only),"Residential voters 
(N)","Residential turnout 
(%)","Ratepayer voters 
(N)","Ratepayer turnout
(%)","Total voters 
(N)",Overall turnout (%),"Residential special votes cast 
(N)","Residential special votes cast 
(%)","Ratepayer special votes cast 
(N)","Ratepayer special votes cast 
(%)","Total special votes cast 
(N)","Total special votes cast 
(%)","Residential special votes allowed 
(N)","Residential special votes allowed 
(%)","Ratepayer special votes allowed 
(N)","Ratepayer special votes allowed 
(%)","Total special votes allowed 
(N)","Total special votes allowed 
(%)","Informal votes
(N)","Informal votes
(%)","Blank votes 
(N)","Blank votes 
(%)","Blank and informal votes 
(N)","Blank and informal votes 
(%)","Women candidates
(N)","Women candidates
(%)","Women councillors
(N)","Women councillors
(%)",Unfilled positions
NEW PLYMOUTH DISTRICT,NEW PLYMOUTH DISTRICT COUNCIL,NORTH,DC,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Unopposed,2,2,2,1.00,"3,665",,2,100.0%,,,2,100.0%,2,,0,0.0%,0,0.0%,"7,306",23,0.31%,"7,329",10350,70.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.0%,1,50.0%,
NEW PLYMOUTH DISTRICT,NEW PLYMOUTH DISTRICT COUNCIL,SOUTH-WEST,DC,FPP,n,Taranaki,Provincial,District,,N,N/A,2.15 pm,Alphabetical,N/A,N/A,"53,261",566,85,Contested,2,0,4,2.00,"3,667","2,068",2,50.0%,,,2,100.0%,2,,1,25.0%,0,0.0%,"7,330",4,0.05%,"7,334",10250,71.6%,"7,330",4,"7,334","4,133",56.4%,2,50.0%,"4,135",56.4%,26,0.6%,0,0.0%,26,0.6%,21,80.8%,0,,21,80.8%,7,0.2%,293,7.1%,300,7.3%,1,25.0%,1,50.0%,
NEW PLYMOUTH DISTRICT,NEW PLYMOUTH DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Contested,1,0,8,8.00,"53,265","30,730",3,37.5%,6,Stood down,0,0.0%,0,,,,,,"53,206",59,0.11%,"53,265",72300,73.7%,"53,206",59,"53,265","30,682",57.7%,48,81.4%,"30,730",57.7%,264,0.9%,0,0.0%,264,0.9%,191,72.3%,0,,191,72.3%,99,0.3%,212,0.7%,311,1.0%,2,25.0%,0,0.0%,
NORTHLAND DHB,NORTHLAND DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,n,Northland,DHB,DHB,,N,N/A,11.09 pm,Alphabetical,,,,,,Contested,7,0,21,3.00,"14,740","7,212",,,,,,,,,7,33.3%,5,71.4%,"103,177",,,"103,177",155800,66.2%,"103,177",,"103,177","50,487",48.9%,,,"50,487",48.9%,449,0.9%,,,449,0.9%,198,44.1%,,,198,44.1%,"3,677",7.3%,"3,281",6.5%,"6,958",13.8%,7,33.3%,3,42.9%,
NORTHLAND REGION,NORTHLAND REGIONAL COUNCIL,FAR NORTH,RC,FPP,n,Northland,Regional,Regional,,,,,,,,,,,Contested,3,0,6,2.00,"12,282","5,761",2,33.3%,,,2,66.7%,,,,0.0%,,,"36,641",205,0.56%,"36,846",58000,63.5%,"36,641",205,"36,846","17,094",46.7%,188,91.7%,"17,282",46.9%,159,0.9%,55,29.3%,214,1.2%,92,57.9%,40,72.7%,132,61.7%,33,0.2%,"1,437",8.3%,"1,470",8.5%,3,50.0%,1,33.3%,
NORTHLAND REGION,NORTHLAND REGIONAL COUNCIL,KAIPARA,RC,FPP,n,Northland,Regional,Regional,,,,,,,,,,,Contested,1,0,3,3.00,"12,983","6,944",1,33.3%,,,0,0.0%,,,,0.0%,,,"12,752",231,1.78%,"12,983",18750,69.2%,"12,752",231,"12,983","6,695",52.5%,249,107.8%,"6,944",53.5%,40,0.6%,128,51.4%,168,2.4%,18,45.0%,61,47.7%,79,47.0%,253,3.6%,354,5.1%,607,8.7%,0,0.0%,0,0.0%,
NORTHLAND REGION,NORTHLAND REGIONAL COUNCIL,WHANGAREI,RC,FPP,n,Northland,Regional,Regional,,Y,1.16 pm,11.22 pm,Alphabetical,N/A,N/A,,,,Contested,4,0,16,4.00,"13,479","6,704",4,25.0%,,,3,75.0%,,,,0.0%,,,"53,784",132,0.24%,"53,916",79000,68.2%,"53,784",132,"53,916","26,698",49.6%,118,89.4%,"26,816",49.7%,236,0.9%,25,21.2%,261,1.0%,108,45.8%,13,52.0%,121,46.4%,148,0.6%,"1,149",4.3%,"1,297",4.8%,3,18.8%,0,0.0%,
OPOTIKI DISTRICT,COAST COMMUNITY BOARD,AT LARGE,CB,FPP,n,Bay of Plenty,Rural,District,,,,,,,,,,,Unopposed,4,4,4,1.00,242,,,,,,,,,,4,100.0%,3,75.0%,955,13,1.34%,968,1650,58.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50.0%,2,50.0%,
OPOTIKI DISTRICT,OPOTIKI DISTRICT COUNCIL,COAST,DC,FPP,n,Bay of Plenty,Rural,District,,,,,,,,,,,Contested,1,0,2,2.00,968,406,1,50.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,955,13,1.34%,968,1650,58.7%,955,13,968,394,41.3%,12,92.3%,406,41.9%,20,5.1%,0,0.0%,20,4.9%,0,0.0%,0,,0,0.0%,0,0.0%,7,1.7%,7,1.7%,0,0.0%,0,0.0%,
OPOTIKI DISTRICT,OPOTIKI DISTRICT COUNCIL,OPOTIKI,DC,FPP,n,Bay of Plenty,Rural,District,,,,,,,,,,,Contested,3,0,7,2.33,874,489,3,42.9%,,,2,66.7%,2,,0,0.0%,0,0.0%,"2,610",11,0.42%,"2,621",4490,58.4%,"2,610",11,"2,621","1,455",55.7%,13,118.2%,"1,468",56.0%,29,2.0%,5,38.5%,34,2.3%,21,72.4%,3,60.0%,24,70.6%,3,0.2%,6,0.4%,9,0.6%,2,28.6%,1,33.3%,
OPOTIKI DISTRICT,OPOTIKI DISTRICT COUNCIL,WAIOEKA-WAIOTAHI,DC,FPP,n,Bay of Plenty,Rural,District,,Y,12.07 pm,8.49 pm,Pseudo-random,N/A,N/A,"5,519",100,1,Contested,2,0,5,2.50,965,600,2,40.0%,,,2,100.0%,2,,0,0.0%,0,0.0%,"1,921",9,0.47%,"1,930",2880,67.0%,"1,921",9,"1,930","1,189",61.9%,11,122.2%,"1,200",62.2%,16,1.3%,4,36.4%,20,1.7%,12,75.0%,2,50.0%,14,70.0%,1,0.1%,10,0.8%,11,0.9%,1,20.0%,0,0.0%,
OPOTIKI DISTRICT,OPOTIKI DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Bay of Plenty,Rural,District,,,,,,,,,,,Contested,1,0,2,2.00,"5,519","3,074",1,50.0%,1,Re-elected,1,100.0%,1,,,,,,"5,486",33,0.60%,"5,519",9020,61.2%,"5,486",33,"5,519","3,038",55.4%,36,109.1%,"3,074",55.7%,65,2.1%,9,25.0%,74,2.4%,33,50.8%,5,55.6%,38,51.4%,5,0.2%,26,0.8%,31,1.0%,0,0.0%,0,0.0%,
OTAGO REGION,OTAGO REGIONAL COUNCIL,DUNEDIN,RC,FPP,s,Otago,Regional,Regional,,,,,,,,,,,Contested,6,0,8,1.33,"12,219","6,327",5,62.5%,,,5,83.3%,,,,,,,"73,267",45,0.06%,"73,312",106800,68.6%,"73,267",45,"73,312","37,918",51.8%,41,91.1%,"37,959",51.8%,581,1.5%,2,4.9%,583,1.5%,505,86.9%,2,100.0%,507,87.0%,842,2.2%,"3,444",9.1%,"4,286",11.3%,2,25.0%,2,33.3%,
OTAGO REGION,OTAGO REGIONAL COUNCIL,DUNSTAN,RC,FPP,s,Otago,Regional,Regional,,,,,,,,,,,Contested,2,0,3,1.50,"15,494","8,359",2,66.7%,,,2,100.0%,,,,,,,"30,344",644,2.08%,"30,988",45100,68.7%,"30,344",644,"30,988","16,140",53.2%,577,89.6%,"16,717",53.9%,159,1.0%,38,6.6%,197,1.2%,144,90.6%,27,71.1%,171,86.8%,12,0.1%,"2,809",16.8%,"2,821",16.9%,0,0.0%,0,0.0%,
OTAGO REGION,OTAGO REGIONAL COUNCIL,MOERAKI,RC,FPP,s,Otago,Regional,Regional,,,,,,,,,,,Contested,1,0,2,2.00,"14,475","8,423",1,50.0%,,,1,100.0%,,,,,,,"14,448",27,0.19%,"14,475",19150,75.6%,"14,448",27,"14,475","8,400",58.1%,23,85.2%,"8,423",58.2%,25,0.3%,0,0.0%,25,0.3%,25,100.0%,0,,25,100.0%,4,0.0%,984,11.7%,988,11.7%,0,0.0%,0,0.0%,
OTAGO REGION,OTAGO REGIONAL COUNCIL,MOLYNEUX,RC,FPP,s,Otago,Regional,Regional,,Y,3.00 pm,10th October 3.30 pm,Alphabetical,N/A,N/A,,,,Unopposed,2,2,2,1.00,"12,386",,2,100.0%,,,2,100.0%,,,,,,,"24,753",19,0.08%,"24,772",34400,72.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
OTOROHANGA DISTRICT,KAWHIA COMMUNITY BOARD,AOTEA,CB,FPP,n,Waikato,Rural,District,,,,,,,,,,,Contested,1,0,2,2.00,69,63,,,,,,,,,0,0.0%,0,0.0%,38,31,44.93%,69,40,,38,31,69,35,92.1%,28,90.3%,63,91.3%,0,0.0%,5,17.9%,5,7.9%,0,,5,100.0%,5,100.0%,0,0.0%,0,0.0%,0,0.0%,1,50.0%,0,0.0%,
OTOROHANGA DISTRICT,KAWHIA COMMUNITY BOARD,KAWHIA,CB,FPP,n,Waikato,Rural,District,,,,,,,,,,,Unopposed,4,4,4,1.00,77,,,,,,,,,,4,100.0%,4,100.0%,249,58,18.89%,307,360,85.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50.0%,2,50.0%,
OTOROHANGA DISTRICT,OTOROHANGA COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Rural,District,,,,,,,,,,,Contested,4,0,10,2.50,464,221,,,,,,,,,5,50.0%,2,50.0%,"1,831",24,1.29%,"1,855",2670,69.5%,"1,831",24,"1,855",873,47.7%,12,50.0%,885,47.7%,19,2.2%,2,16.7%,21,2.4%,19,100.0%,2,100.0%,21,100.0%,3,0.3%,7,0.8%,10,1.1%,4,40.0%,2,50.0%,
OTOROHANGA DISTRICT,OTOROHANGA DISTRICT COUNCIL,KAWHIA,DC,FPP,n,Waikato,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1.00,739,,1,100.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,639,100,13.53%,739,950,77.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.0%,1,100.0%,
OTOROHANGA DISTRICT,OTOROHANGA DISTRICT COUNCIL,KIOKIO-KORAKONUI,DC,FPP,n,Waikato,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1.00,926,,0,0.0%,,,0,0.0%,0,,0,0.0%,0,0.0%,917,9,0.97%,926,1460,63.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
OTOROHANGA DISTRICT,OTOROHANGA DISTRICT COUNCIL,OTOROHANGA,DC,FPP,n,Waikato,Rural,District,,,,,,,,,,,Unopposed,2,2,2,1.00,928,,2,100.0%,,,2,100.0%,2,,0,0.0%,0,0.0%,"1,831",24,1.29%,"1,855",2670,69.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
OTOROHANGA DISTRICT,OTOROHANGA DISTRICT COUNCIL,TIHIROA,DC,FPP,n,Waikato,Rural,District,,,,,,,,,,,Contested,1,0,2,2.00,"1,104",402,0,0.0%,,,0,0.0%,0,,0,0.0%,0,0.0%,"1,099",5,0.45%,"1,104",1640,67.3%,"1,099",5,"1,104",397,36.1%,5,100.0%,402,36.4%,3,0.8%,0,0.0%,3,0.7%,3,100.0%,0,,3,100.0%,0,0.0%,12,3.0%,12,3.0%,1,50.0%,0,0.0%,
OTOROHANGA DISTRICT,OTOROHANGA DISTRICT COUNCIL,WAIPA,DC,FPP,n,Waikato,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1.00,837,,0,0.0%,,,0,0.0%,0,,0,0.0%,0,0.0%,833,4,0.48%,837,1330,62.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
OTOROHANGA DISTRICT,OTOROHANGA DISTRICT COUNCIL,WHAREPUHUNGA,DC,FPP,n,Waikato,Rural,District,,Y,1.00 pm,10th October 4.00 pm,Alphabetical,N/A,N/A,"5,892",44,20,Unopposed,1,1,1,1.00,431,,1,100.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,426,5,1.16%,431,1200,35.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.0%,1,100.0%,
OTOROHANGA DISTRICT,OTOROHANGA DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Waikato,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"5,892",,1,100.0%,0,Unopposed,1,100.0%,1,,,,,,"5,745",147,2.49%,"5,892",9250,63.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
PALMERSTON NORTH CITY,PALMERSTON NORTH CITY COUNCIL,ASHHURST-FITZHERBERT,CC,FPP,n,Manawatu-Wanganui,Metro,City,s,,,,,,,,,,Contested,2,0,3,1.50,"3,516","1,469",1,33.3%,,,1,50.0%,1,,,,,,"7,025",7,0.10%,"7,032",11700,60.1%,"7,025",7,"7,032","2,932",41.7%,6,85.7%,"2,938",41.8%,33,1.1%,1,16.7%,34,1.2%,30,90.9%,1,100.0%,31,91.2%,1,0.0%,165,5.6%,166,5.7%,1,33.3%,0,0.0%,
PALMERSTON NORTH CITY,PALMERSTON NORTH CITY COUNCIL,AWAPUNI,CC,FPP,n,Manawatu-Wanganui,Metro,City,s,,,,,,,,,,Contested,3,0,8,2.67,"3,043","1,296",3,37.5%,,,2,66.7%,2,,,,,,"9,114",14,0.15%,"9,128",14750,61.9%,"9,114",14,"9,128","3,876",42.5%,13,92.9%,"3,889",42.6%,28,0.7%,0,0.0%,28,0.7%,28,100.0%,0,,28,100.0%,25,0.6%,100,2.6%,125,3.2%,3,37.5%,1,33.3%,
PALMERSTON NORTH CITY,PALMERSTON NORTH CITY COUNCIL,HOKOWHITU,CC,FPP,n,Manawatu-Wanganui,Metro,City,s,,,,,,,,,,Contested,3,0,7,2.33,"3,566","1,719",3,42.9%,,,2,66.7%,2,,,,,,"10,673",25,0.23%,"10,698",15650,68.4%,"10,673",25,"10,698","5,133",48.1%,23,92.0%,"5,156",48.2%,61,1.2%,1,4.3%,62,1.2%,54,88.5%,1,100.0%,55,88.7%,20,0.4%,129,2.5%,149,2.9%,2,28.6%,1,33.3%,
PALMERSTON NORTH CITY,PALMERSTON NORTH CITY COUNCIL,PAPAIOEA,CC,FPP,n,Manawatu-Wanganui,Metro,City,s,,,,,,,,,,Contested,4,0,6,1.50,"3,806","1,618",3,50.0%,,,3,75.0%,3,,,,,,"15,200",22,0.14%,"15,222",23200,65.6%,"15,200",22,"15,222","6,451",42.4%,20,90.9%,"6,471",42.5%,63,1.0%,4,20.0%,67,1.0%,58,92.1%,4,100.0%,62,92.5%,1,0.0%,208,3.2%,209,3.2%,3,50.0%,2,50.0%,
PALMERSTON NORTH CITY,PALMERSTON NORTH CITY COUNCIL,TAKARO,CC,FPP,n,Manawatu-Wanganui,Metro,City,s,Y,5.00 pm,10th October 12.57 pm,Alphabetical,N/A,"POLL ON BASIS OF ELECTION OF COUNCILLORS, POLL ON NUMBER OF COUNCILLORS","51,963",713,80,Contested,3,0,9,3.00,"3,294","1,333",2,22.2%,,,1,33.3%,1,,,,,,"9,871",12,0.12%,"9,883",14950,66.1%,"9,871",12,"9,883","3,987",40.4%,12,100.0%,"3,999",40.5%,35,0.9%,2,16.7%,37,0.9%,33,94.3%,2,100.0%,35,94.6%,21,0.5%,100,2.5%,121,3.0%,3,33.3%,0,0.0%,
PALMERSTON NORTH CITY,PALMERSTON NORTH CITY COUNCIL,AT LARGE,MAYOR,FPP,n,Manawatu-Wanganui,Metro,City,s,,,,,,,,,,Contested,1,0,6,6.00,"51,963","22,453",1,16.7%,1,Re-elected,1,100.0%,1,,,,,,"51,883",80,0.15%,"51,963",80250,64.8%,"51,883",80,"51,963","22,379",43.1%,74,92.5%,"22,453",43.2%,220,1.0%,8,10.8%,228,1.0%,203,92.3%,8,100.0%,211,92.5%,26,0.1%,470,2.1%,496,2.2%,0,0.0%,0,0.0%,
PORIRUA CITY,PORIRUA CITY COUNCIL,EASTERN,CC,STV,n,Wellington,Metro,City,s,,,,,,,,,,Contested,5,0,11,2.20,"2,413",799,3,27.3%,,,2,40.0%,2,,,,,,"12,061",5,0.04%,"12,066",18400,65.6%,"12,061",5,"12,066","3,994",33.1%,3,60.0%,"3,997",33.1%,106,2.7%,9,300.0%,115,2.9%,78,73.6%,9,100.0%,87,75.7%,72,1.8%,77,1.9%,149,3.7%,2,18.2%,1,20.0%,
PORIRUA CITY,PORIRUA CITY COUNCIL,NORTHERN,CC,STV,n,Wellington,Metro,City,s,,,,,,,,,,Contested,5,0,6,1.20,"3,000","1,305",3,50.0%,,,3,60.0%,3,,,,,,"14,988",11,0.07%,"14,999",21100,71.1%,"14,988",11,"14,999","6,514",43.5%,10,90.9%,"6,524",43.5%,43,0.7%,5,50.0%,48,0.7%,32,74.4%,5,100.0%,37,77.1%,16,0.2%,196,3.0%,212,3.2%,4,66.7%,3,60.0%,
PORIRUA CITY,PORIRUA CITY COUNCIL,WESTERN,CC,STV,n,Wellington,Metro,City,s,Y,1.00 pm,10th October 4.00 pm,Random,N/A,N/A,"34,873",370,287,Contested,3,0,7,2.33,"2,603","1,036",3,42.9%,,,2,66.7%,2,,,,,,"7,797",11,0.14%,"7,808",11950,65.3%,"7,797",11,"7,808","3,097",39.7%,11,100.0%,"3,108",39.8%,56,1.8%,2,18.2%,58,1.9%,42,75.0%,2,100.0%,44,75.9%,42,1.4%,60,1.9%,102,3.3%,3,42.9%,2,66.7%,
PORIRUA CITY,PORIRUA COMMUNITY TRUST,WARD 1,LT,STV,n,Wellington,Metro,City,s,,,,,,,,,,Contested,4,0,10,2.50,"5,392","1,976",,,,,,,,,4,40.0%,2,50.0%,"21,566",,,"21,566",,,"21,566",,"21,566","7,903",36.6%,,,"7,903",36.6%,173,2.2%,,,173,2.2%,139,80.3%,,,139,80.3%,116,1.5%,181,2.3%,297,3.8%,3,30.0%,2,50.0%,
PORIRUA CITY,PORIRUA COMMUNITY TRUST,WARD 2,LT,STV,n,Wellington,Metro,City,s,,,,,,,,,,Unopposed,2,2,2,1.00,"6,640",,,,,,,,,,2,100.0%,2,100.0%,"13,280",,,"13,280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.0%,1,50.0%,
PORIRUA CITY,PORIRUA CITY COUNCIL,AT LARGE,MAYOR,STV,n,Wellington,Metro,City,s,,,,,,,,,,Contested,1,0,9,9.00,"34,873","13,629",3,33.3%,3,Stood down,0,0.0%,1,,,,,,"34,846",27,0.08%,"34,873",51450,67.8%,"34,846",27,"34,873","13,605",39.0%,24,88.9%,"13,629",39.1%,205,1.5%,16,66.7%,221,1.6%,152,74.1%,16,100.0%,168,76.0%,42,0.3%,163,1.2%,205,1.5%,2,22.2%,0,0.0%,
PORIRUA CITY,HUTT MANA CHARITABLE TRUST,LOWER HUTT,OTHER,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,2,0,6,3.00,"34,838","14,052",,,,,,,,,2,33.3%,0,0.0%,"69,676",,,"69,676",102100,68.2%,"69,676",,"69,676","28,104",40.3%,,,"28,104",40.3%,96,0.3%,,,96,0.3%,81,84.4%,,,81,84.4%,391,1.4%,"1,325",4.7%,"1,716",6.1%,1,16.7%,1,50.0%,
PORIRUA CITY,HUTT MANA CHARITABLE TRUST,PORIRUA,OTHER,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,1,0,2,2.00,"34,846","13,605",,,,,,,,,1,50.0%,0,0.0%,"34,846",,,"34,846",51450,67.7%,"34,846",,"34,846","13,605",39.0%,,,"13,605",39.0%,68,0.5%,,,68,0.5%,43,63.2%,,,43,63.2%,240,1.8%,834,6.1%,"1,074",7.9%,1,50.0%,1,100.0%,
PORIRUA CITY,HUTT MANA CHARITABLE TRUST,UPPER HUTT,OTHER,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Unopposed,1,1,1,1.00,"28,587",,,,,,,,,,1,100.0%,1,100.0%,"28,587",,,"28,587",40600,70.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
PORIRUA CITY,HUTT MANA CHARITABLE TRUST,WELLINGTON,OTHER,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,1,0,2,2.00,"30,600","11,419",,,,,,,,,1,50.0%,1,100.0%,"30,600",,,"30,600",44300,69.1%,"30,600",,"30,600","11,419",37.3%,,,"11,419",37.3%,63,0.6%,,,63,0.6%,45,71.4%,,,45,71.4%,378,3.3%,"1,398",12.2%,"1,776",15.6%,0,0.0%,0,0.0%,
QUEENSTOWN-LAKES DISTRICT,WANAKA COMMUNITY BOARD,AT LARGE,CB,FPP,s,Otago,Provincial,District,,,,,,,,,,,Contested,4,0,8,2.00,"1,587",771,,,,,,,,,4,50.0%,2,50.0%,"6,105",243,3.83%,"6,348",8890,71.4%,"6,105",243,"6,348","2,877",47.1%,208,85.6%,"3,085",48.6%,24,0.8%,19,9.1%,43,1.4%,20,83.3%,14,73.7%,34,79.1%,6,0.2%,30,1.0%,36,1.2%,2,25.0%,0,0.0%,
QUEENSTOWN-LAKES DISTRICT,QUEENSTOWN-LAKES DISTRICT COUNCIL,ARROWTOWN,DC,FPP,s,Otago,Provincial,District,,,,,,,,,,,Contested,1,0,2,2.00,"1,737","1,023",1,50.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,"1,672",65,3.74%,"1,737",2400,72.4%,"1,672",65,"1,737",958,57.3%,65,100.0%,"1,023",58.9%,20,2.1%,7,10.8%,27,2.6%,19,95.0%,7,100.0%,26,96.3%,1,0.1%,17,1.7%,18,1.8%,0,0.0%,0,0.0%,
QUEENSTOWN-LAKES DISTRICT,QUEENSTOWN-LAKES DISTRICT COUNCIL,WAKATIPU,DC,FPP,s,Otago,Provincial,District,,,,,,,,,,,Contested,6,0,12,2.00,"1,559",787,3,25.0%,,,3,50.0%,3,,0,0.0%,0,0.0%,"9,112",243,2.60%,"9,355",15850,59.0%,"9,112",243,"9,355","4,532",49.7%,191,78.6%,"4,723",50.5%,79,1.7%,26,13.6%,105,2.2%,69,87.3%,19,73.1%,88,83.8%,9,0.2%,105,2.2%,114,2.4%,3,25.0%,1,16.7%,
QUEENSTOWN-LAKES DISTRICT,QUEENSTOWN-LAKES DISTRICT COUNCIL,WANAKA,DC,FPP,s,Otago,Provincial,District,,N,N/A,4.30 pm,Alphabetical,N/A,N/A,"17,420",198,73,Contested,3,0,6,2.00,"2,109","1,028",3,50.0%,,,3,100.0%,3,,1,16.7%,,0.0%,"6,105",223,3.52%,"6,328",8890,71.2%,"6,105",223,"6,328","2,877",47.1%,208,93.3%,"3,085",48.8%,24,0.8%,19,9.1%,43,1.4%,20,83.3%,14,73.7%,34,79.1%,12,0.4%,21,0.7%,33,1.1%,2,33.3%,1,33.3%,
QUEENSTOWN-LAKES DISTRICT,QUEENSTOWN-LAKES DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,Otago,Provincial,District,,,,,,,,,,,Contested,1,0,3,3.00,"17,420","8,831",1,33.3%,0,Stood down,0,0.0%,1,,,,,,"16,889",531,3.05%,"17,420",27140,64.2%,"16,889",531,"17,420","8,367",49.5%,464,87.4%,"8,831",50.7%,123,1.5%,52,11.2%,175,2.0%,108,87.8%,40,76.9%,148,84.6%,11,0.1%,302,3.4%,313,3.5%,1,33.3%,1,100.0%,
RANGITIKEI DISTRICT,RATANA COMMUNITY BOARD,AT LARGE,CB,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Unopposed,4,4,4,1.00,67,,,,,,,,,,2,50.0%,2,50.0%,266,0,0.00%,266,350,76.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50.0%,2,50.0%,
RANGITIKEI DISTRICT,TAIHAPE COMMUNITY BOARD,AT LARGE,CB,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Unopposed,4,3,3,0.75,596,,,,,,,,,,3,100.0%,3,75.0%,"2,380",4,0.17%,"2,384",3860,61.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100.0%,3,75.0%,1
RANGITIKEI DISTRICT,RANGITIKEI DISTRICT COUNCIL,BULLS,DC,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Contested,2,0,3,1.50,807,313,2,66.7%,,,1,50.0%,1,,0,0.0%,0,0.0%,"1,612",1,0.06%,"1,613",2470,65.3%,"1,612",1,"1,613",625,38.8%,1,100.0%,626,38.8%,0,0.0%,0,0.0%,0,0.0%,0,,0,,0,,0,0.0%,5,0.8%,5,0.8%,3,100.0%,2,100.0%,
RANGITIKEI DISTRICT,RANGITIKEI DISTRICT COUNCIL,HUNTERVILLE,DC,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Contested,1,0,2,2.00,915,537,1,50.0%,,,0,0.0%,0,,0,0.0%,0,0.0%,913,2,0.22%,915,1280,71.5%,913,2,915,535,58.6%,2,100.0%,537,58.7%,2,0.4%,0,0.0%,2,0.4%,2,100.0%,0,,2,100.0%,0,0.0%,3,0.6%,3,0.6%,0,0.0%,0,0.0%,
RANGITIKEI DISTRICT,RANGITIKEI DISTRICT COUNCIL,MARTON,DC,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Contested,4,0,9,2.25,"1,079",519,4,44.4%,,,3,75.0%,3,,0,0.0%,0,0.0%,"4,310",4,0.09%,"4,314",6050,71.3%,"4,310",4,"4,314","2,072",48.1%,4,100.0%,"2,076",48.1%,10,0.5%,0,0.0%,10,0.5%,10,100.0%,0,,10,100.0%,7,0.3%,14,0.7%,21,1.0%,6,66.7%,1,25.0%,
RANGITIKEI DISTRICT,RANGITIKEI DISTRICT COUNCIL,TAIHAPE,DC,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Unopposed,3,3,3,1.00,795,,2,66.7%,,,2,66.7%,2,,0,0.0%,0,0.0%,"2,380",4,0.17%,"2,384",3860,61.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
