Area,Authority,ward,Type,Electoral system,Island,Region,Area type,TA Type,City Size,Progress results issued,Progress results time,Preliminary results announced,Voting papers order,Other elections were:,Poles were:,Number of documents sent,Number of documents returned unopened,Number of documents returned late,Contested wards,"Positions 
(N)","Elected unopposed 
(N)","Candidates 
(N)",Candidates per position,Electors per electable position,Voters per electable contested position,"Candidates Council sitting members 
(N)","Candidates Council sitting members 
(%)","Also candidates for Council
(N)",Sitting Mayor,Mayor/ Council members re-elected (N),"Mayor/ Council members re-elected
(%)",Council members re-elected or Mayor (N),"Council members re-elected or Mayor
(%)","Candidates (community) board members 
(N)","Candidates (community) board members 
(%)","(Community) board members elected 
(N)","(Community) board members elected 
(%)","Residential electors 
(N)","Ratepayer electors 
(N)","Ratepayer electors 
(%)","Total electors 
(N)",Population resident 2013,Electors as % of total population,Residential electors (contested wards only),Ratepayer electors (contested wards only),Total electors (Contested wards only),"Residential voters 
(N)","Residential turnout 
(%)","Ratepayer voters 
(N)","Ratepayer turnout 
(%)","Total voters 
(N)",Overall turnout (%),"Residential special votes cast 
(N)","Residential special votes cast 
(%)","Ratepayer special votes cast 
(N)","Ratepayer special votes cast 
(%)","Total special votes cast 
(N)","Total special votes cast 
(%)","Residential special votes allowed 
(N)","Residential special votes allowed 
(%)","Ratepayer special votes allowed 
(N)","Ratepayer special votes allowed 
(%)","Total special votes allowed 
(N)","Total special votes allowed 
(%)","Informal votes
(N)","Informal votes
(%)","Blank votes 
(N)","Blank votes 
(%)","Blank and informal votes 
(N)","Blank and informal votes 
(%)","Women candidates
(N)","Women candidates
(%)","Women elected
(N)","Women elected
(%)",Unfilled positions
NAPIER CITY,NAPIER CITY COUNCIL,AT LARGE,MAYOR,FPP,n,Hawke's Bay,Provincial,City,s,,,,,,,,,,Contested,1,,6,6,"41,983","20,052",3,50.00%,4,Stood down,,,,,,,,,"41,948",35,0.08%,"41,983","57,246",73.30%,"41,948",35,"41,983","20,021",47.70%,31,88.60%,"20,052",47.80%,226,1.10%,16,51.60%,242,1.20%,204,90.30%,14,87.50%,218,90.10%,48,0.20%,379,1.90%,427,2.10%,1,16.70%,0,,
NELSON CITY,NELSON CITY COUNCIL,AT LARGE,CC,FPP,s,Nelson,Metro,City,s,Y,1.56 pm,13th October 2.55 pm,Random,N/A,N/A,"35,104",546,33,Contested,12,,34,2.83,"3,499","1,671",8,23.50%,,,7,58.30%,7,53.80%,,,,,"41,948",35,0.08%,"41,983","57,246",73.30%,"41,948",35,"41,983","20,021",47.70%,31,88.60%,"20,052",47.80%,226,1.10%,16,51.60%,242,1.20%,204,90.30%,14,87.50%,218,90.10%,99,0.50%,286,1.40%,385,1.90%,9,26.50%,3,25.00%,
NELSON CITY,NELSON CITY COUNCIL,AT LARGE,MAYOR,FPP,s,Nelson,Metro,City,s,,,,,,,,,,Contested,1,,4,4,"35,104","18,318",1,25.00%,,Defeated,0,0.00%,0,,,,,,"35,029",75,0.21%,"35,104","46,437",75.60%,"35,029",75,"35,104","18,254",52.10%,64,85.30%,"18,318",52.20%,295,1.60%,18,28.10%,313,1.70%,260,88.10%,11,61.10%,271,86.60%,22,0.10%,247,1.30%,269,1.50%,1,25.00%,1,100.00%,
NELSON MARLBOROUGH DHB,NELSON MARLBOROUGH DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,s,Nelson,DHB,DHB,,Y,6.09 pm,13th October 4.56 pm,Alphabetical,N/A,N/A,,,,Contested,7,,23,3.29,"14,705","7,673",,,,,,,,,6,26.10%,3,42.90%,,,,"102,935","141,300",72.80%,,,"102,935","53,711",,,,"53,711",52.20%,,,,,474,0.90%,,,,,373,78.70%,"3,275",6.10%,"6,191",11.50%,"9,466",17.60%,14,60.90%,5,71.40%,
NEW PLYMOUTH DISTRICT,CLIFTON COMMUNITY BOARD,AT LARGE,CB,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Contested,4,,7,1.75,451,252,,,,,,,,,3,42.90%,3,75.00%,"1,788",17,0.94%,"1,805","2,450",73.70%,"1,788",17,"1,805",992,55.50%,16,94.10%,"1,008",55.80%,,,,,,,6,,1,,7,,1,0.10%,23,2.30%,24,2.40%,4,57.10%,2,50.00%,
NEW PLYMOUTH DISTRICT,INGLEWOOD COMMUNITY BOARD,AT LARGE,CB,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Contested,4,,5,1.25,"1,434",714,,,,,,,,,1,20.00%,1,25.00%,"5,735",2,0.03%,"5,737","8,150",70.40%,"5,735",2,"5,737","2,854",49.80%,2,100.00%,"2,856",49.80%,,,,,,,13,,1,,14,,1,0.00%,125,4.40%,126,4.40%,2,40.00%,1,25.00%,
NEW PLYMOUTH DISTRICT,KAITAKE COMMUNITY BOARD,AT LARGE,CB,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Contested,4,,7,1.75,850,208,,,,,,,,,4,57.10%,3,75.00%,"3,392",9,0.26%,"3,401","4,550",74.70%,"3,392",9,"3,401",823,24.30%,7,77.80%,830,24.40%,,,,,,,14,,0,,14,,2,0.20%,131,15.80%,133,16.00%,1,14.30%,0,,
NEW PLYMOUTH DISTRICT,WAITARA COMMUNITY BOARD,AT LARGE,CB,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Contested,4,,10,2.5,0,,,,,,,,,,3,30.00%,2,50.00%,,,,,"8,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,40.00%,0,,
NEW PLYMOUTH DISTRICT,NEW PLYMOUTH DISTRICT COUNCIL,NEW PLYMOUTH CITY,DC,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Contested,10,,34,3.4,"3,967","2,032",8,23.50%,,,3,30.00%,3,,1,2.90%,,,"39,626",47,0.12%,"39,673","52,872",75.00%,"39,626",47,"39,673","20,289",51.20%,32,68.10%,"20,321",51.20%,,,,,,,206,,4,,210,,198,1.00%,146,0.70%,344,1.70%,7,20.60%,0,,
NEW PLYMOUTH DISTRICT,NEW PLYMOUTH DISTRICT COUNCIL,NORTH,DC,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Contested,2,,6,3,"3,674","1,812",1,16.70%,,,1,50.00%,1,,1,16.70%,1,50.00%,"7,328",20,0.27%,"7,348","10,557",69.60%,"7,328",20,"7,348","3,604",49.20%,20,100.00%,"3,624",49.30%,,,,,,,21,,1,,22,,8,0.20%,71,2.00%,79,2.20%,2,33.30%,0,,
NEW PLYMOUTH DISTRICT,NEW PLYMOUTH DISTRICT COUNCIL,SOUTH-WEST,DC,FPP,n,Taranaki,Provincial,District,,N,N/A,3.20 pm,Alphabetical,N/A,N/A,"54,627",508,151,Contested,2,,5,2.5,"3,838","1,868",1,20.00%,,,1,50.00%,1,,1,20.00%,1,50.00%,"7,673",2,0.03%,"7,675","10,758",71.30%,"7,673",2,"7,675","3,733",48.70%,2,100.00%,"3,735",48.70%,,,,,,,20,,1,,21,,9,0.20%,194,5.20%,203,5.40%,1,20.00%,1,50.00%,
NEW PLYMOUTH DISTRICT,NEW PLYMOUTH DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,Contested,1,,4,4,"54,693","27,694",1,25.00%,3,Defeated,,,,,,,,,"54,627",66,0.12%,"54,693","74,187",73.70%,"54,627",66,"54,693","27,626",50.60%,68,103.00%,"27,694",50.60%,278,1.00%,11,16.20%,289,1.00%,227,81.70%,8,72.70%,235,81.30%,34,0.10%,496,1.80%,530,1.90%,0,,,,
NORTHLAND DHB,NORTHLAND DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,n,Northland,DHB,DHB,,N,N/A,1.53 am 13th October,Alphabetical,,,,,,Contested,7,,27,3.86,"15,033","6,922",,,,,,,,,6,22.20%,4,57.10%,"105,229",,,"105,229","158,700",66.30%,"105,229",,"105,229","48,457",46.00%,,,"48,457",46.00%,644,1.30%,,,644,1.30%,377,58.50%,,,377,58.50%,"3,270",6.70%,"3,204",6.60%,"6,474",13.40%,11,40.70%,2,28.60%,
NORTHLAND REGION,NORTHLAND REGIONAL COUNCIL,COASTAL CENTRAL,RC,FPP,n,Northland,Regional,Regional,,,,,,,,,,,Contested,1,,6,6,"12,412","6,622",,,,,,,,,,,,,"12,365",47,0.38%,"12,412",,,"12,365",47,"12,412","6,589",53.30%,33,70.20%,"6,622",53.40%,159,2.40%,55,166.70%,214,3.20%,40,25.20%,,,40,18.70%,26,0.40%,610,9.20%,636,9.60%,3,50.00%,0,,
NORTHLAND REGION,NORTHLAND REGIONAL COUNCIL,COASTAL NORTH,RC,FPP,n,Northland,Regional,Regional,,,,,,,,,,,Contested,2,,5,2.5,"11,375","5,801",,,,,,,,,,,,,"22,645",105,0.46%,"22,750",,,"22,645",105,"22,750","11,509",50.80%,92,87.60%,"11,601",51.00%,7,0.10%,128,139.10%,135,1.20%,97,1385.70%,2,1.60%,99,73.30%,31,0.30%,"1,568",13.50%,"1,599",13.80%,0,,,,
NORTHLAND REGION,NORTHLAND REGIONAL COUNCIL,COASTAL SOUTH,RC,FPP,n,Northland,Regional,Regional,,,,,,,,,,,Contested,1,,3,3,"14,183","6,165",1,33.30%,,,1,100.00%,,,,,,,"13,935",248,1.75%,"14,183",,,"13,935",248,"14,183","5,990",43.00%,175,70.60%,"6,165",43.50%,66,1.10%,3,1.70%,69,1.10%,37,56.10%,3,100.00%,40,58.00%,28,0.50%,564,9.10%,592,9.60%,2,66.70%,0,,
NORTHLAND REGION,NORTHLAND REGIONAL COUNCIL,HOKIANGA-KAIKOHE,RC,FPP,n,Northland,Regional,Regional,,,,,,,,,,,Contested,1,,4,4,"8,664","4,060",1,25.00%,,,1,100.00%,,,,,,,"8,642",22,0.25%,"8,664",,,"8,642",22,"8,664","4,042",46.80%,18,81.80%,"4,060",46.90%,75,1.90%,3,16.70%,78,1.90%,41,54.70%,,,41,52.60%,25,0.60%,162,4.00%,187,4.60%,1,25.00%,0,,
NORTHLAND REGION,NORTHLAND REGIONAL COUNCIL,KAIPARA,RC,FPP,n,Northland,Regional,Regional,,,,,,,,,,,Contested,1,,5,5,"10,637","3,835",1,20.00%,,,1,100.00%,,,,,,,"10,566",71,0.67%,"10,637",,,"10,566",71,"10,637","3,775",35.70%,60,84.50%,"3,835",36.10%,18,0.50%,,,18,0.50%,13,72.20%,,,13,72.20%,36,0.90%,113,2.90%,149,3.90%,1,20.00%,0,,
NORTHLAND REGION,NORTHLAND REGIONAL COUNCIL,TE HIKU,RC,FPP,n,Northland,Regional,Regional,,,,,,,,,,,Contested,1,,3,3,"11,584","5,422",1,33.30%,,,,,,,,,,,"11,532",52,0.45%,"11,584",,,"11,532",52,"11,584","5,377",46.60%,45,86.50%,"5,422",46.80%,75,1.40%,5,11.10%,80,1.50%,52,69.30%,3,60.00%,55,68.80%,6,0.10%,421,7.80%,427,7.90%,1,33.30%,0,,
NORTHLAND REGION,NORTHLAND REGIONAL COUNCIL,WHANGAREI URBAN,RC,FPP,n,Northland,Regional,Regional,,Y,1.00 pm,1.50 am 13th October,Alphabetical,N/A,N/A,"105,784","1,209",191,Contested,2,,6,3,"12,777","5,590",1,16.70%,,,1,50.00%,,,,,,,"25,544",10,0.04%,"25,554",,,"25,544",10,"25,554","11,173",43.70%,7,70.00%,"11,180",43.80%,204,1.80%,,,204,1.80%,109,53.40%,,,109,53.40%,64,0.60%,766,6.90%,830,7.40%,2,33.30%,0,,
OPOTIKI DISTRICT,COAST COMMUNITY BOARD,AT LARGE,CB,FPP,n,Bay of Plenty,Rural,District,,,,,,,,,,,Unopposed,4,4,4,1,239,,,,,,,,,,3,75.00%,3,75.00%,943,12,1.26%,955,"4,080",23.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25.00%,1,25.00%,
OPOTIKI DISTRICT,OPOTIKI DISTRICT COUNCIL,COAST,DC,FPP,n,Bay of Plenty,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1,955,,1,100.00%,,,1,100.00%,1,,,,,,943,12,1.26%,955,"1,536",62.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
OPOTIKI DISTRICT,OPOTIKI DISTRICT COUNCIL,OPOTIKI,DC,FPP,n,Bay of Plenty,Rural,District,,,,,,,,,,,Contested,3,,5,1.67,849,415,2,40.00%,,,2,66.70%,2,,,,,,"2,544",4,0.16%,"2,548","4,080",62.50%,"2,544",4,"2,548","1,242",48.80%,3,75.00%,"1,245",48.90%,20,1.60%,,,20,1.60%,17,85.00%,,,17,85.00%,3,0.20%,16,1.30%,19,1.50%,3,60.00%,2,66.70%,
OPOTIKI DISTRICT,OPOTIKI DISTRICT COUNCIL,WAIOEKA-WAIOTAHI,DC,FPP,n,Bay of Plenty,Rural,District,,Y,1.00 pm,10.54 pm,Pseudo-random,N/A,N/A,"5,376",80,11,Contested,2,,4,2,937,517,0,0.00%,,,,,,,,,,,"1,862",11,0.59%,"1,873","2,823",66.30%,"1,862",11,"1,873","1,025",55.00%,9,81.80%,"1,034",55.20%,9,0.90%,,,9,0.90%,6,66.70%,,,6,66.70%,1,0.10%,27,2.60%,28,2.70%,2,50.00%,1,50.00%,
OPOTIKI DISTRICT,OPOTIKI DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Bay of Plenty,Rural,District,,,,,,,,,,,Contested,1,,4,4,"5,376","2,553",1,25.00%,1,Re-elected,1,100.00%,1,,,,,,"5,349",27,0.50%,"5,376","8,439",63.70%,"5,349",27,"5,376","2,532",47.30%,21,77.80%,"2,553",47.50%,29,1.10%,,,29,1.10%,23,79.30%,,,23,79.30%,4,0.20%,27,1.10%,31,1.20%,0,,,,
OTAGO REGION,OTAGO REGIONAL COUNCIL,DUNEDIN,RC,FPP,s,Otago,Regional,Regional,,,,,,,,,,,Contested,6,,10,1.67,"12,321","5,235",6,60.00%,,,6,100.00%,,,,,,,"73,884",42,0.06%,"73,926","109,800",67.30%,"73,884",42,"73,926","31,372",42.50%,38,90.50%,"31,410",42.50%,506,1.60%,9,23.70%,515,1.60%,419,82.80%,8,88.90%,427,82.90%,630,2.00%,"2,886",9.20%,"3,516",11.20%,2,20.00%,2,33.30%,
OTAGO REGION,OTAGO REGIONAL COUNCIL,DUNSTAN,RC,FPP,s,Otago,Regional,Regional,,,,,,,,,,,Contested,3,,7,2.33,"10,906","5,172",1,14.30%,,,1,33.30%,,,,,,,"32,413",305,0.93%,"32,718","49,000",66.80%,"32,413",305,"32,718","15,265",47.10%,251,82.30%,"15,516",47.40%,177,1.20%,48,19.10%,225,1.50%,166,93.80%,39,81.30%,205,91.10%,66,0.40%,"2,707",17.40%,"2,773",17.90%,0,,,,
OTAGO REGION,OTAGO REGIONAL COUNCIL,MOERAKI,RC,FPP,s,Otago,Regional,Regional,,,,,,,,,,,Unopposed,1,1,1,1,"15,577",,1,100.00%,,,1,100.00%,,,,,,,"15,510",67,0.43%,"15,577","19,400",80.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
OTAGO REGION,OTAGO REGIONAL COUNCIL,MOLYNEUX,RC,FPP,s,Otago,Regional,Regional,,Y,5.30 pm (Dunedin and Molyneux),Saturday 4.00 pm (Dunstan); Sunday 3.00 pm (Dunedin and Molyneux),Alphabetical,N/A,N/A,"147,442","1,626",206,Contested,2,,3,1.5,"12,518","6,231",2,66.70%,,,2,100.00%,,,,,,,"25,017",18,0.07%,"25,035","35,000",71.50%,"25,017",18,"25,035","12,444",49.70%,17,94.40%,"12,461",49.80%,63,0.50%,0,0.00%,63,0.50%,60,95.20%,,,60,95.20%,504,4.00%,"1,360",10.90%,"1,864",15.00%,0,,,,
OTOROHANGA DISTRICT,KAWHIA COMMUNITY BOARD,AOTEA,CB,FPP,n,Waikato,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1,55,,,,,,,,,,1,100.00%,1,100.00%,41,14,25.45%,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,
OTOROHANGA DISTRICT,KAWHIA COMMUNITY BOARD,KAWHIA,CB,FPP,n,Waikato,Rural,District,,,,,,,,,,,Contested,3,,6,2,87,69,,,,,,,,,2,33.30%,1,33.30%,228,33,12.64%,261,,,228,33,261,183,80.30%,24,72.70%,207,79.30%,19,10.40%,,,19,9.20%,,,,,,,2,1.00%,0,0.00%,2,1.00%,1,16.70%,0,,
OTOROHANGA DISTRICT,OTOROHANGA COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Rural,District,,,,,,,,,,,Contested,4,,5,1.25,470,246,,,,,,,,,4,80.00%,3,75.00%,"1,871",9,0.48%,"1,880","2,625",71.60%,"1,871",9,"1,880",977,52.20%,7,77.80%,984,52.30%,24,2.50%,,,24,2.40%,,,,,,,0,0.00%,23,2.30%,23,2.30%,2,40.00%,2,50.00%,
OTOROHANGA DISTRICT,OTOROHANGA DISTRICT COUNCIL,KAWHIA-TIHIROA,DC,FPP,n,Waikato,Rural,District,,,,,,,,,,,Contested,2,,3,1.5,885,432,1,33.30%,,,1,50.00%,1,,1,33.30%,1,50.00%,"1,725",45,2.54%,"1,770","2,631",67.30%,"1,725",45,"1,770",829,48.10%,35,77.80%,864,48.80%,31,3.70%,,,31,3.60%,,,,,,,,0.00%,43,5.00%,43,5.00%,3,100.00%,2,100.00%,
OTOROHANGA DISTRICT,OTOROHANGA DISTRICT COUNCIL,KIOKIO-KORAKONUI,DC,FPP,n,Waikato,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1,815,,0,,,,1,100.00%,1,,,,,,810,5,0.61%,815,"1,524",53.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
OTOROHANGA DISTRICT,OTOROHANGA DISTRICT COUNCIL,OTOROHANGA,DC,FPP,n,Waikato,Rural,District,,,,,,,,,,,Contested,2,,4,2,938,490,2,50.00%,,,1,50.00%,1,,3,75.00%,2,100.00%,"1,871",4,0.21%,"1,875","2,625",71.40%,"1,871",4,"1,875",977,52.20%,2,50.00%,979,52.20%,24,2.50%,,,24,2.50%,,,,,,,7,0.70%,8,0.80%,15,1.50%,0,,,,
OTOROHANGA DISTRICT,OTOROHANGA DISTRICT COUNCIL,WAIPA,DC,FPP,n,Waikato,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1,827,,1,100.00%,,,1,100.00%,1,,,,,,823,4,0.48%,827,"1,371",60.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
OTOROHANGA DISTRICT,OTOROHANGA DISTRICT COUNCIL,WHAREPUHUNGA,DC,FPP,n,Waikato,Rural,District,,Y,1.10 pm,10.00 am,Alphabetical,N/A,N/A,"5,846",73,60,Unopposed,1,1,1,1,546,,0,,,,,,,,,,,,543,3,0.55%,546,987,55.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,
OTOROHANGA DISTRICT,OTOROHANGA DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Waikato,Rural,District,,,,,,,,,,,Contested,1,,3,3,"5,833","2,754",1,33.30%,1,Stood down,,,1,,,,,,"5,772",61,1.05%,"5,833","9,138",63.80%,"5,772",61,"5,833","2,706",46.90%,48,78.70%,"2,754",47.20%,60,2.20%,,,60,2.20%,,,,,,,3,0.10%,60,2.20%,63,2.30%,1,33.30%,0,,
PALMERSTON NORTH CITY,PALMERSTON NORTH CITY COUNCIL,AT LARGE,CC,STV,n,Manawatu-Wanganui,Metro,City,s,Y,7.00 pm,12.36 am Sunday,Alphabetical,N/A,,"53,701",546,67,Contested,15,,33,2.2,389,"1,386",13,39.40%,,,11,73.30%,12,81.30%,,,,,"5,772",61,1.05%,"5,833","80,079",7.30%,"5,772",61,"5,833","20,723",359.00%,67,109.80%,"20,790",356.40%,271,1.30%,12,17.90%,283,1.40%,251,92.60%,9,75.00%,260,91.90%,537,2.60%,328,1.60%,865,4.20%,11,33.30%,5,33.30%,
PALMERSTON NORTH CITY,PALMERSTON NORTH CITY COUNCIL,AT LARGE,MAYOR,STV,n,Manawatu-Wanganui,Metro,City,s,,,,,,,,,,Contested,1,,6,6,"53,701","20,790",2,33.30%,2,Re-elected,1,100.00%,1,,,,,,"53,631",70,0.13%,"53,701","19,434",276.30%,"53,631",70,"53,701","20,723",38.60%,67,95.70%,"20,790",38.70%,271,1.30%,12,17.90%,283,1.40%,251,92.60%,9,75.00%,260,91.90%,45,0.20%,390,1.90%,435,2.10%,0,,,,
PORIRUA CITY,PORIRUA CITY COUNCIL,EASTERN,CC,STV,n,Wellington,Metro,City,s,,,,,,,,,,Contested,4,,14,3.5,"3,414","1,111",4,28.60%,,,2,50.00%,2,,3,,3,,"13,649",5,0.04%,"13,654","19,434",70.30%,"13,649",5,"13,654","4,440",32.50%,4,80.00%,"4,444",32.50%,134,3.00%,3,75.00%,137,3.10%,102,76.10%,2,66.70%,104,75.90%,76,1.70%,57,1.30%,133,3.00%,3,21.40%,2,50.00%,
PORIRUA CITY,PORIRUA CITY COUNCIL,NORTHERN,CC,STV,n,Wellington,Metro,City,s,,,,,,,,,,Contested,4,,7,1.75,"3,871","1,564",4,57.10%,,,4,100.00%,4,,1,,,,"15,466",17,0.11%,"15,483","20,655",75.00%,"15,466",17,"15,483","6,241",40.40%,16,94.10%,"6,257",40.40%,57,0.90%,1,6.30%,58,0.90%,47,82.50%,,,47,81.00%,20,0.30%,174,2.80%,194,3.10%,3,42.90%,2,50.00%,
PORIRUA CITY,PORIRUA CITY COUNCIL,WESTERN,CC,STV,n,Wellington,Metro,City,s,Y,1.15 pm,12th October 6.25 pm,Random,N/A,N/A,"36,077",538,54,Contested,2,,4,2,"3,470","1,243",2,50.00%,,,2,100.00%,2,,1,,1,,"6,929",11,0.16%,"6,940","11,625",59.70%,"6,929",11,"6,940","2,476",35.70%,10,90.90%,"2,486",35.80%,41,1.70%,1,10.00%,42,1.70%,29,70.70%,,,29,69.00%,28,1.10%,35,1.40%,63,2.50%,2,50.00%,1,50.00%,
PORIRUA CITY,PORIRUA COMMUNITY TRUST,WARD 1,LT,STV,n,Wellington,Metro,City,s,,,,,,,,,,Contested,4,,7,1.75,"5,577","1,910",,,,,,,,,2,28.60%,1,25.00%,"22,309",,,"22,309",,,"22,309",,"22,309","7,641",34.30%,,,"7,641",34.30%,180,2.40%,,,180,2.40%,140,77.80%,,,140,77.80%,121,1.60%,276,3.60%,397,5.20%,4,57.10%,2,50.00%,
PORIRUA CITY,PORIRUA COMMUNITY TRUST,WARD 2,LT,STV,n,Wellington,Metro,City,s,,,,,,,,,,Contested,2,,3,1.5,"6,868","2,758",,,,,,,,,,,,,"13,735",,,"13,735",,,"13,735",,"13,735","5,516",40.20%,,,"5,516",40.20%,52,0.90%,,,52,0.90%,40,76.90%,,,40,76.90%,20,0.40%,353,6.40%,373,6.80%,1,33.30%,1,50.00%,
PORIRUA CITY,PORIRUA CITY COUNCIL,AT LARGE,MAYOR,STV,n,Wellington,Metro,City,s,,,,,,,,,,Contested,1,,3,3,"36,077","13,187",0,,2,Re-elected,1,100.00%,1,,,,,,"36,044",33,0.09%,"36,077","51,714",69.80%,"36,044",33,"36,077","13,157",36.50%,30,90.90%,"13,187",36.60%,232,1.80%,5,16.70%,237,1.80%,178,76.70%,2,40.00%,180,75.90%,21,0.20%,333,2.50%,354,2.70%,1,33.30%,0,,
PORIRUA CITY,HUTT MANA CHARITABLE TRUST,LOWER HUTT,OTHER,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,2,,5,2.5,"35,035","12,822",,,,,,,,,2,40.00%,2,100.00%,"70,069",,,"70,069",,,"70,069",,"70,069","25,643",36.60%,,,"25,643",36.60%,320,1.20%,,,320,1.20%,180,56.30%,,,180,56.30%,100,0.40%,"1,204",4.70%,"1,304",5.10%,2,40.00%,1,50.00%,
PORIRUA CITY,HUTT MANA CHARITABLE TRUST,PORIRUA,OTHER,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,1,,4,4,"36,044","13,157",,,,,,,,,,,,,"36,044",,,"36,044","51,714",69.70%,"36,044",,"36,044","13,157",36.50%,,,"13,157",36.50%,,,,,,,180,,,,180,,"1,536",11.70%,776,5.90%,"2,312",17.60%,2,50.00%,1,100.00%,
PORIRUA CITY,HUTT MANA CHARITABLE TRUST,UPPER HUTT,OTHER,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,1,,2,2,"28,942","11,796",,,,,,,,,,,,,"28,942",,,"28,942",,,"28,942",,"28,942","11,796",40.80%,,,"11,796",40.80%,,,,,,,124,,,,124,,7,0.10%,774,6.60%,781,6.60%,0,,,,
PORIRUA CITY,HUTT MANA CHARITABLE TRUST,WELLINGTON,OTHER,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Unopposed,1,1,1,1,"31,300",,,,,,,,,,,,,,"31,300",,,"31,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
QUEENSTOWN-LAKES DISTRICT,WANAKA COMMUNITY BOARD,AT LARGE,CB,FPP,s,Otago,Provincial,District,,,,,,,,,,,Contested,4,,5,1.25,"1,700",922,,,,,,,,,1,20.00%,1,25.00%,"6,584",215,3.16%,"6,799","28,224",24.10%,"6,584",215,"6,799","3,493",53.10%,196,91.20%,"3,689",54.30%,61,1.70%,13,6.60%,74,2.00%,55,90.20%,9,69.20%,64,86.50%,3,0.10%,149,4.00%,152,4.10%,1,20.00%,1,25.00%,
QUEENSTOWN-LAKES DISTRICT,QUEENSTOWN-LAKES DISTRICT COUNCIL,ARROWTOWN,DC,FPP,s,Otago,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1,"1,873",,,,,,,,,,,,,,"1,805",68,3.63%,"1,873","2,469",75.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
QUEENSTOWN-LAKES DISTRICT,QUEENSTOWN-LAKES DISTRICT COUNCIL,WAKATIPU,DC,FPP,s,Otago,Provincial,District,,,,,,,,,,,Contested,6,,14,2.33,"1,716",711,4,28.60%,,,3,50.00%,3,,,,,,"10,109",184,1.79%,"10,293","16,722",61.60%,"10,109",184,"10,293","4,092",40.50%,176,95.70%,"4,268",41.50%,80,2.00%,23,13.10%,103,2.40%,75,93.80%,19,82.60%,94,91.30%,14,0.30%,20,0.50%,34,0.80%,4,28.60%,2,33.30%,
QUEENSTOWN-LAKES DISTRICT,QUEENSTOWN-LAKES DISTRICT COUNCIL,WANAKA,DC,FPP,s,Otago,Provincial,District,,N,N/A,4.00 pm 12th October,Pseudo-random,Central Otago Health Inc.,N/A,"18,862",222,36,Contested,3,,7,2.33,"2,338","1,230",3,42.90%,,,1,33.30%,1,,4,57.10%,1,33.30%,"6,799",215,3.07%,"7,014","9,033",77.60%,"6,799",215,"7,014","3,493",51.40%,196,91.20%,"3,689",52.60%,61,1.70%,13,6.60%,74,2.00%,55,90.20%,9,69.20%,64,86.50%,19,0.50%,12,0.30%,31,0.80%,3,42.90%,1,33.30%,
QUEENSTOWN-LAKES DISTRICT,QUEENSTOWN-LAKES DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,Otago,Provincial,District,,,,,,,,,,,Contested,1,,2,2,"18,862","8,627",0,,1,Re-elected,1,100.00%,1,,,,,,"18,395",467,2.48%,"18,862","28,224",66.80%,"18,395",467,"18,862","8,198",44.60%,429,91.90%,"8,627",45.70%,143,1.70%,39,9.10%,182,2.10%,132,92.30%,31,79.50%,163,89.60%,34,0.40%,872,10.10%,906,10.50%,1,50.00%,1,100.00%,
RANGITIKEI DISTRICT,RATANA COMMUNITY BOARD,AT LARGE,CB,FPP,n,Manawatu-Wanganui,Rural,District,,,,,,,,,,,Unopposed,4,3,3,0.75,66,,,,,,,,,,,,,,262,,,262,370,70.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.70%,2,50.00%,1
