Area,Authority,ward,Type,Electoral system,Island,Region,Area type,TA Type,City Size,Progress results,Progress results date,Preliminary results announced,Other elections,Other elections were:,Poles,Poles were:,Voting papers order,Number of documents sent,Number of documents returned unopened,Number of documents returned late,Number of Special votes,Residential Special votes allowed,Ratepayer Special votes allowed,Contested wards,"Positions 
(N)","Elected unopposed 
(N)","Candidates 
(N)",Candidates per position,Electors per electable position,Voters per electable position,"Council candidates sitting members 
(N)","Council candidates sitting members 
(%)","Also candidates for Mayor 
(N)",Council member elected Mayor,Sitting Mayor,Council members re-elected (N),"Council members re-elected
(%)",Council members re-elected or Mayor (N),"Council members re-elected or Mayor
(%)","Candidates board members 
(N)","Candidates board members 
(%)","Board members elected 
(N)","Board members elected 
(%)","Residential electors 
(N)","Ratepayer electors 
(N)","Ratepayer electors 
(%)","Total electors 
(N)",Estimated population resident,Electors as % of total population,Residential electors (contested wards only),Ratepayer electors (contested wards only),Total electors (Contested wards only),"Residential voters 
(N)","Residential turnout 
(%)","Ratepayer voters 
(N)","Ratepayer turnout
(%)","Total voters 
(N)",Overall turnout (%),"Special votes cast 
(N)","Special votes cast 
(%)","Residential special votes allowed 
(N)","Ratepayer special votes allowed 
(N)","Total special votes allowed 
(N)","Total special votes allowed 
(%)","Informal votes
(N)","Informal votes
(%)","Blank votes 
(N)","Blank votes 
(%)","Blank and informal votes 
(N)","Blank and informal votes 
(%)","Women candidates
(N)","Women candidates
(%)","Women councillors
(N)","Women councillors
(%)"
TAUPO DISTRICT,TAUPO DISTRICT COUNCIL,MANGAKINO-POUAKANI,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,,1,0,2,2.00,"1,469",525,2,100.0%,0,,,1,100.0%,1,,0,0.0%,0,0.0%,"1,449",20,1.36%,"1,469","2,610",56.3%,"1,449",20,"1,469",513,35.4%,12,60.0%,525,35.7%,1,0.2%,1,0,1,100.0%,3,0.6%,14,2.7%,17,3.2%,1,50.0%,1,100.0%
TAUPO DISTRICT,TAUPO DISTRICT COUNCIL,TAUPO-KAINGAROA,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,,7,0,14,2.00,"2,560","1,320",5,35.7%,0,,,5,71.4%,5,,0,0.0%,0,0.0%,"17,468",453,2.53%,"17,921","25,900",69.2%,"17,468",453,"17,921","8,895",50.9%,345,76.2%,"9,240",51.6%,73,0.8%,58,9,67,91.8%,15,0.2%,130,1.4%,145,1.6%,5,35.7%,3,42.9%
TAUPO DISTRICT,TAUPO DISTRICT COUNCIL,TURANGI-TONGARIRO,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,,2,0,5,2.50,"1,755",878,3,60.0%,1,,,2,100.0%,2,,0,0.0%,0,0.0%,"3,119",390,11.11%,"3,509","4,940",71.0%,"3,119",390,"3,509","1,469",47.1%,287,73.6%,"1,756",50.0%,17,1.0%,10,3,13,76.5%,5,0.3%,50,2.8%,55,3.1%,0,0.0%,0,0.0%
TAURANGA CITY,TAURANGA CITY COUNCIL,AT LARGE,MAYOR,FPP,n,Bay of Plenty,Metro,City,l,Yes,1.30pm Election day,4pm Sunday,No,,No,,Random order,76417,823,265,245,209,10,,1,0,7,7.00,"76,531","33,808",3,42.9%,5,y,Re-elected,1,100.0%,1,,,,,,"76,417",114,0.15%,"76,531","108,900",70.3%,"76,417",114,"76,531","33,715",44.1%,93,81.6%,"33,808",44.2%,245,0.7%,209,10,219,89.4%,73,0.2%,624,1.8%,697,2.1%,0,0.0%,0,0.0%
TAURANGA CITY,TAURANGA CITY COUNCIL,MOUNT MAUNGANUI-PAPAMOA,CC,FPP,n,Bay of Plenty,Metro,City,l,,,,,,,,,,,,,,,,1,0,7,7.00,"27,008","11,328",1,14.3%,0,,,0,0.0%,0,,0,0.0%,0,0.0%,"26,937",71,0.26%,"27,008","38,700",69.8%,"26,937",71,"27,008","11,270",41.8%,58,81.7%,"11,328",41.9%,72,0.6%,48,10,58,80.6%,33,0.3%,480,4.2%,513,4.5%,3,42.9%,0,0.0%
TAURANGA CITY,TAURANGA CITY COUNCIL,OTUMOETAI-BETHLEHEM,CC,FPP,n,Bay of Plenty,Metro,City,l,,,,,,,,,,,,,,,,1,0,2,2.00,"22,496","10,693",1,50.0%,0,,,1,100.0%,1,,0,0.0%,0,0.0%,"22,475",21,0.09%,"22,496","31,400",71.6%,"22,475",21,"22,496","10,676",47.5%,17,81.0%,"10,693",47.5%,85,0.8%,77,0,77,90.6%,3,0.0%,670,6.3%,673,6.3%,1,50.0%,0,0.0%
TAURANGA CITY,TAURANGA CITY COUNCIL,TAURANGA CITY AT LARGE,CC,FPP,n,Bay of Plenty,Metro,City,l,,,,,,,,,,,,,,,,7,0,28,4.00,"10,933","4,830",7,25.0%,5,,,4,57.1%,4,,0,0.0%,0,0.0%,"76,417",114,0.15%,"76,531","108,900",70.3%,"76,417",114,"76,531","33,715",44.1%,93,81.6%,"33,808",44.2%,245,0.7%,209,10,219,89.4%,236,0.7%,564,1.7%,800,2.4%,4,14.3%,1,14.3%
TAURANGA CITY,TAURANGA CITY COUNCIL,TE PAPA-WELCOME BAY,CC,FPP,n,Bay of Plenty,Metro,City,l,,,,,,,,,,,,,,,,1,0,4,4.00,"27,027","11,787",1,25.0%,0,,,0,0.0%,0,,0,0.0%,0,0.0%,"27,005",22,0.08%,"27,027","38,800",69.7%,"27,005",22,"27,027","11,769",43.6%,18,81.8%,"11,787",43.6%,88,0.7%,84,0,84,95.5%,22,0.2%,1096,9.3%,"1,118",9.5%,1,25.0%,0,0.0%
THAMES-COROMANDEL DISTRICT,COROMANDEL-COLVILLE COMMUNITY BOARD,AT LARGE,CB,STV,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,At large,4,0,6,1.50,566,308,,,,,,,,,,4,66.7%,4,100.0%,"2,162",103,4.55%,"2,265","2,970",76.3%,"2,162",103,"2,265","1,150",53.2%,81,78.6%,"1,231",54.3%,9,0.7%,3,0,3,33.3%,9,0.7%,34,2.8%,43,3.5%,2,33.3%,1,25.0%
THAMES-COROMANDEL DISTRICT,MERCURY BAY COMMUNITY BOARD,AT LARGE,CB,STV,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,At large,4,0,7,1.75,"1,398",725,,,,,,,,,,3,42.9%,3,75.0%,"4,965",626,11.20%,"5,591","7,000",79.9%,"4,965",626,"5,591","2,440",49.1%,460,73.5%,"2,900",51.9%,18,0.6%,5,5,10,55.6%,27,0.9%,121,4.2%,148,5.1%,5,71.4%,3,75.0%
THAMES-COROMANDEL DISTRICT,TAIRUA-PAUANUI COMMUNITY BOARD,AT LARGE,CB,STV,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,At large,4,0,5,1.25,548,348,,,,,,,,,,2,40.0%,2,50.0%,"1,820",370,16.89%,"2,190","2,320",94.4%,"1,820",370,"2,190","1,090",59.9%,302,81.6%,"1,392",63.6%,24,1.7%,4,7,11,45.8%,13,0.9%,32,2.3%,45,3.2%,2,40.0%,1,25.0%
THAMES-COROMANDEL DISTRICT,THAMES COMMUNITY BOARD,AT LARGE,CB,STV,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,At large,4,0,7,1.75,"1,959",962,,,,,,,,,,3,42.9%,3,75.0%,"7,768",68,0.87%,"7,836","10,500",74.6%,"7,768",68,"7,836","3,791",48.8%,56,82.4%,"3,847",49.1%,33,0.9%,19,3,22,66.7%,44,1.1%,227,5.9%,271,7.0%,2,28.6%,1,25.0%
THAMES-COROMANDEL DISTRICT,WHANGAMATA COMMUNITY BOARD,AT LARGE,CB,STV,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,At large,4,0,6,1.50,898,500,,,,,,,,,,3,50.0%,2,50.0%,"3,199",391,10.89%,"3,590","3,950",90.9%,"3,199",391,"3,590","1,672",52.3%,327,83.6%,"1,999",55.7%,23,1.2%,7,8,15,65.2%,21,1.1%,54,2.7%,75,3.8%,3,50.0%,2,50.0%
THAMES-COROMANDEL DISTRICT,THAMES-COROMANDEL DISTRICT COUNCIL,AT LARGE,MAYOR,STV,n,Waikato,Provincial,District,,No,,19:21:00,No,,No,,Alphabetical order,21472,171,N/A,141,38,23,,1,0,3,3.00,"21,459","11,369",2,66.7%,2,y,Re-elected,1,100.0%,1,,,,,,"19,914",1545,7.20%,"21,459","26,720",80.3%,"19,914",1545,"21,459","10,150",51.0%,1219,78.9%,"11,369",53.0%,141,1.2%,38,23,61,43.3%,26,0.2%,267,2.3%,293,2.6%,1,33.3%,1,100.0%
THAMES-COROMANDEL DISTRICT,THAMES-COROMANDEL DISTRICT COUNCIL,COROMANDEL PENINSULA EAST,DC,STV,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,,4,0,9,2.25,"2,840","1,572",3,33.3%,1,,,2,50.0%,2,,2,22.2%,0,0.0%,"9,984",1377,12.12%,"11,361","13,250",85.7%,"9,984",1377,"11,361","5,202",52.1%,1084,78.7%,"6,286",55.3%,65,1.0%,16,20,36,55.4%,75,1.2%,224,3.6%,299,4.8%,1,11.1%,0,0.0%
THAMES-COROMANDEL DISTRICT,THAMES-COROMANDEL DISTRICT COUNCIL,COROMANDEL-COLVILLE,DC,STV,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,,1,0,4,4.00,"2,264","1,230",1,25.0%,1,,,1,100.0%,1,,0,0.0%,0,0.0%,"2,162",102,4.51%,"2,264","2,970",76.2%,"2,162",102,"2,264","1,150",53.2%,80,78.4%,"1,230",54.3%,9,0.7%,3,0,3,33.3%,3,0.2%,9,0.7%,12,1.0%,1,25.0%,0,0.0%
THAMES-COROMANDEL DISTRICT,THAMES-COROMANDEL DISTRICT COUNCIL,THAMES,DC,STV,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,,3,0,8,2.67,"2,611","1,282",3,37.5%,0,,,2,66.7%,2,,0,0.0%,0,0.0%,"7,768",66,0.84%,"7,834","10,500",74.6%,"7,768",66,"7,834","3,791",48.8%,55,83.3%,"3,846",49.1%,33,0.9%,19,3,22,66.7%,39,1.0%,69,1.8%,108,2.8%,2,25.0%,0,0.0%
TIMARU DISTRICT,SOUTH CANTERBURY DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,s,Canterbury,DHB,DHB,,,,,,,,,Random order,,,,,,,,7,0,13,1.86,"5,825","3,317",,,,,,,,,,5,38.5%,5,71.4%,"40,777",,,"40,777","55,300",73.7%,"40,777",,"40,777","23,219",56.9%,,,"23,219",56.9%,103,0.4%,93,,93,90.3%,1318,5.7%,935,4.0%,"2,253",9.7%,2,15.4%,2,28.6%
TIMARU DISTRICT,GERALDINE LICENSING TRUST,AT LARGE,LT,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,,,,,,At large,6,6,6,1.00,712,,,,,,,,,,,4,66.7%,4,66.7%,"4,271",,,"4,271",,,,,,,,,,,,,,,,,,,,,,,,1,16.7%,1,16.7%
TIMARU DISTRICT,GERALDINE COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,,,,,,At large,6,6,6,1.00,623,,,,,,,,,,,2,33.3%,2,33.3%,"3,727",11,0.29%,"3,738","4,940",75.7%,,,,,,,,,,,,,,,,,,,,,,3,50.0%,3,50.0%
TIMARU DISTRICT,PLEASANT POINT COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,,,,,,At large,5,0,7,1.40,397,237,,,,,,,,,,6,85.7%,5,100.0%,"1,983",0,0.00%,"1,983","2,720",72.9%,"1,983",0,"1,983","1,185",59.8%,0,,"1,185",59.8%,6,0.5%,6,0,6,100.0%,4,0.3%,37,3.1%,41,3.5%,0,0.0%,0,0.0%
TIMARU DISTRICT,TEMUKA COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,,,,,,At large,4,4,4,1.00,"1,132",,,,,,,,,,,4,100.0%,4,100.0%,"4,524",4,0.09%,"4,528","6,140",73.7%,,,,,,,,,,,,,,,,,,,,,,2,50.0%,2,50.0%
TIMARU DISTRICT,TIMARU DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,Canterbury,Provincial,District,,Yes,"Sat 13 Oct, 2.30PM (TDC), 9.30PM (DHB)","Sun 14 Oct, 6.30PM",Yes,"South Canterbury District Health Board, Geraldine Licensing Trust",No,,Alphabetical order,32767,283,10,76,70,0,,1,0,3,3.00,"32,766","18,484",1,33.3%,0,y,Re-elected,1,100.0%,1,,,,,,"32,744",22,0.07%,"32,766","43,900",74.6%,"32,744",22,"32,766","18,467",56.4%,17,77.3%,"18,484",56.4%,76,0.4%,70,0,70,92.1%,30,0.2%,389,2.1%,419,2.3%,1,33.3%,1,100.0%
TIMARU DISTRICT,TIMARU DISTRICT COUNCIL,GERALDINE,DC,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,"3,738",,1,100.0%,0,,,1,100.0%,1,,0,0.0%,0,0.0%,"3,727",11,0.29%,"3,738","4,940",75.7%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
TIMARU DISTRICT,TIMARU DISTRICT COUNCIL,PLEASANT POINT-TEMUKA,DC,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,,,,,,,2,0,3,1.50,"3,255","1,758",3,100.0%,0,,,2,100.0%,2,,0,0.0%,0,0.0%,"6,507",3,0.05%,"6,510","8,860",73.5%,"6,507",3,"6,510","3,513",54.0%,3,100.0%,"3,516",54.0%,19,0.5%,18,0,18,94.7%,1,0.0%,59,1.7%,60,1.7%,0,0.0%,0,0.0%
TIMARU DISTRICT,TIMARU DISTRICT COUNCIL,TIMARU,DC,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,,,,,,,7,0,14,2.00,"3,217","1,827",7,50.0%,0,,,6,85.7%,6,,0,0.0%,0,0.0%,"22,510",8,0.04%,"22,518","30,100",74.8%,"22,510",8,"22,518","12,784",56.8%,7,87.5%,"12,791",56.8%,54,0.4%,49,0,49,90.7%,28,0.2%,136,1.1%,164,1.3%,4,28.6%,1,14.3%
UPPER HUTT CITY,RIMUTAKA LICENSING TRUST,AT LARGE,LT,FPP,n,Wellington,Metro,City,s,,,,,,,,,,,,,,,At large,6,0,7,1.17,"1,521",605,,,,,,,,,,5,71.4%,5,83.3%,"9,126",,,"9,126",,,"9,126",,"9,126","3,632",39.8%,,,"3,632",39.8%,20,0.6%,20,,20,100.0%,3,0.1%,295,8.1%,298,8.2%,0,0.0%,0,0.0%
UPPER HUTT CITY,UPPER HUTT CITY COUNCIL,AT LARGE,MAYOR,FPP,n,Wellington,Metro,City,s,No,,13 Oct 4pm,Yes,"Rimutaka Licencing Trust, HVDHB, Hutt Mana Charitable Trust, Wellington Regional Council",No,,Alphabetical order,27632,N/A,N/A,N/A,70,N/A,Unopposed,1,1,1,1.00,"27,632",,1,100.0%,0,y,Unopposed,1,100.0%,1,,,,,,"27,612",20,0.07%,"27,632","40,000",69.1%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
UPPER HUTT CITY,UPPER HUTT CITY COUNCIL,AT LARGE,CC,FPP,n,Wellington,Metro,City,s,,,,,,,,,,,,,,,At large,10,0,18,1.80,"2,763","1,136",8,44.4%,0,,,7,70.0%,7,72.7%,0,0.0%,0,0.0%,"27,612",20,0.07%,"27,632","40,000",69.1%,"27,612",20,"27,632","11,356",41.1%,2,10.0%,"11,358",41.1%,70,0.6%,,,70,100.0%,37,0.3%,61,0.5%,98,0.9%,5,27.8%,5,50.0%
WAIKATO DISTRICT,TE KAUWHATA LICENSING TRUST,AT LARGE,LT,FPP,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,At large,6,0,7,1.17,271,106,,,,,,,,,,3,42.9%,3,50.0%,"1,624",,,"1,624",,,"1,624",,"1,624",634,39.0%,,,634,39.0%,0,0.0%,0,,0,,2,0.3%,20,3.2%,22,3.5%,1,14.3%,1,16.7%
WAIKATO DISTRICT,HUNTLY COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,At large,6,0,8,1.33,746,259,,,,,,,,,,5,62.5%,5,83.3%,"4,475",3,0.07%,"4,478","7,140",62.7%,"4,475",3,"4,478","1,551",34.7%,0,0.0%,"1,551",34.6%,2,0.1%,2,0,2,100.0%,3,0.2%,8,0.5%,11,0.7%,3,37.5%,2,33.3%
WAIKATO DISTRICT,NGARUAWAHIA COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,At large,6,4,4,0.67,686,,,,,,,,,,,3,75.0%,3,50.0%,"4,114",2,0.05%,"4,116","6,850",60.1%,,,,,,,,,,,,,,,,,,,,,,1,25.0%,0,0.0%
WAIKATO DISTRICT,RAGLAN COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,At large,6,0,11,1.83,344,162,,,,,,,,,,6,54.5%,3,50.0%,"2,047",19,0.92%,"2,066","3,250",63.6%,"2,047",19,"2,066",959,46.8%,10,52.6%,969,46.9%,19,2.0%,15,4,19,100.0%,1,0.1%,14,1.4%,15,1.5%,5,45.5%,4,66.7%
WAIKATO DISTRICT,TAUPIRI COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,At large,6,0,8,1.33,49,19,,,,,,,,,,5,62.5%,4,66.7%,291,0,0.00%,291,480,60.6%,291,0,291,112,38.5%,0,,112,38.5%,0,0.0%,0,0,0,,0,0.0%,0,0.0%,0,0.0%,3,37.5%,2,33.3%
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Waikato,Provincial,District,,No,,14:40:00,Yes,Te Kauwhata Licensing Trust,No,,Alphabetical order,29288,365,45,39,35,4,Unopposed,1,1,1,1.00,"29,290",,1,100.0%,0,y,Unopposed,1,100.0%,1,,,,,,"29,225",65,0.22%,"29,290","46,020",63.6%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,EUREKA,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,"2,616",,1,100.0%,0,,,1,100.0%,1,,0,0.0%,0,0.0%,"2,615",1,0.04%,"2,616","3,850",67.9%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,HAPUAKOHE,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,"1,759",,1,100.0%,0,,,1,100.0%,1,,0,0.0%,0,0.0%,"1,758",1,0.06%,"1,759","3,050",57.7%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,HUKANUI,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,"2,441",,1,100.0%,0,,,1,100.0%,1,,0,0.0%,0,0.0%,"2,434",7,0.29%,"2,441","3,930",62.1%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,HUNTLY,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,,2,0,4,2.00,"2,156",704,2,50.0%,0,,,2,100.0%,2,,1,25.0%,0,0.0%,"4,309",3,0.07%,"4,312","6,880",62.7%,"4,309",3,"4,312","1,407",32.7%,0,0.0%,"1,407",32.6%,1,0.1%,1,0,1,100.0%,2,0.1%,29,2.1%,31,2.2%,2,50.0%,1,50.0%
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,NEWCASTLE,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,,1,0,2,2.00,"2,579",790,0,0.0%,0,,,0,0.0%,0,,0,0.0%,0,0.0%,"2,576",3,0.12%,"2,579","3,710",69.5%,"2,576",3,"2,579",790,30.7%,0,0.0%,790,30.6%,3,0.4%,3,0,3,100.0%,2,0.3%,45,5.7%,47,5.9%,0,0.0%,0,0.0%
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,NGARUAWAHIA,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,,2,0,4,2.00,"2,153",668,2,50.0%,0,,,2,100.0%,2,,1,25.0%,0,0.0%,"4,304",2,0.05%,"4,306","7,170",60.1%,"4,304",2,"4,306","1,336",31.0%,0,0.0%,"1,336",31.0%,2,0.1%,2,0,2,100.0%,4,0.3%,21,1.6%,25,1.9%,1,25.0%,1,50.0%
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,RAGLAN,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,,1,0,5,5.00,"2,066",969,1,20.0%,0,,,1,100.0%,1,,0,0.0%,0,0.0%,"2,047",19,0.92%,"2,066","3,250",63.6%,"2,047",19,"2,066",959,46.8%,10,52.6%,969,46.9%,19,2.0%,15,4,19,100.0%,4,0.4%,17,1.8%,21,2.2%,2,40.0%,0,0.0%
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,TAMAHERE,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,,1,0,2,2.00,"2,979","1,117",0,0.0%,0,,,0,0.0%,0,,0,0.0%,0,0.0%,"2,974",5,0.17%,"2,979","4,270",69.8%,"2,974",5,"2,979","1,117",37.6%,0,0.0%,"1,117",37.5%,4,0.4%,4,0,4,100.0%,0,0.0%,45,4.0%,45,4.0%,0,0.0%,0,0.0%
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,WHAINGAROA,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,"2,205",,1,100.0%,0,,,1,100.0%,1,,0,0.0%,0,0.0%,"2,195",10,0.45%,"2,205","3,350",65.8%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,WHANGAMARINO,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,,1,0,2,2.00,"2,028",739,1,50.0%,0,,,1,100.0%,1,,0,0.0%,0,0.0%,"2,023",5,0.25%,"2,028","3,350",60.5%,"2,023",5,"2,028",736,36.4%,3,60.0%,739,36.4%,0,0.0%,0,0,0,,0,0.0%,27,3.7%,27,3.7%,0,0.0%,0,0.0%
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,WHANGAPE,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,"1,997",,1,100.0%,0,,,1,100.0%,1,,0,0.0%,0,0.0%,"1,990",7,0.35%,"1,997","3,210",62.2%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
WAIKATO REGION,WAIKATO REGIONAL COUNCIL,CENTRAL WAIKATO,RC,FPP,n,Waikato,Regional,Regional,,,,,,,,,,,,,,,,,1,0,2,2.00,"22,522","6,843",2,100.0%,,,,1,100.0%,,,,,,,"22,470",52,0.23%,"22,522","35,400",63.6%,"22,470",52,"22,522","6,835",30.4%,8,15.4%,"6,843",30.4%,25,0.4%,21,4,25,100.0%,9,0.1%,593,8.7%,602,8.8%,1,50.0%,0,0.0%
WAIKATO REGION,WAIKATO REGIONAL COUNCIL,HAMILTON,RC,FPP,n,Waikato,Regional,Regional,,,,,,,,,,,,,,,,,4,0,10,2.50,"22,955","8,142",4,40.0%,,,,1,25.0%,,,,,,,"91,782",39,0.04%,"91,821","140,800",65.2%,"91,782",39,"91,821","32,544",35.5%,22,56.4%,"32,566",35.5%,311,1.0%,249,0,249,80.1%,149,0.5%,2194,6.7%,"2,343",7.2%,5,50.0%,3,75.0%
WAIKATO REGION,WAIKATO REGIONAL COUNCIL,MATAMATA-PIAKO,RC,FPP,n,Waikato,Regional,Regional,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,"21,150",,0,0.0%,,,,0,0.0%,,,,,,,"21,139",11,0.05%,"21,150","31,200",67.8%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
WAIKATO REGION,WAIKATO REGIONAL COUNCIL,NORTH WAIKATO-HAURAKI,RC,FPP,n,Waikato,Regional,Regional,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,"22,306",,0,0.0%,,,,0,0.0%,,,,,,,"22,254",52,0.23%,"22,306","34,900",63.9%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
WAIKATO REGION,WAIKATO REGIONAL COUNCIL,SOUTH WAIKATO-ROTORUA,RC,FPP,n,Waikato,Regional,Regional,,,,,,,,,,,,,,,,,1,0,5,5.00,"17,185","6,766",0,0.0%,,,,0,0.0%,,,,,,,"17,173",12,0.07%,"17,185","26,700",64.4%,"17,173",12,"17,185","6,755",39.3%,11,91.7%,"6,766",39.4%,42,0.6%,42,0,42,100.0%,49,0.7%,577,8.5%,626,9.3%,0,0.0%,0,0.0%
WAIKATO REGION,WAIKATO REGIONAL COUNCIL,TAUPO,RC,FPP,n,Waikato,Regional,Regional,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,"22,738",,1,100.0%,,,,1,100.0%,,,,,,,"21,924",814,3.58%,"22,738","33,200",68.5%,,,,,,,,,,,,,,,,,,,,,,1,100.0%,1,100.0%
WAIKATO REGION,WAIKATO REGIONAL COUNCIL,THAMES-COROMANDEL,RC,FPP,n,Waikato,Regional,Regional,,,,,,,,,,,,,,,,,1,0,3,3.00,"25,762","12,580",1,33.3%,,,,0,0.0%,,,,,,,"24,722",1040,4.04%,"25,762","33,300",77.4%,"24,722",1040,"25,762","11,773",47.6%,807,77.6%,"12,580",48.8%,141,1.1%,44,3,47,33.3%,289,2.3%,1118,8.9%,"1,407",11.2%,0,0.0%,0,0.0%
WAIKATO REGION,WAIKATO REGIONAL COUNCIL,WAIPA-KING COUNTRY,RC,FPP,n,Waikato,Regional,Regional,,,,,,,,,,,,,,,,Unopposed,2,2,2,1.00,"20,667",,2,100.0%,,,,2,100.0%,,,,,,,"41,297",37,0.09%,"41,334","63,000",65.6%,,,,,,,,,,,,,,,,,,,,,,1,50.0%,1,50.0%
WAIMAKARIRI DISTRICT,KAIAPOI COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,,,,,,At large,6,0,10,1.67,"1,516",704,,,,,,,,,,6,60.0%,3,50.0%,"9,093",1,0.01%,"9,094","12,700",71.6%,"9,093",1,"9,094","4,223",46.4%,1,100.0%,"4,224",46.4%,19,0.4%,8,1,9,47.4%,9,0.2%,40,0.9%,49,1.2%,2,20.0%,2,33.3%
WAIMAKARIRI DISTRICT,WAIMAKARIRI DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,Canterbury,Provincial,District,,,13 Oct  14.15,15:55:00,Yes,"DHB, Regional Council",No,,Alphabetical order,"31,881",206,3,97,54,7,,1,0,4,4.00,"31,881","14,481",1,25.0%,1,,Defeated,0,0.0%,0,,,,,,"31,853",28,0.09%,"31,881","45,060",70.8%,"31,853",28,"31,881","14,460",45.4%,21,75.0%,"14,481",45.4%,97,0.7%,54,7,61,62.9%,28,0.2%,266,1.8%,294,2.0%,0,0.0%,0,0.0%
